,"(mm) Precipitation (gridMET) at -78.2999E,34.0820N, 2015-01-01 to 2026-03-20"
12/12/2015,0
13/12/2015,1.86
14/12/2015,6.4855
15/12/2015,0
16/12/2015,0
17/12/2015,7.4205
18/12/2015,0.3641
19/12/2015,0
20/12/2015,0
21/12/2015,0
22/12/2015,33.9432
23/12/2015,10.3926
24/12/2015,0
25/12/2015,0
26/12/2015,0
27/12/2015,0
28/12/2015,56.2242
29/12/2015,0
30/12/2015,2.9721
31/12/2015,0
1/01/2016,0
2/01/2016,0
3/01/2016,0
4/01/2016,0
5/01/2016,0
6/01/2016,0
7/01/2016,0
8/01/2016,0
9/01/2016,6.4
10/01/2016,0
11/01/2016,0
12/01/2016,0
13/01/2016,0
14/01/2016,0
15/01/2016,28.1
16/01/2016,0
17/01/2016,6.9
18/01/2016,0
19/01/2016,0
20/01/2016,0
21/01/2016,0.5
22/01/2016,43.2
23/01/2016,0
24/01/2016,0
25/01/2016,0
26/01/2016,0
27/01/2016,0
28/01/2016,5.3
29/01/2016,0
30/01/2016,0
31/01/2016,0
1/02/2016,0
2/02/2016,0
3/02/2016,74.2
4/02/2016,49.6
5/02/2016,0
6/02/2016,29.1
7/02/2016,39.7
8/02/2016,0.9
9/02/2016,0
10/02/2016,0
11/02/2016,0
12/02/2016,0
13/02/2016,0
14/02/2016,0
15/02/2016,30.4
16/02/2016,1.3
17/02/2016,0
18/02/2016,0
19/02/2016,0
20/02/2016,0
21/02/2016,0
22/02/2016,6.3
23/02/2016,10.3
24/02/2016,5
25/02/2016,0
26/02/2016,0
27/02/2016,0
28/02/2016,0
29/02/2016,0
1/03/2016,4.7
2/03/2016,0.3
3/03/2016,22.9
4/03/2016,0
5/03/2016,0
6/03/2016,0
7/03/2016,0
8/03/2016,0
9/03/2016,0
10/03/2016,0
11/03/2016,0
12/03/2016,0
13/03/2016,0.3
14/03/2016,3
15/03/2016,0
16/03/2016,0
17/03/2016,0
18/03/2016,0
19/03/2016,0
20/03/2016,12
21/03/2016,0
22/03/2016,0
23/03/2016,0
24/03/2016,2
25/03/2016,0
26/03/2016,5.5
27/03/2016,20
28/03/2016,0
29/03/2016,0
30/03/2016,0
31/03/2016,9
1/04/2016,13.4
2/04/2016,0.9
3/04/2016,0
4/04/2016,0
5/04/2016,0
6/04/2016,1.4
7/04/2016,9.2
8/04/2016,1.1
9/04/2016,0
10/04/2016,0
11/04/2016,0
12/04/2016,5.7
13/04/2016,0
14/04/2016,0
15/04/2016,0
16/04/2016,0
17/04/2016,0
18/04/2016,0
19/04/2016,0
20/04/2016,0
21/04/2016,0.6
22/04/2016,23.7
23/04/2016,0
24/04/2016,0
25/04/2016,0
26/04/2016,0
27/04/2016,1.5
28/04/2016,1
29/04/2016,0
30/04/2016,0
1/05/2016,5.1
2/05/2016,2.5
3/05/2016,30.4
4/05/2016,1.5
5/05/2016,0
6/05/2016,0.8
7/05/2016,0
8/05/2016,0
9/05/2016,0
10/05/2016,0
11/05/2016,0
12/05/2016,31.4
13/05/2016,2.8
14/05/2016,0
15/05/2016,0
16/05/2016,0
17/05/2016,10.2
18/05/2016,0.9
19/05/2016,1.1
20/05/2016,1.4
21/05/2016,0.7
22/05/2016,1
23/05/2016,0
24/05/2016,0
25/05/2016,0
26/05/2016,0
27/05/2016,0
28/05/2016,7.8
29/05/2016,3.5
30/05/2016,0.8
31/05/2016,20.8
1/06/2016,6.3
2/06/2016,0
3/06/2016,0
4/06/2016,0
5/06/2016,2.2
6/06/2016,50.7
7/06/2016,0
8/06/2016,0
9/06/2016,0
10/06/2016,0
11/06/2016,0
12/06/2016,0
13/06/2016,0
14/06/2016,2.5
15/06/2016,25.3
16/06/2016,0
17/06/2016,0
18/06/2016,0
19/06/2016,0
20/06/2016,0
21/06/2016,0
22/06/2016,0
23/06/2016,0
24/06/2016,4.8
25/06/2016,0
26/06/2016,0
27/06/2016,0
28/06/2016,3.6
29/06/2016,0
30/06/2016,0.9
1/07/2016,1.1
2/07/2016,0
3/07/2016,6.1
4/07/2016,0.8
5/07/2016,0
6/07/2016,0
7/07/2016,3.6
8/07/2016,21.2
9/07/2016,0
10/07/2016,13.7
11/07/2016,4.3
12/07/2016,10.6
13/07/2016,0
14/07/2016,0.4
15/07/2016,1.7
16/07/2016,8.5
17/07/2016,0
18/07/2016,0
19/07/2016,50.5
20/07/2016,0.3
21/07/2016,0
22/07/2016,19.9
23/07/2016,29.6
24/07/2016,0
25/07/2016,0
26/07/2016,0
27/07/2016,0
28/07/2016,0
29/07/2016,0
30/07/2016,0.7
31/07/2016,0
1/08/2016,0.8
2/08/2016,9.3
3/08/2016,2.1
4/08/2016,2.2
5/08/2016,8
6/08/2016,0
7/08/2016,0
8/08/2016,0
9/08/2016,2.8
10/08/2016,0
11/08/2016,0.3
12/08/2016,0
13/08/2016,0.3
14/08/2016,0
15/08/2016,0
16/08/2016,6
17/08/2016,0
18/08/2016,7.8
19/08/2016,8
20/08/2016,4.9
21/08/2016,0
22/08/2016,0
23/08/2016,0
24/08/2016,0
25/08/2016,0
26/08/2016,0
27/08/2016,0
28/08/2016,2.9
29/08/2016,0.8
30/08/2016,0
31/08/2016,0.3
1/09/2016,39.5
2/09/2016,124.9
3/09/2016,0
4/09/2016,0
5/09/2016,0
6/09/2016,0
7/09/2016,0
8/09/2016,0
9/09/2016,0
10/09/2016,0
11/09/2016,0
12/09/2016,7.5
13/09/2016,0
14/09/2016,4.1
15/09/2016,3.6
16/09/2016,2.8
17/09/2016,0.3
18/09/2016,0.8
19/09/2016,32.4
20/09/2016,0.9
21/09/2016,0.7
22/09/2016,5.1
23/09/2016,20.4
24/09/2016,0
25/09/2016,0
26/09/2016,0
27/09/2016,0
28/09/2016,0
29/09/2016,33.7
30/09/2016,7.5
1/10/2016,2.6
2/10/2016,0
3/10/2016,0
4/10/2016,0
5/10/2016,0
6/10/2016,13.8
7/10/2016,62.8
8/10/2016,150.8
9/10/2016,0
10/10/2016,0
11/10/2016,0
12/10/2016,0
13/10/2016,0
14/10/2016,0
15/10/2016,0
16/10/2016,0
17/10/2016,0
18/10/2016,0
19/10/2016,0
20/10/2016,0
21/10/2016,2.3
22/10/2016,0
23/10/2016,0
24/10/2016,0
25/10/2016,0
26/10/2016,0
27/10/2016,0
28/10/2016,0
29/10/2016,0
30/10/2016,0
31/10/2016,0
1/11/2016,0
2/11/2016,0
3/11/2016,0
4/11/2016,1.6
5/11/2016,0
6/11/2016,0
7/11/2016,0
8/11/2016,0
9/11/2016,0
10/11/2016,0
11/11/2016,0
12/11/2016,0
13/11/2016,32
14/11/2016,0
15/11/2016,0
16/11/2016,0
17/11/2016,0
18/11/2016,0
19/11/2016,0
20/11/2016,0
21/11/2016,0
22/11/2016,0
23/11/2016,0
24/11/2016,0
25/11/2016,1.2
26/11/2016,0
27/11/2016,0
28/11/2016,0
29/11/2016,1.2
30/11/2016,8.1
1/12/2016,0
2/12/2016,0
3/12/2016,0
4/12/2016,23.2
5/12/2016,19.8
6/12/2016,10.3
7/12/2016,0
8/12/2016,0
9/12/2016,0
10/12/2016,0
11/12/2016,5.5
12/12/2016,21.3
13/12/2016,9.3
14/12/2016,0.3
15/12/2016,0
16/12/2016,6.3
17/12/2016,0.3
18/12/2016,1.4
19/12/2016,8.2
20/12/2016,0.4
21/12/2016,0
22/12/2016,0
23/12/2016,0
24/12/2016,0.3
25/12/2016,0
26/12/2016,3.3
27/12/2016,0
28/12/2016,0
29/12/2016,5.3
30/12/2016,0
31/12/2016,0.3
1/01/2017,3.1
2/01/2017,12.7
3/01/2017,1.2
4/01/2017,0
5/01/2017,0
6/01/2017,7.4
7/01/2017,2.5
8/01/2017,0
9/01/2017,0
10/01/2017,1.3
11/01/2017,0.4
12/01/2017,0
13/01/2017,0
14/01/2017,0
15/01/2017,0
16/01/2017,0
17/01/2017,0
18/01/2017,0
19/01/2017,0
20/01/2017,0
21/01/2017,3.7
22/01/2017,25.5
23/01/2017,1.7
24/01/2017,0
25/01/2017,0
26/01/2017,1
27/01/2017,0
28/01/2017,0
29/01/2017,0
30/01/2017,0
31/01/2017,0
1/02/2017,0
2/02/2017,0
3/02/2017,2.8
4/02/2017,0
5/02/2017,0
6/02/2017,0
7/02/2017,14
8/02/2017,3.7
9/02/2017,1
10/02/2017,0
11/02/2017,0
12/02/2017,0
13/02/2017,0
14/02/2017,0
15/02/2017,14.9
16/02/2017,0
17/02/2017,0
18/02/2017,0
19/02/2017,0
20/02/2017,0
21/02/2017,0
22/02/2017,0
23/02/2017,0
24/02/2017,0
25/02/2017,0
26/02/2017,0
27/02/2017,2.7
28/02/2017,0
1/03/2017,2.1
2/03/2017,0
3/03/2017,0
4/03/2017,0
5/03/2017,0
6/03/2017,0
7/03/2017,0
8/03/2017,0
9/03/2017,0
10/03/2017,0
11/03/2017,2.1
12/03/2017,8.7
13/03/2017,24.5
14/03/2017,0.7
15/03/2017,0
16/03/2017,0
17/03/2017,0
18/03/2017,3
19/03/2017,0
20/03/2017,0
21/03/2017,3.4
22/03/2017,0
23/03/2017,0
24/03/2017,0
25/03/2017,0
26/03/2017,0
27/03/2017,0
28/03/2017,0.8
29/03/2017,0
30/03/2017,8.1
31/03/2017,5.4
1/04/2017,0
2/04/2017,0
3/04/2017,22.7
4/04/2017,0
5/04/2017,64.8
6/04/2017,1.2
7/04/2017,0
8/04/2017,0
9/04/2017,0
10/04/2017,0
11/04/2017,0
12/04/2017,0
13/04/2017,8.8
14/04/2017,0.3
15/04/2017,0
16/04/2017,0
17/04/2017,0
18/04/2017,0
19/04/2017,4.5
20/04/2017,0
21/04/2017,0
22/04/2017,1.4
23/04/2017,12.9
24/04/2017,88
25/04/2017,0
26/04/2017,0
27/04/2017,0
28/04/2017,0
29/04/2017,0
30/04/2017,0
1/05/2017,3.9
2/05/2017,0
3/05/2017,0
4/05/2017,27.3
5/05/2017,2.3
6/05/2017,2.7
7/05/2017,0
8/05/2017,0
9/05/2017,0
10/05/2017,0
11/05/2017,0
12/05/2017,0
13/05/2017,3.9
14/05/2017,0
15/05/2017,0
16/05/2017,0
17/05/2017,0
18/05/2017,0
19/05/2017,0
20/05/2017,1
21/05/2017,0
22/05/2017,42.4
23/05/2017,36.4
24/05/2017,4.8
25/05/2017,0.6
26/05/2017,0
27/05/2017,0
28/05/2017,31.3
29/05/2017,1.9
30/05/2017,0
31/05/2017,0
1/06/2017,0.5
2/06/2017,0
3/06/2017,0
4/06/2017,0
5/06/2017,8.3
6/06/2017,24.9
7/06/2017,17.9
8/06/2017,3.7
9/06/2017,0
10/06/2017,0
11/06/2017,0
12/06/2017,0
13/06/2017,0
14/06/2017,0
15/06/2017,19.6
16/06/2017,2.4
17/06/2017,0
18/06/2017,0.6
19/06/2017,0.5
20/06/2017,15.8
21/06/2017,1.6
22/06/2017,10.2
23/06/2017,0
24/06/2017,3
25/06/2017,9.1
26/06/2017,0
27/06/2017,0
28/06/2017,0
29/06/2017,0
30/06/2017,48.9
1/07/2017,0
2/07/2017,0
3/07/2017,0.8
4/07/2017,0
5/07/2017,0
6/07/2017,0
7/07/2017,3.9
8/07/2017,3.8
9/07/2017,4.8
10/07/2017,3.4
11/07/2017,0.4
12/07/2017,0
13/07/2017,0
14/07/2017,0
15/07/2017,21
16/07/2017,8.9
17/07/2017,7
18/07/2017,27
19/07/2017,7.5
20/07/2017,0.5
21/07/2017,0
22/07/2017,0
23/07/2017,0
24/07/2017,0
25/07/2017,0
26/07/2017,0
27/07/2017,0
28/07/2017,1.3
29/07/2017,11.9
30/07/2017,0
31/07/2017,0
1/08/2017,0
2/08/2017,0
3/08/2017,1.1
4/08/2017,1.1
5/08/2017,0.6
6/08/2017,32.1
7/08/2017,6.6
8/08/2017,43.8
9/08/2017,6.7
10/08/2017,21.4
11/08/2017,4.5
12/08/2017,32
13/08/2017,3.5
14/08/2017,8
15/08/2017,8.2
16/08/2017,41.4
17/08/2017,9.6
18/08/2017,0
19/08/2017,23.3
20/08/2017,1.8
21/08/2017,3.1
22/08/2017,2.1
23/08/2017,25.4
24/08/2017,12.7
25/08/2017,0
26/08/2017,0
27/08/2017,0
28/08/2017,10.5
29/08/2017,0.8
30/08/2017,0
31/08/2017,25.2
1/09/2017,23.9
2/09/2017,2.8
3/09/2017,0
4/09/2017,0
5/09/2017,22.8
6/09/2017,14.1
7/09/2017,0
8/09/2017,0
9/09/2017,0
10/09/2017,0
11/09/2017,60.8
12/09/2017,3.9
13/09/2017,0
14/09/2017,10
15/09/2017,0
16/09/2017,0
17/09/2017,0
18/09/2017,0
19/09/2017,0
20/09/2017,0
21/09/2017,1.1
22/09/2017,0
23/09/2017,0
24/09/2017,0
25/09/2017,0
26/09/2017,0
27/09/2017,0
28/09/2017,0
29/09/2017,0
30/09/2017,0
1/10/2017,0
2/10/2017,0
3/10/2017,0
4/10/2017,0.3
5/10/2017,0
6/10/2017,0
7/10/2017,2.9
8/10/2017,0.4
9/10/2017,2.6
10/10/2017,5
11/10/2017,4.6
12/10/2017,7
13/10/2017,0
14/10/2017,0
15/10/2017,0
16/10/2017,1.4
17/10/2017,0
18/10/2017,0
19/10/2017,0
20/10/2017,0
21/10/2017,0
22/10/2017,0
23/10/2017,53.7
24/10/2017,0
25/10/2017,0
26/10/2017,0
27/10/2017,0
28/10/2017,23.4
29/10/2017,5.6
30/10/2017,0
31/10/2017,0
1/11/2017,0
2/11/2017,0
3/11/2017,0
4/11/2017,0
5/11/2017,0.9
6/11/2017,0
7/11/2017,0
8/11/2017,0
9/11/2017,22
10/11/2017,0
11/11/2017,0
12/11/2017,0
13/11/2017,0
14/11/2017,0
15/11/2017,0
16/11/2017,0
17/11/2017,0
18/11/2017,0.8
19/11/2017,0
20/11/2017,0
21/11/2017,5.7
22/11/2017,0
23/11/2017,0
24/11/2017,0
25/11/2017,0
26/11/2017,0
27/11/2017,0
28/11/2017,0
29/11/2017,0
30/11/2017,0
1/12/2017,0
2/12/2017,0
3/12/2017,0
4/12/2017,4.8
5/12/2017,1.8
6/12/2017,8.6
7/12/2017,13.7
8/12/2017,28.6
9/12/2017,1.2
10/12/2017,0
11/12/2017,0
12/12/2017,0
13/12/2017,0
14/12/2017,0
15/12/2017,0
16/12/2017,0
17/12/2017,0
18/12/2017,0
19/12/2017,0
20/12/2017,36.2
21/12/2017,1
22/12/2017,3.9
23/12/2017,2.2
24/12/2017,5
25/12/2017,0
26/12/2017,0
27/12/2017,3.2
28/12/2017,0
29/12/2017,0
30/12/2017,0
31/12/2017,0
1/01/2018,0
2/01/2018,0
3/01/2018,8.8
4/01/2018,0
5/01/2018,0
6/01/2018,0
7/01/2018,0
8/01/2018,0
9/01/2018,0
10/01/2018,0.4
11/01/2018,15.8
12/01/2018,37.5
13/01/2018,0
14/01/2018,0
15/01/2018,0
16/01/2018,0
17/01/2018,2.5
18/01/2018,0
19/01/2018,0
20/01/2018,0
21/01/2018,0
22/01/2018,11.6
23/01/2018,6.1
24/01/2018,0
25/01/2018,0
26/01/2018,0
27/01/2018,1.4
28/01/2018,54.3
29/01/2018,1.7
30/01/2018,0
31/01/2018,0
1/02/2018,2.4
2/02/2018,0
3/02/2018,0.9
4/02/2018,12.9
5/02/2018,0
6/02/2018,0
7/02/2018,0.7
8/02/2018,0
9/02/2018,10.5
10/02/2018,0
11/02/2018,2.1
12/02/2018,1.4
13/02/2018,0
14/02/2018,0
15/02/2018,0
16/02/2018,0
17/02/2018,0
18/02/2018,0
19/02/2018,1.6
20/02/2018,0
21/02/2018,0
22/02/2018,0
23/02/2018,0.4
24/02/2018,0
25/02/2018,0
26/02/2018,2.5
27/02/2018,0
28/02/2018,19.7
1/03/2018,10.7
2/03/2018,0
3/03/2018,0
4/03/2018,0
5/03/2018,0
6/03/2018,6.8
7/03/2018,0
8/03/2018,0
9/03/2018,0
10/03/2018,0
11/03/2018,7.5
12/03/2018,7.4
13/03/2018,0
14/03/2018,0
15/03/2018,0
16/03/2018,0
17/03/2018,0
18/03/2018,0
19/03/2018,13.2
20/03/2018,14.6
21/03/2018,1.3
22/03/2018,0
23/03/2018,0
24/03/2018,5.7
25/03/2018,1.4
26/03/2018,0
27/03/2018,0
28/03/2018,0
29/03/2018,0
30/03/2018,0
31/03/2018,0
1/04/2018,0
2/04/2018,0
3/04/2018,1.7
4/04/2018,0
5/04/2018,0
6/04/2018,0
7/04/2018,29.2
8/04/2018,1.5
9/04/2018,12
10/04/2018,1.1
11/04/2018,0
12/04/2018,0
13/04/2018,0
14/04/2018,0
15/04/2018,24.8
16/04/2018,0
17/04/2018,0
18/04/2018,0
19/04/2018,0
20/04/2018,0
21/04/2018,0
22/04/2018,1.3
23/04/2018,57.8
24/04/2018,9.7
25/04/2018,0
26/04/2018,2.5
27/04/2018,0
28/04/2018,0
29/04/2018,0
30/04/2018,0
1/05/2018,0
2/05/2018,0
3/05/2018,0
4/05/2018,0
5/05/2018,15.9
6/05/2018,1.2
7/05/2018,0
8/05/2018,0
9/05/2018,0
10/05/2018,0
11/05/2018,0
12/05/2018,0
13/05/2018,0
14/05/2018,0
15/05/2018,2.3
16/05/2018,5.2
17/05/2018,0.3
18/05/2018,5.3
19/05/2018,73.4
20/05/2018,0.6
21/05/2018,5.7
22/05/2018,0
23/05/2018,12.2
24/05/2018,0
25/05/2018,0.7
26/05/2018,0
27/05/2018,31.4
28/05/2018,86.2
29/05/2018,0.5
30/05/2018,2.8
31/05/2018,0
1/06/2018,0
2/06/2018,0.9
3/06/2018,0
4/06/2018,0
5/06/2018,0
6/06/2018,0
7/06/2018,39.3
8/06/2018,0.6
9/06/2018,18.3
10/06/2018,0.3
11/06/2018,27.6
12/06/2018,15.2
13/06/2018,0
14/06/2018,32.6
15/06/2018,10.9
16/06/2018,0
17/06/2018,9.1
18/06/2018,4.5
19/06/2018,0
20/06/2018,9.7
21/06/2018,0
22/06/2018,0
23/06/2018,0
24/06/2018,2.9
25/06/2018,30.1
26/06/2018,12.3
27/06/2018,0
28/06/2018,0
29/06/2018,7.6
30/06/2018,6
1/07/2018,9.9
2/07/2018,0
3/07/2018,0
4/07/2018,0
5/07/2018,1
6/07/2018,0.3
7/07/2018,0.6
8/07/2018,0
9/07/2018,0
10/07/2018,0
11/07/2018,0
12/07/2018,49.6
13/07/2018,0
14/07/2018,0
15/07/2018,0
16/07/2018,2.4
17/07/2018,8.4
18/07/2018,0
19/07/2018,0
20/07/2018,23.1
21/07/2018,1.4
22/07/2018,1.1
23/07/2018,25.5
24/07/2018,27.9
25/07/2018,1.5
26/07/2018,44.2
27/07/2018,8.5
28/07/2018,5.9
29/07/2018,14
30/07/2018,31.3
31/07/2018,28
1/08/2018,14.7
2/08/2018,52.3
3/08/2018,8
4/08/2018,3.8
5/08/2018,0.5
6/08/2018,0
7/08/2018,0
8/08/2018,10.9
9/08/2018,0
10/08/2018,1.7
11/08/2018,0
12/08/2018,0
13/08/2018,4.9
14/08/2018,0
15/08/2018,0
16/08/2018,0
17/08/2018,1.7
18/08/2018,0
19/08/2018,0
20/08/2018,0
21/08/2018,1.8
22/08/2018,0
23/08/2018,0
24/08/2018,0
25/08/2018,0
26/08/2018,0
27/08/2018,0
28/08/2018,2.2
29/08/2018,0
30/08/2018,0
31/08/2018,0
1/09/2018,0
2/09/2018,0
3/09/2018,0
4/09/2018,0
5/09/2018,0
6/09/2018,0
7/09/2018,0.5
8/09/2018,0.9
9/09/2018,0
10/09/2018,0.4
11/09/2018,26.7
12/09/2018,0
13/09/2018,93.7
14/09/2018,220.3
15/09/2018,346.5
16/09/2018,50.7
17/09/2018,14.5
18/09/2018,2.2
19/09/2018,0
20/09/2018,0
21/09/2018,0
22/09/2018,0
23/09/2018,0
24/09/2018,1.5
25/09/2018,8.6
26/09/2018,0
27/09/2018,3.1
28/09/2018,1.2
29/09/2018,4.9
30/09/2018,0
1/10/2018,0
2/10/2018,0
3/10/2018,0
4/10/2018,0
5/10/2018,0
6/10/2018,7.8
7/10/2018,0
8/10/2018,1.8
9/10/2018,0
10/10/2018,11.5
11/10/2018,3
12/10/2018,0
13/10/2018,0
14/10/2018,0
15/10/2018,0
16/10/2018,11.5
17/10/2018,0
18/10/2018,0
19/10/2018,0
20/10/2018,0
21/10/2018,0
22/10/2018,0
23/10/2018,0
24/10/2018,0
25/10/2018,0
26/10/2018,39.2
27/10/2018,0
28/10/2018,0
29/10/2018,0
30/10/2018,0
31/10/2018,0
1/11/2018,4.8
2/11/2018,2.1
3/11/2018,0
4/11/2018,7
5/11/2018,2.8
6/11/2018,1.7
7/11/2018,7.8
8/11/2018,0
9/11/2018,4.2
10/11/2018,0
11/11/2018,0
12/11/2018,24.6
13/11/2018,0.4
14/11/2018,4.6
15/11/2018,12.6
16/11/2018,0
17/11/2018,0
18/11/2018,9.1
19/11/2018,0.7
