"Plot Title: Pilot Study"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 21160424, SEN S/N: 20571105, LBL: Warming)","Water Content, m³/m³ (LGR S/N: 21160424, SEN S/N: 20571110, LBL: Rainout )"
76,03/25/24 10:06:36 PM,0.2400,0.2204
77,03/25/24 10:36:36 PM,0.2400,0.2204
78,03/25/24 11:06:36 PM,0.2400,0.2204
79,03/25/24 11:36:36 PM,0.2392,0.2204
80,03/26/24 12:06:36 AM,0.2392,0.2204
81,03/26/24 12:36:36 AM,0.2392,0.2204
82,03/26/24 01:06:36 AM,0.2392,0.2204
83,03/26/24 01:36:36 AM,0.2392,0.2196
84,03/26/24 02:06:36 AM,0.2385,0.2196
85,03/26/24 02:36:36 AM,0.2385,0.2189
86,03/26/24 03:06:36 AM,0.2385,0.2182
87,03/26/24 03:36:36 AM,0.2385,0.2182
88,03/26/24 04:06:36 AM,0.2378,0.2182
89,03/26/24 04:36:36 AM,0.2378,0.2175
90,03/26/24 05:06:36 AM,0.2378,0.2175
91,03/26/24 05:36:36 AM,0.2378,0.2167
92,03/26/24 06:06:36 AM,0.2378,0.2160
93,03/26/24 06:36:36 AM,0.2385,0.2153
94,03/26/24 07:06:36 AM,0.2371,0.2146
95,03/26/24 07:36:36 AM,0.2363,0.2146
96,03/26/24 08:06:36 AM,0.2363,0.2138
97,03/26/24 08:36:36 AM,0.2363,0.2138
98,03/26/24 09:06:36 AM,0.2371,0.2138
99,03/26/24 09:36:36 AM,0.2378,0.2138
100,03/26/24 10:06:36 AM,0.2363,0.2138
101,03/26/24 10:36:36 AM,0.2356,0.2131
102,03/26/24 11:06:36 AM,0.2363,0.2131
103,03/26/24 11:36:36 AM,0.2356,0.2131
104,03/26/24 12:06:36 PM,0.2363,0.2131
105,03/26/24 12:36:36 PM,0.2363,0.2124
106,03/26/24 01:06:36 PM,0.2371,0.2131
107,03/26/24 01:36:36 PM,0.2371,0.2131
108,03/26/24 02:06:36 PM,0.2371,0.2131
109,03/26/24 02:36:36 PM,0.2378,0.2138
110,03/26/24 03:06:36 PM,0.2378,0.2131
111,03/26/24 03:36:36 PM,0.2378,0.2131
112,03/26/24 04:06:36 PM,0.2378,0.2138
113,03/26/24 04:36:36 PM,0.2378,0.2131
114,03/26/24 05:06:36 PM,0.2371,0.2131
115,03/26/24 05:36:36 PM,0.2371,0.2124
116,03/26/24 06:06:36 PM,0.2363,0.2124
117,03/26/24 06:36:36 PM,0.2356,0.2124
118,03/26/24 07:06:36 PM,0.2632,0.2138
119,03/26/24 07:36:36 PM,0.2480,0.2167
120,03/26/24 08:06:36 PM,0.2451,0.2167
121,03/26/24 08:36:36 PM,0.2443,0.2167
122,03/26/24 09:06:36 PM,0.2436,0.2160
123,03/26/24 09:36:36 PM,0.2436,0.2153
124,03/26/24 10:06:36 PM,0.2422,0.2146
125,03/26/24 10:36:36 PM,0.2422,0.2138
126,03/26/24 11:06:36 PM,0.2414,0.2138
127,03/26/24 11:36:36 PM,0.2407,0.2131
128,03/27/24 12:06:36 AM,0.2400,0.2124
129,03/27/24 12:36:36 AM,0.2407,0.2124
130,03/27/24 01:06:36 AM,0.2392,0.2124
131,03/27/24 01:36:36 AM,0.2392,0.2116
132,03/27/24 02:06:36 AM,0.2392,0.2116
133,03/27/24 02:36:36 AM,0.2392,0.2116
134,03/27/24 03:06:36 AM,0.2472,0.2116
135,03/27/24 03:36:36 AM,0.2458,0.2116
136,03/27/24 04:06:36 AM,0.2472,0.2116
137,03/27/24 04:36:36 AM,0.3228,0.2167
138,03/27/24 05:06:36 AM,0.2741,0.2175
139,03/27/24 05:36:36 AM,0.2705,0.2146
140,03/27/24 06:06:36 AM,0.2792,0.2146
141,03/27/24 06:36:36 AM,0.4688,0.3460
142,03/27/24 07:06:36 AM,0.4760,0.3555
143,03/27/24 07:36:36 AM,0.4768,0.3555
144,03/27/24 08:06:36 AM,0.4782,0.3475
145,03/27/24 08:36:36 AM,0.4782,0.3431
146,03/27/24 09:06:36 AM,0.4775,0.3395
147,03/27/24 09:36:36 AM,0.4775,0.3366
148,03/27/24 10:06:36 AM,0.4709,0.3504
149,03/27/24 10:36:36 AM,0.4579,0.5058
150,03/27/24 11:06:36 AM,0.4521,0.5189
151,03/27/24 11:36:36 AM,0.4702,0.5356
152,03/27/24 12:06:36 PM,0.4739,0.5356
153,03/27/24 12:36:36 PM,0.4760,0.5370
154,03/27/24 01:06:36 PM,0.4746,0.5378
155,03/27/24 01:36:36 PM,0.4797,0.5320
156,03/27/24 02:06:36 PM,0.4797,0.5312
157,03/27/24 02:36:36 PM,0.4760,0.5370
158,03/27/24 03:06:36 PM,0.4709,0.5378
159,03/27/24 03:36:36 PM,0.4688,0.5363
160,03/27/24 04:06:36 PM,0.4673,0.5334
161,03/27/24 04:36:36 PM,0.4651,0.5320
162,03/27/24 05:06:36 PM,0.4630,0.5298
163,03/27/24 05:36:36 PM,0.4601,0.5276
164,03/27/24 06:06:36 PM,0.4571,0.5261
165,03/27/24 06:36:36 PM,0.4586,0.5254
166,03/27/24 07:06:36 PM,0.4601,0.5261
167,03/27/24 07:36:36 PM,0.4608,0.5269
168,03/27/24 08:06:36 PM,0.4637,0.5269
169,03/27/24 08:36:36 PM,0.4760,0.5341
170,03/27/24 09:06:36 PM,0.4797,0.5356
171,03/27/24 09:36:36 PM,0.4521,0.5247
172,03/27/24 10:06:36 PM,0.4354,0.5327
173,03/27/24 10:36:36 PM,0.4397,0.5349
174,03/27/24 11:06:36 PM,0.4288,0.5407
175,03/27/24 11:36:36 PM,0.4354,0.5392
176,03/28/24 12:06:36 AM,0.4339,0.5399
177,03/28/24 12:36:36 AM,0.4826,0.5392
178,03/28/24 01:06:36 AM,0.4797,0.5356
179,03/28/24 01:36:36 AM,0.4688,0.5327
180,03/28/24 02:06:36 AM,0.4818,0.5320
181,03/28/24 02:36:36 AM,0.4869,0.5312
182,03/28/24 03:06:36 AM,0.4862,0.5312
183,03/28/24 03:36:36 AM,0.4753,0.5334
184,03/28/24 04:06:36 AM,0.4775,0.5363
185,03/28/24 04:36:36 AM,0.4731,0.5334
186,03/28/24 05:06:36 AM,0.4775,0.5320
187,03/28/24 05:36:36 AM,0.4833,0.5312
188,03/28/24 06:06:36 AM,0.4847,0.5305
189,03/28/24 06:36:36 AM,0.4847,0.5305
190,03/28/24 07:06:36 AM,0.4840,0.5305
191,03/28/24 07:36:36 AM,0.4826,0.5298
192,03/28/24 08:06:36 AM,0.4804,0.5298
193,03/28/24 08:36:36 AM,0.4789,0.5298
194,03/28/24 09:06:36 AM,0.4760,0.5291
195,03/28/24 09:36:36 AM,0.4724,0.5291
196,03/28/24 10:06:36 AM,0.4717,0.5283
197,03/28/24 10:36:36 AM,0.4695,0.5283
198,03/28/24 11:06:36 AM,0.4659,0.5283
199,03/28/24 11:36:36 AM,0.4630,0.5276
200,03/28/24 12:06:36 PM,0.4615,0.5276
201,03/28/24 12:36:36 PM,0.4550,0.5276
202,03/28/24 01:06:36 PM,0.4535,0.5276
203,03/28/24 01:36:36 PM,0.4528,0.5276
204,03/28/24 02:06:36 PM,0.4528,0.5276
205,03/28/24 02:36:36 PM,0.4521,0.5276
206,03/28/24 03:06:36 PM,0.4528,0.5269
207,03/28/24 03:36:36 PM,0.4528,0.5269
208,03/28/24 04:06:36 PM,0.4535,0.5269
209,03/28/24 04:36:36 PM,0.4542,0.5261
210,03/28/24 05:06:36 PM,0.4564,0.5261
211,03/28/24 05:36:36 PM,0.4637,0.5254
212,03/28/24 06:06:36 PM,0.4695,0.5254
213,03/28/24 06:36:36 PM,0.4702,0.5254
214,03/28/24 07:06:36 PM,0.4717,0.5247
215,03/28/24 07:36:36 PM,0.4724,0.5247
216,03/28/24 08:06:36 PM,0.4731,0.5247
217,03/28/24 08:36:36 PM,0.4731,0.5247
218,03/28/24 09:06:36 PM,0.4739,0.5240
219,03/28/24 09:36:36 PM,0.4739,0.5247
220,03/28/24 10:06:36 PM,0.4746,0.5240
221,03/28/24 10:36:36 PM,0.4746,0.5247
222,03/28/24 11:06:36 PM,0.4746,0.5247
223,03/28/24 11:36:36 PM,0.4746,0.5247
224,03/29/24 12:06:36 AM,0.4746,0.5247
225,03/29/24 12:36:36 AM,0.4746,0.5254
226,03/29/24 01:06:36 AM,0.4753,0.5254
227,03/29/24 01:36:36 AM,0.4746,0.5254
228,03/29/24 02:06:36 AM,0.4739,0.5254
229,03/29/24 02:36:36 AM,0.4739,0.5261
230,03/29/24 03:06:36 AM,0.4739,0.5269
231,03/29/24 03:36:36 AM,0.4746,0.5269
232,03/29/24 04:06:36 AM,0.4746,0.5276
233,03/29/24 04:36:36 AM,0.4746,0.5276
234,03/29/24 05:06:36 AM,0.4746,0.5276
235,03/29/24 05:36:36 AM,0.4753,0.5276
236,03/29/24 06:06:36 AM,0.4753,0.5276
237,03/29/24 06:36:36 AM,0.4753,0.5276
238,03/29/24 07:06:36 AM,0.4753,0.5283
239,03/29/24 07:36:36 AM,0.4753,0.5276
240,03/29/24 08:06:36 AM,0.4753,0.5283
241,03/29/24 08:36:36 AM,0.4753,0.5283
242,03/29/24 09:06:36 AM,0.4746,0.5283
243,03/29/24 09:36:36 AM,0.4760,0.5283
244,03/29/24 10:06:36 AM,0.4768,0.5283
245,03/29/24 10:36:36 AM,0.4753,0.5276
246,03/29/24 11:06:36 AM,0.4760,0.5276
247,03/29/24 11:36:36 AM,0.4746,0.5276
248,03/29/24 12:06:36 PM,0.4746,0.5276
249,03/29/24 12:36:36 PM,0.4731,0.5276
250,03/29/24 01:06:36 PM,0.4717,0.5276
251,03/29/24 01:36:36 PM,0.4717,0.5269
252,03/29/24 02:06:36 PM,0.4709,0.5269
253,03/29/24 02:36:36 PM,0.4709,0.5269
254,03/29/24 03:06:36 PM,0.4709,0.5254
255,03/29/24 03:36:36 PM,0.4608,0.5254
256,03/29/24 04:06:36 PM,0.4688,0.5254
257,03/29/24 04:36:36 PM,0.4680,0.5247
258,03/29/24 05:06:36 PM,0.4688,0.5247
259,03/29/24 05:36:36 PM,0.4688,0.5247
260,03/29/24 06:06:36 PM,0.4680,0.5254
261,03/29/24 06:36:36 PM,0.4695,0.5247
262,03/29/24 07:06:36 PM,0.4695,0.5240
263,03/29/24 07:36:36 PM,0.4695,0.5247
264,03/29/24 08:06:36 PM,0.4702,0.5240
265,03/29/24 08:36:36 PM,0.4695,0.5240
266,03/29/24 09:06:36 PM,0.4695,0.5247
267,03/29/24 09:36:36 PM,0.4695,0.5247
268,03/29/24 10:06:36 PM,0.4702,0.5247
269,03/29/24 10:36:36 PM,0.4695,0.5247
270,03/29/24 11:06:36 PM,0.4695,0.5247
271,03/29/24 11:36:36 PM,0.4695,0.5247
272,03/30/24 12:06:36 AM,0.4702,0.5247
273,03/30/24 12:36:36 AM,0.4695,0.5247
274,03/30/24 01:06:36 AM,0.4702,0.5247
275,03/30/24 01:36:36 AM,0.4702,0.5254
276,03/30/24 02:06:36 AM,0.4702,0.5232
277,03/30/24 02:36:36 AM,0.4695,0.5232
278,03/30/24 03:06:36 AM,0.4695,0.5225
279,03/30/24 03:36:36 AM,0.4695,0.5225
280,03/30/24 04:06:36 AM,0.4695,0.5254
281,03/30/24 04:36:36 AM,0.4695,0.5261
282,03/30/24 05:06:36 AM,0.4695,0.5261
283,03/30/24 05:36:36 AM,0.4695,0.5261
284,03/30/24 06:06:36 AM,0.4702,0.5261
285,03/30/24 06:36:36 AM,0.4702,0.5261
286,03/30/24 07:06:36 AM,0.4702,0.5254
287,03/30/24 07:36:36 AM,0.4709,0.5254
288,03/30/24 08:06:36 AM,0.4702,0.5254
289,03/30/24 08:36:36 AM,0.4702,0.5254
290,03/30/24 09:06:36 AM,0.4709,0.5254
291,03/30/24 09:36:36 AM,0.4709,0.5254
292,03/30/24 10:06:36 AM,0.4709,0.5254
293,03/30/24 10:36:36 AM,0.4709,0.5247
294,03/30/24 11:06:36 AM,0.4709,0.5254
295,03/30/24 11:36:36 AM,0.4695,0.5247
296,03/30/24 12:06:36 PM,0.4702,0.5247
297,03/30/24 12:36:36 PM,0.4688,0.5240
298,03/30/24 01:06:36 PM,0.4615,0.5232
299,03/30/24 01:36:36 PM,0.4615,0.5232
300,03/30/24 02:06:36 PM,0.4601,0.5225
301,03/30/24 02:36:36 PM,0.4644,0.5225
302,03/30/24 03:06:36 PM,0.4637,0.5225
303,03/30/24 03:36:36 PM,0.4630,0.5225
304,03/30/24 04:06:36 PM,0.4651,0.5218
305,03/30/24 04:36:36 PM,0.4630,0.5218
306,03/30/24 05:06:36 PM,0.4521,0.5218
307,03/30/24 05:36:36 PM,0.4484,0.5218
308,03/30/24 06:06:36 PM,0.4521,0.5211
309,03/30/24 06:36:36 PM,0.4492,0.5211
310,03/30/24 07:06:36 PM,0.4484,0.5211
311,03/30/24 07:36:36 PM,0.4492,0.5211
312,03/30/24 08:06:36 PM,0.4492,0.5211
313,03/30/24 08:36:36 PM,0.4492,0.5218
314,03/30/24 09:06:36 PM,0.4499,0.5211
315,03/30/24 09:36:36 PM,0.4484,0.5218
316,03/30/24 10:06:36 PM,0.4484,0.5218
317,03/30/24 10:36:36 PM,0.4492,0.5225
318,03/30/24 11:06:36 PM,0.4499,0.5225
319,03/30/24 11:36:36 PM,0.4506,0.5225
320,03/31/24 12:06:36 AM,0.4484,0.5225
321,03/31/24 12:36:36 AM,0.4477,0.5218
322,03/31/24 01:06:36 AM,0.4477,0.5225
323,03/31/24 01:36:36 AM,0.4484,0.5225
324,03/31/24 02:06:36 AM,0.4484,0.5225
325,03/31/24 02:36:36 AM,0.4492,0.5225
326,03/31/24 03:06:36 AM,0.4484,0.5218
327,03/31/24 03:36:36 AM,0.4499,0.5218
328,03/31/24 04:06:36 AM,0.4506,0.5218
329,03/31/24 04:36:36 AM,0.4499,0.5218
330,03/31/24 05:06:36 AM,0.4499,0.5218
331,03/31/24 05:36:36 AM,0.4499,0.5211
332,03/31/24 06:06:36 AM,0.4499,0.5203
333,03/31/24 06:36:36 AM,0.4499,0.5196
334,03/31/24 07:06:36 AM,0.4499,0.5196
335,03/31/24 07:36:36 AM,0.4506,0.5196
336,03/31/24 08:06:36 AM,0.4499,0.5196
337,03/31/24 08:36:36 AM,0.4506,0.5196
338,03/31/24 09:06:36 AM,0.4448,0.5196
339,03/31/24 09:36:36 AM,0.4564,0.5189
340,03/31/24 10:06:36 AM,0.4564,0.5189
341,03/31/24 10:36:36 AM,0.4608,0.5167
342,03/31/24 11:06:36 AM,0.4542,0.5167
343,03/31/24 11:36:36 AM,0.4419,0.5160
344,03/31/24 12:06:36 PM,0.4390,0.5153
345,03/31/24 12:36:36 PM,0.4404,0.5153
346,03/31/24 01:06:36 PM,0.4397,0.4782
347,03/31/24 01:36:36 PM,0.4412,0.4760
348,03/31/24 02:06:36 PM,0.4419,0.4746
349,03/31/24 02:36:36 PM,0.4455,0.4746
350,03/31/24 03:06:36 PM,0.4441,0.4717
351,03/31/24 03:36:36 PM,0.4448,0.4724
352,03/31/24 04:06:36 PM,0.4448,0.4717
353,03/31/24 04:36:36 PM,0.4441,0.4709
354,03/31/24 05:06:36 PM,0.4463,0.4702
355,03/31/24 05:36:36 PM,0.4499,0.4695
356,03/31/24 06:06:36 PM,0.4528,0.4666
357,03/31/24 06:36:36 PM,0.4550,0.4666
358,03/31/24 07:06:36 PM,0.4542,0.4615
359,03/31/24 07:36:36 PM,0.4542,0.4608
360,03/31/24 08:06:36 PM,0.4535,0.4601
361,03/31/24 08:36:36 PM,0.4542,0.4586
362,03/31/24 09:06:36 PM,0.4557,0.4593
363,03/31/24 09:36:36 PM,0.4557,0.4571
364,03/31/24 10:06:36 PM,0.4499,0.4571
365,03/31/24 10:36:36 PM,0.4506,0.4586
366,03/31/24 11:06:36 PM,0.4499,0.4586
367,03/31/24 11:36:36 PM,0.4499,0.4579
368,04/01/24 12:06:36 AM,0.4506,0.4586
369,04/01/24 12:36:36 AM,0.4513,0.4586
370,04/01/24 01:06:36 AM,0.4513,0.4586
371,04/01/24 01:36:36 AM,0.4506,0.4579
372,04/01/24 02:06:36 AM,0.4506,0.4593
373,04/01/24 02:36:36 AM,0.4521,0.4586
374,04/01/24 03:06:36 AM,0.4513,0.4586
375,04/01/24 03:36:36 AM,0.4513,0.4579
376,04/01/24 04:06:36 AM,0.4506,0.4579
377,04/01/24 04:36:36 AM,0.4513,0.4557
378,04/01/24 05:06:36 AM,0.4521,0.4557
379,04/01/24 05:36:36 AM,0.4521,0.4542
380,04/01/24 06:06:36 AM,0.4521,0.4542
381,04/01/24 06:36:36 AM,0.4521,0.4528
382,04/01/24 07:06:36 AM,0.4521,0.4521
383,04/01/24 07:36:36 AM,0.4528,0.4521
384,04/01/24 08:06:36 AM,0.4521,0.4521
385,04/01/24 08:36:36 AM,0.4528,0.4528
386,04/01/24 09:06:36 AM,0.4528,0.4521
387,04/01/24 09:36:36 AM,0.4521,0.4528
388,04/01/24 10:06:36 AM,0.4521,0.4528
389,04/01/24 10:36:36 AM,0.4521,0.4506
390,04/01/24 11:06:36 AM,0.4521,0.4506
391,04/01/24 11:36:36 AM,0.4521,0.4513
392,04/01/24 12:06:36 PM,0.4506,0.4506
393,04/01/24 12:36:36 PM,0.4499,0.4499
394,04/01/24 01:06:36 PM,0.4506,0.4484
395,04/01/24 01:36:36 PM,0.4492,0.4484
396,04/01/24 02:06:36 PM,0.4499,0.4484
397,04/01/24 02:36:36 PM,0.4492,0.4484
398,04/01/24 03:06:36 PM,0.4492,0.4477
399,04/01/24 03:36:36 PM,0.4484,0.4470
400,04/01/24 04:06:36 PM,0.4484,0.4463
401,04/01/24 04:36:36 PM,0.4484,0.4463
402,04/01/24 05:06:36 PM,0.4477,0.4455
403,04/01/24 05:36:36 PM,0.4477,0.4455
404,04/01/24 06:06:36 PM,0.4477,0.4441
405,04/01/24 06:36:36 PM,0.4477,0.4441
406,04/01/24 07:06:36 PM,0.4477,0.4448
407,04/01/24 07:36:36 PM,0.4477,0.4448
408,04/01/24 08:06:36 PM,0.4477,0.4441
409,04/01/24 08:36:36 PM,0.4477,0.4448
410,04/01/24 09:06:36 PM,0.4492,0.4448
411,04/01/24 09:36:36 PM,0.4499,0.4455
412,04/01/24 10:06:36 PM,0.4499,0.4455
413,04/01/24 10:36:36 PM,0.4499,0.4448
414,04/01/24 11:06:36 PM,0.4492,0.4448
415,04/01/24 11:36:36 PM,0.4499,0.4448
416,04/02/24 12:06:36 AM,0.4513,0.4463
417,04/02/24 12:36:36 AM,0.4513,0.4470
418,04/02/24 01:06:36 AM,0.4521,0.4463
419,04/02/24 01:36:36 AM,0.4521,0.4463
420,04/02/24 02:06:36 AM,0.4521,0.4463
421,04/02/24 02:36:36 AM,0.4521,0.4455
422,04/02/24 03:06:36 AM,0.4521,0.4441
423,04/02/24 03:36:36 AM,0.4521,0.4404
424,04/02/24 04:06:36 AM,0.4513,0.4397
425,04/02/24 04:36:36 AM,0.4521,0.4390
426,04/02/24 05:06:36 AM,0.4528,0.4433
427,04/02/24 05:36:36 AM,0.4513,0.4375
428,04/02/24 06:06:36 AM,0.4521,0.4368
429,04/02/24 06:36:36 AM,0.4521,0.4383
430,04/02/24 07:06:36 AM,0.4521,0.4375
431,04/02/24 07:36:36 AM,0.4521,0.4375
432,04/02/24 08:06:36 AM,0.4521,0.4390
433,04/02/24 08:36:36 AM,0.4521,0.4390
434,04/02/24 09:06:36 AM,0.4521,0.4383
435,04/02/24 09:36:36 AM,0.4513,0.4390
436,04/02/24 10:06:36 AM,0.4521,0.4397
437,04/02/24 10:36:36 AM,0.4513,0.4375
438,04/02/24 11:06:36 AM,0.4513,0.4383
439,04/02/24 11:36:36 AM,0.4506,0.4375
440,04/02/24 12:06:36 PM,0.4492,0.4390
441,04/02/24 12:36:36 PM,0.4492,0.4375
442,04/02/24 01:06:36 PM,0.4484,0.4354
443,04/02/24 01:36:36 PM,0.4477,0.4361
444,04/02/24 02:06:36 PM,0.4477,0.4361
445,04/02/24 02:36:36 PM,0.4477,0.4354
446,04/02/24 03:06:36 PM,0.4477,0.4346
447,04/02/24 03:36:36 PM,0.4477,0.4339
448,04/02/24 04:06:36 PM,0.4448,0.4281
449,04/02/24 04:36:36 PM,-0.1232,-0.1101
450,04/02/24 05:06:36 PM,-0.1210,-0.1014
451,04/02/24 05:36:36 PM,0.0707,0.0693
452,04/02/24 06:06:36 PM,0.0686,0.0751
453,04/02/24 06:36:36 PM,0.0693,0.0766
454,04/02/24 07:06:36 PM,0.0693,0.0773
455,04/02/24 07:36:36 PM,0.0700,0.0773
456,04/02/24 08:06:36 PM,0.0707,0.0780
457,04/02/24 08:36:36 PM,0.0707,0.0780
458,04/02/24 09:06:36 PM,0.0700,0.0787
459,04/02/24 09:36:36 PM,0.0707,0.0787
460,04/02/24 10:06:36 PM,0.0707,0.0787
461,04/02/24 10:36:36 PM,0.0707,0.0795
462,04/02/24 11:06:36 PM,0.0707,0.0795
463,04/02/24 11:36:36 PM,0.0707,0.0795
464,04/03/24 12:06:36 AM,0.0707,0.0795
465,04/03/24 12:36:36 AM,0.0707,0.0795
466,04/03/24 01:06:36 AM,0.0700,0.0795
467,04/03/24 01:36:36 AM,0.0707,0.0795
468,04/03/24 02:06:36 AM,0.0707,0.0795
469,04/03/24 02:36:36 AM,0.0707,0.0795
470,04/03/24 03:06:36 AM,0.0707,0.0795
471,04/03/24 03:36:36 AM,0.0707,0.0795
472,04/03/24 04:06:36 AM,0.0707,0.0795
473,04/03/24 04:36:36 AM,0.0715,0.0802
474,04/03/24 05:06:36 AM,0.0722,0.0795
475,04/03/24 05:36:36 AM,0.1187,0.0947
476,04/03/24 06:06:36 AM,0.1129,0.1521
477,04/03/24 06:36:36 AM,0.1259,0.4680
478,04/03/24 07:06:36 AM,0.1114,0.4666
479,04/03/24 07:36:36 AM,0.1078,0.4680
480,04/03/24 08:06:36 AM,0.1049,0.4303
481,04/03/24 08:36:36 AM,0.1027,0.3707
482,04/03/24 09:06:36 AM,0.1012,0.3271
483,04/03/24 09:36:36 AM,0.0998,0.2974
484,04/03/24 10:06:36 AM,0.0991,0.2734
485,04/03/24 10:36:36 AM,0.0983,0.2465
486,04/03/24 11:06:36 AM,0.0983,0.2175
487,04/03/24 11:36:36 AM,0.0976,0.1811
488,04/03/24 12:06:36 PM,0.0969,0.1564
489,04/03/24 12:36:36 PM,0.0969,0.1434
490,04/03/24 01:06:36 PM,0.0969,0.1267
491,04/03/24 01:36:36 PM,0.1172,0.4739
492,04/03/24 02:06:36 PM,0.1063,0.4746
493,04/03/24 02:36:36 PM,0.1034,0.4789
494,04/03/24 03:06:36 PM,0.1020,0.4804
495,04/03/24 03:36:36 PM,0.1012,0.4775
496,04/03/24 04:06:36 PM,0.1005,0.4506
497,04/03/24 04:36:36 PM,0.0991,0.4092
498,04/03/24 05:06:36 PM,0.0983,0.3649
499,04/03/24 05:36:36 PM,0.0976,0.3337
500,04/03/24 06:06:36 PM,0.0976,0.2981
501,04/03/24 06:36:36 PM,0.0969,0.2683
502,04/03/24 07:06:36 PM,0.4956,0.2407
503,04/03/24 07:36:36 PM,0.1426,0.2124
504,04/03/24 08:06:36 PM,0.1259,0.1811
505,04/03/24 08:36:36 PM,0.1209,0.1681
506,04/03/24 09:06:36 PM,0.1180,0.1463
507,04/03/24 09:36:36 PM,0.1158,0.1339
508,04/03/24 10:06:36 PM,0.1143,0.1296
509,04/03/24 10:36:36 PM,0.1129,0.1274
