"site","ID","site_ID","quad","x","y","mark","Alive15","Alive16","Alive17","Alive18","Alive19","Alive20","Alive21","Alive22","Alive23","Alive24","Alive25","sur_15_16","sur_16_17","sur_17_18","sur_18_19","sur_19_20","sur_20_21","sur_21_22","sur_22_23","sur_23_24","sur_24_25","Alive15_tpry","Alive16_tpry","Alive17_tpry","Alive18_tpry","Alive19_tpry","Alive20_tpry","Alive21_tpry","Alive22_tpry","Alive23_tpry","Alive24_tpry","Alive25_tpry","sur_15_16_tpry","sur_16_17_tpry","sur_17_18_tpry","sur_18_19_tpry","sur_19_20_tpry","sur_20_21_tpry","sur_21_22_tpry","sur_22_23_tpry","sur_23_24_tpry","sur_24_25_tpry","X","Date_Marked2015","N15","L15","size15","CT15","FR15","DT15","Notes15","Comm15","libsur15_16","consur15_16","Total.leaves.including.brown.ones2015","N.DEAD15","date16","N16","L16","size16","CT16","FR16","DT16","Notes16","Comm16","libsur16_17","consur16_17","date17","N17","L17","size17","CT17","FR17","DT17","Notes17","Comm17","libsur17_18","consur17_18","N18","L18","size18","FR18","Notes18","Comm18","include.in.19.census","N19","L19","FR19","Notes19","Comm19","size19","N20","L20","FR20","FLW20","Notes20","Comm20","size20","N21","L21","FR21","FLW21","Notes21","Comm21","size21","N22","L22","FR22","FLW22","Notes22","Comm22","Measurer22","size22","N23","L23","FR23","FLW23","Notes23","Comm23","Measurer23","size23","N24","L24","FR24","FLW24","Note24","Comm24","size24","N25","L25","FR25","FLW25","Note25","Comm25","size25"
"B1","12","B1_12","2","18","47","rh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"11",NA,"2","7","14","0","0",NA,NA,NA,"1","1",NA,"0",NA,NA,NA,NA,NA,NA,NA,"dead16?",NA,"1","1",NA,"4","9","36","1","0","0",NA,NA,"1","1","9","9","81","0",NA,"1 stem removed","Y","2","11","5",NA,NA,"22","9","17","0","0",NA,NA,"153","3","10","6","7",NA,NA,"30","0",NA,NA,NA,NA,"sen burn, plot burned","as","0","2","17",NA,NA,NA,NA,"gage","34","3","12",NA,NA,NA,NA,"36","3","26","","","","","78"
"B1","14","B1_14","2","34","7","gh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"12",NA,"5","10","50","2","0",NA,NA,"some leaves didn't have traps","1","1",NA,"4",NA,"0","0",NA,"0","8","0","dead16?",NA,"1","1",NA,"6","7","42","0","0","6",NA,"fruit stalk broken off","1","1","6","19","114","0",NA,NA,"Y","0",NA,"3",NA,"sen","0","2","16","6","6",NA,NA,"32","9","13",NA,NA,NA,"inf aborted","117","0",NA,NA,NA,NA,"inf burn","as","0","2","30",NA,NA,NA,NA,"gage","60","2","10",NA,NA,NA,NA,"20","0","","","","","new lvs","0"
"B1","15","B1_15","2","34","22","wp",1,1,1,1,"1","1","1","1",NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,"1","1","1","1",NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,"13",NA,"2","6","12","0","0",NA,NA,NA,"1","1",NA,"2",NA,NA,NA,NA,NA,NA,NA,"dead16?",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,"tp no plant","1","1","1","5","5","0",NA,NA,"Y","0",NA,NA,NA,"sen","0","0",NA,NA,NA,NA,"sen","0",NA,NA,NA,NA,"mpd21","PresAlive21","0","0",NA,NA,NA,NA,"sen burn","as","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","16","B1_16","2","36","24","op",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"14",NA,"5","12","60","0","0",NA,NA,NA,"1","1",NA,"2",NA,"1","5","5","0","0","0",NA,NA,"1","1",NA,"4","8","32","0","0","4",NA,NA,"1","1","4","14","56","0",NA,NA,"Y","0",NA,NA,NA,"sen","0","6","14","0","0",NA,NA,"84","3","14",NA,NA,NA,"inf aborted","42","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0","1","7",NA,NA,NA,NA,"7","0","","","","","new lvs","0"
"B1","17","B1_17","2","42","13","rp",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"15",NA,"4","11","44","0","0",NA,NA,NA,"1","1",NA,"5",NA,"2","11","22","0","3","2",NA,NA,"1","1",NA,"6","11","66","0","0","4",NA,NA,"1","1","9","13","117","0",NA,NA,"Y","4","21",NA,NA,NA,"84","3","15","4","5",NA,NA,"45","5","13",NA,NA,NA,"inf aborted","65","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0","1","6",NA,NA,NA,NA,"6","3","15","","","","","45"
"B1","18","B1_18","2","43","15","bd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"16",NA,"4","9","36","1","0",NA,NA,NA,"1","1",NA,"3",NA,"4","14","56","0","0","3",NA,NA,"1","1",NA,"5","9","45","0","0","3",NA,NA,"1","1","5","9","45","0",NA,NA,"Y","2","10","3",NA,NA,"20","8","18","0","0",NA,NA,"144","2","14",NA,"8",NA,"inf broken","28","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0","2","8",NA,NA,NA,NA,"16","2","12","","","","","24"
"B1","19","B1_19","2","47","14","yh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"17",NA,"2","2","4","0","0",NA,NA,NA,"1","1",NA,"0",NA,"4","19","76","0","0","0",NA,NA,"1","1",NA,"5","18","90","0","0","4",NA,NA,"1","1","7","12","84","0",NA,NA,"Y","2","13",NA,NA,NA,"26","6","13","0","0",NA,NA,"78","6","17",NA,NA,NA,NA,"102","0",NA,NA,NA,NA,"sen burn","as","0","3","18",NA,NA,NA,NA,"gage","54",NA,NA,NA,NA,NA,"sen",NA,"4","22","","","","","88"
"B1","20","B1_20","2","48","8","oh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"18",NA,"1","12","12","0","7",NA,NA,NA,"1","1",NA,"7",NA,"2","22","44","0","12","2",NA,NA,"1","1",NA,"5","16","80","0","0","4",NA,NA,"1","1","6","15","90","2",NA,NA,"Y","4","20","3",NA,NA,"80","6","16","6","6",NA,NA,"96","6","12","4","6",NA,"qs25-50","72","0",NA,NA,NA,NA,"sen burn","as","0","2","23","0","10",NA,"inf imm","gage","46",NA,NA,NA,NA,"dead24",NA,NA,"3","10","","","","","30"
"B1","21","B1_21","2","49","46","gd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"19",NA,"3","3","9","0","0",NA,NA,"looks yellow and sickly","1","1",NA,"0",NA,"0","0",NA,"0","1","0","dead16?",NA,"1","1",NA,"5","14","70","0","0","4",NA,NA,"1","1","4","24","96","0",NA,"qs25-50, no new 18","Y","3","22","4",NA,"qs25-50 no new","66","9","22","0","0",NA,"qs25-50 no new","198","3","18",NA,"11",NA,"inf broken","54","0",NA,NA,NA,NA,"inf burned, qs 25-50 no new","as","0","6","27",NA,NA,NA,"qns25-50","gage","162","2","14",NA,NA,NA,"qns25-50","28","3","20","","","","qns25-50","60"
"B1","22","B1_22","3","4","27","bd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"20",NA,"7","28","196","2","0",NA,NA,NA,"1","1","7",NA,NA,"3","18","54","0","3","2",NA,NA,"1","1",NA,"7","19","133","2","0","0",NA,NA,"1","1","5","39","195","0",NA,NA,"Y","2","31",NA,NA,NA,"62","4","55","0","0",NA,NA,"220","2","42",NA,NA,NA,NA,"84","1","5",NA,NA,NA,"plot burn","as","5","0",NA,"0","8",NA,"sen; inf imm","gage","0","6","23",NA,NA,NA,NA,"138","3","18","","","","","54"
"B1","313","B1_313","3","24","21","od",NA,1,1,1,"1","1","1","1","1","1","1",NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,"1","1","1","1","1","1","1",NA,1,1,1,1,1,1,1,1,1,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","21","105","0","0","1",NA,"sdl; new16","1","1",NA,"15","12","180","4","0","1",NA,NA,"1","1","17","25","425","0",NA,NA,"Y","3","30","1",NA,NA,"90","4","28","0","0",NA,NA,"112","6","19",NA,NA,NA,NA,"114","3","12",NA,NA,NA,NA,"as","36","8","38",NA,NA,NA,NA,"gage","304","8","22",NA,NA,NA,NA,"176","5","31","","","","","155"
"B1","23","B1_23","3","27","26","rh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"22",NA,"5","22","110","0","0",NA,NA,NA,"1","1","5",NA,NA,"8","25","200","1","0","2",NA,NA,"1","1",NA,"6","21","126","1","0","0",NA,NA,"1","1","4","20","80","0",NA,"1 stem removed","Y","6","28",NA,NA,NA,"168","5","40","0","0",NA,NA,"200","2","37",NA,"2",NA,"inf broken","74","0",NA,NA,NA,NA,"sen burn","as","0","3","42","0","4",NA,"inf imm","gage","126","5","25",NA,"7",NA,"frunc","125","2","19","","","","","38"
"B1","24","B1_24","3","28","18","bh",1,1,1,1,"1","1","1","1","0",NA,NA,1,1,1,1,1,1,1,0,NA,NA,1,1,1,1,"1","1","1","1","0",NA,NA,1,1,1,1,1,1,1,0,NA,NA,"23",NA,"6","25","150","1","0",NA,NA,NA,"1","1","7",NA,NA,"5","40","200","0","0","1",NA,"1 leaf+trap herbivorized","1","1",NA,"7","27","189","2","0","0",NA,NA,"1","1","4","37","148","0",NA,NA,"Y","3","59",NA,NA,NA,"177","11","30","0","0",NA,NA,"330","3","26",NA,NA,NA,NA,"78","0",NA,NA,NA,NA,"sen burn","as","0",NA,NA,NA,NA,"mpd23",NA,"gage","0",NA,NA,NA,NA,"mpd23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","25","B1_25","3","29","30","bd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","0",1,1,1,1,1,1,1,1,1,0,"24",NA,"7","15","105","0","0",NA,NA,NA,"1","1","7",NA,NA,"6","24","144","1",NA,"2",NA,"stalk, no fruit","1","1",NA,"8","32","256","3","10","0",NA,NA,"1","1","6","21","126","5",NA,NA,"Y","5","32",NA,NA,NA,"160","4","30","0","0",NA,NA,"120","2","42",NA,NA,NA,NA,"84","0",NA,NA,NA,NA,"sen burn","as","0","6","31",NA,NA,NA,"inf herb","gage","186","5","25","2",NA,NA,NA,"125","0","","","","","","0"
"B1","26","B1_26","3","30","18","rc",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,"6","21","126","1","0",NA,NA,NA,"1","1","9",NA,NA,"4","31","124","1","5","3",NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"no plant; pitcher plant overgrown",NA,NA,NA,NA,NA,NA,"mpd17",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","27","B1_27","3","30","33","wp",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","0",1,1,1,1,1,1,1,1,1,0,"26",NA,"5","31","155","1","0",NA,NA,NA,"1","1","5",NA,NA,"5","34","170","0","6","2",NA,"herbivorized leaf","1","1",NA,"6","21","126","1","8","1",NA,NA,"1","1","5","32","160","10",NA,NA,"Y","4","41","5",NA,NA,"164","5","24","0","0",NA,"inf aborted","120","6","34","5","8",NA,NA,"204","0",NA,NA,NA,NA,"sen burn","as","0","10","27",NA,NA,NA,NA,"gage","270","5","27","2","1",NA,NA,"135","0","","","","","","0"
"B1","28","B1_28","3","31","26","gh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"27",NA,"8","7","56","0","0",NA,NA,NA,"1","1","8",NA,NA,"6","22","132","2","0","0",NA,NA,"1","1",NA,"5","19","95","1","0","2",NA,NA,"1","1","8","38","304","0",NA,NA,"Y","3","30","3",NA,NA,"90","2","39","2","2",NA,NA,"78","3","37",NA,"6",NA,"inf broken","111","3","17",NA,NA,NA,NA,"as","51","4","29","0","4",NA,"inf imm","gage","116","5","36",NA,NA,NA,NA,"180","1","19","","","","","19"
"B1","29","B1_29","3","31","28","od",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"28",NA,"6","16","96","1","0",NA,NA,NA,"1","1","6",NA,NA,"4","38","152","0","0","1",NA,NA,"1","1",NA,"8","25","200","2","0","2",NA,NA,"1","1","4","39","156","13",NA,NA,"Y","4","33",NA,NA,NA,"132","5","23","0","0",NA,"inf herb","115","3","28",NA,"10",NA,"inf broken","84","0",NA,NA,NA,NA,"sen burn","as","0","6","24","0","9",NA,"inf imm","gage","144","3","31",NA,NA,NA,NA,"93","1","18","","","","","18"
"B1","30","B1_30","3","32","20","bd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"29",NA,"11","22","242","1","0",NA,NA,NA,"1","1","12",NA,NA,"5","40","200","0",NA,"1",NA,"stalk, no fruit","1","1",NA,"7","11","77","1","0","0",NA,NA,"1","1","6","23","138","2",NA,NA,"Y","3","22","1",NA,NA,"66","6","26","0","0",NA,NA,"156","5","24",NA,NA,NA,NA,"120","2","18",NA,NA,NA,NA,"as","36","3","28",NA,NA,NA,NA,"gage","84","1","15",NA,NA,NA,"pt sen other larger lvs?","15","1","28","","","","","28"
"B1","31","B1_31","3","32","21","rp",1,1,1,1,"1","1","1","1","0",NA,NA,1,1,1,1,1,1,1,0,NA,NA,1,1,1,1,"1","1","1","1","0",NA,NA,1,1,1,1,1,1,1,0,NA,NA,"30",NA,"9","31","279","2","0",NA,NA,NA,"1","1","9",NA,NA,"2","28","56","0","0","2",NA,NA,"1","1",NA,"2","12","24","0","0","1",NA,NA,"1","1","4","18","72","2",NA,NA,"Y","0",NA,NA,NA,"sen","0","3","21",NA,"4",NA,"inf imm","63","5","22",NA,NA,NA,NA,"110","0",NA,NA,NA,NA,"sen burn","as","0",NA,NA,NA,NA,"dead23",NA,"gage","0",NA,NA,NA,NA,"dead23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","32","B1_32","3","32","23","gd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"31",NA,"4","21","84","1","0",NA,NA,NA,"1","1","4",NA,NA,"2","21","42","0","0","0",NA,NA,"1","1",NA,"3","12","36","1","8","2",NA,NA,"1","1","2","18","36","7",NA,NA,"Y","1","15",NA,NA,NA,"15","2","22","0","0",NA,NA,"44","4","17",NA,NA,NA,NA,"68","1","11",NA,NA,NA,NA,"as","11","5","17","0","1",NA,"inf imm","gage","85","6","26",NA,NA,NA,NA,"156","5","18","","","","","90"
"B1","33","B1_33","3","32","27","bp",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"32",NA,"4","7","28","0","0",NA,NA,NA,"1","1","4",NA,NA,"6","22","132","1","0","2",NA,NA,"1","1",NA,"6","27","162","3","0","1",NA,NA,"1","1","9","16","144","0",NA,NA,"Y","5","34",NA,NA,NA,"170","4","20","4","5",NA,NA,"80","8","21",NA,NA,NA,NA,"168","0",NA,NA,NA,NA,"sen burn","as","0","3","19","0","5",NA,"inf imm","gage","57","8","20",NA,NA,NA,NA,"160","1","17","","","","","17"
"B1","34","B1_34","3","32","35","oh",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33",NA,"1","9","9","0","0",NA,NA,NA,"1","1","1",NA,NA,"5","15","75","1","0","3",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate 1035",NA,NA,NA,NA,NA,NA,"mpd17",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","35","B1_35","3","32","35","rd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"34",NA,"6","43","258","4","0",NA,NA,NA,"1","1","7",NA,NA,"4","27","108","1","5","1",NA,NA,"1","1",NA,"8","23","184","3","0","0",NA,NA,"1","1","9","28","252","0",NA,NA,"Y","4","28","2",NA,NA,"112","5","25","0","0","bew unm plt left",NA,"125","3","12","3","6","bew unm plt L",NA,"36","0",NA,NA,NA,"bew unm pl L","sen burn","as","0","9","25","0","9","bew unm pl L","inf imm","gage","225","7","18",NA,NA,"!unm pl L",NA,"126","7","27","","","!unm pl L","","189"
