,"(mm) Precipitation (gridMET), -76.8740E,34.7672N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -76.8740E,34.7672N ,2024-06-15 to 2025-06-15"
"2024-10-05",0,22.1
"2024-10-06",0,19.15
"2024-10-07",0,21
"2024-10-08",0,20.05
"2024-10-09",0,18.75
"2024-10-10",0,15.8
"2024-10-11",0,14.05
"2024-10-12",0,16.8
"2024-10-13",0,19.05
"2024-10-14",0,17.7
"2024-10-15",0,15.5
"2024-10-16",0,10.1
"2024-10-17",0,10.4
"2024-10-18",0,13.4
"2024-10-19",0,16.3
"2024-10-20",0,17.3
"2024-10-21",0,18
"2024-10-22",0,19.6
"2024-10-23",0,20.3
"2024-10-24",0,15.6
"2024-10-25",0,15.45
"2024-10-26",0.3,19.45
"2024-10-27",2.8,14.2
"2024-10-28",0,15.7
"2024-10-29",0,18.25
"2024-10-30",0,19.6
"2024-10-31",0,20.7
"2024-11-01",0,21.15
"2024-11-02",0,17
"2024-11-03",0,15.8
"2024-11-04",0,18.4
"2024-11-05",0,19.7
"2024-11-06",0,20.4
"2024-11-07",0,21.2
"2024-11-08",0,20.95
"2024-11-09",0,14.5
"2024-11-10",0,17.35
"2024-11-11",1.1,18.65
"2024-11-12",0,14.2
"2024-11-13",0,11.85
"2024-11-14",35.2,13.95
"2024-11-15",0,11.05
"2024-11-16",0,10.95
"2024-11-17",0,11.9
"2024-11-18",0,14.2
"2024-11-19",0,13.9
"2024-11-20",0.4,15.15
"2024-11-21",0,9.45
"2024-11-22",0,5.45
"2024-11-23",0,8.25
"2024-11-24",0,9.7
"2024-11-25",0,12.2
"2024-11-26",0.8,15.5
"2024-11-27",0,14.2
"2024-11-28",0.3,14.45
"2024-11-29",0,5.8
"2024-11-30",0,2.25
"2024-12-01",0,4.2
"2024-12-02",0,1.8
"2024-12-03",0,0.6
"2024-12-04",0,3.8
"2024-12-05",0,7.35
"2024-12-06",0,-0.75
"2024-12-07",0,0.9
"2024-12-08",0,12
"2024-12-09",1.3,14.05
"2024-12-10",2.8,19.05
"2024-12-11",28,9.8
"2024-12-12",0,4.15
"2024-12-13",0,6.05
"2024-12-14",0,10.4
"2024-12-15",0,10.85
"2024-12-16",0.5,14.35
"2024-12-17",0.5,18.2
"2024-12-18",0.4,17.45
"2024-12-19",0,11.8
"2024-12-20",0,8.05
"2024-12-21",0,3.95
"2024-12-22",0,1.2
"2024-12-23",0,3.75
"2024-12-24",11.5,6.25
"2024-12-25",0,6.55
"2024-12-26",0,7.25
"2024-12-27",0,10.8
"2024-12-28",1,14
"2024-12-29",5.5,17.25
"2024-12-30",0,11.75
"2024-12-31",0,13.35
"2025-01-01",0,10.3
"2025-01-02",0,6.85
"2025-01-03",0,6.2
"2025-01-04",0,2.45
"2025-01-05",0,5.85
"2025-01-06",3.1,10.95
"2025-01-07",0,3.25
"2025-01-08",0,2
"2025-01-09",0,1.6
"2025-01-10",12.6,4.05
"2025-01-11",0,4.15
"2025-01-12",0,3.75
"2025-01-13",0,6.55
"2025-01-14",0,6.65
"2025-01-15",0,0.65
"2025-01-16",0,4.3
"2025-01-17",0,6.55
"2025-01-18",7.7,10.25
"2025-01-19",0.8,9.4
"2025-01-20",0,2.85
"2025-01-21",11,-0.15
"2025-01-22",0.5,-2.6
"2025-01-23",0,-0.05
"2025-01-24",0,1.95
"2025-01-25",0,4.45
"2025-01-26",0.6,8.25
"2025-01-27",6.1,8.4
"2025-01-28",0,11.8
"2025-01-29",0,12.6
"2025-01-30",0,11.9
"2025-01-31",4.2,13.15
"2025-02-01",0,8.85
"2025-02-02",3.2,4.9
"2025-02-03",0,8.6
"2025-02-04",0,12.95
"2025-02-05",0.3,5.5
"2025-02-06",0.4,7.7
"2025-02-07",1.6,13.6
"2025-02-08",0,9.2
"2025-02-09",2.1,10.3
"2025-02-10",0,1.05
"2025-02-11",3.6,1.35
"2025-02-12",1.7,7.05
"2025-02-13",11.1,8.8
"2025-02-14",0,1.95
"2025-02-15",4.1,9.2
"2025-02-16",10.7,8.05
"2025-02-17",0,1.15
"2025-02-18",0,2.9
"2025-02-19",19.1,-2.6
"2025-02-20",0,-6.6
"2025-02-21",1.4,10.45
"2025-02-22",1.9,2.05
"2025-02-23",0,-1.6
"2025-02-24",0,-0.8
"2025-02-25",0.7,6.8
"2025-02-26",12.3,9.65
"2025-02-27",14.2,5.2
"2025-02-28",0,10.05
"2025-03-01",0,13
"2025-03-02",0,1.8
"2025-03-03",0,4.6
"2025-03-04",0,11.8
"2025-03-05",38.1,14.65
"2025-03-06",0,6.15
"2025-03-07",0,7.85
"2025-03-08",0,13.85
"2025-03-09",0,10.6
"2025-03-10",0,12.45
"2025-03-11",0,13.45
"2025-03-12",0,16.4
"2025-03-13",0,16.5
"2025-03-14",0,12.3
"2025-03-15",0,17.95
"2025-03-16",51.4,20.25
"2025-03-17",9.4,11.7
"2025-03-18",0,10.7
"2025-03-19",0,14.7
"2025-03-20",2.2,14.9
"2025-03-21",0,10.85
"2025-03-22",0,13.45
"2025-03-23",0,14.4
"2025-03-24",0,17.2
"2025-03-25",0,16.2
"2025-03-26",0,11.25
"2025-03-27",0,11.8
"2025-03-28",0,18.6
"2025-03-29",0,20.8
"2025-03-30",0.4,21.9
"2025-03-31",5.1,20.25
"2025-04-01",0,17.4
"2025-04-02",0,18.7
"2025-04-03",0,23.55
"2025-04-04",0,22.35
"2025-04-05",0,22.9
"2025-04-06",0,23.6
"2025-04-07",11.2,17.75
"2025-04-08",0,12.8
"2025-04-09",0,10.45
"2025-04-10",4.9,16.4
"2025-04-11",6.9,15.25
"2025-04-12",0,9.3
"2025-04-13",0,12.85
"2025-04-14",0,18.25
"2025-04-15",0,16.2
"2025-04-16",0,12.75
"2025-04-17",0,14.45
"2025-04-18",0,20.15
"2025-04-19",0,20.8
"2025-04-20",0,21.35
"2025-04-21",0,21.9
"2025-04-22",0,22.55
"2025-04-23",7.4,19.5
"2025-04-24",0,19.85
"2025-04-25",0,23.05
"2025-04-26",0,20.75
"2025-04-27",0,13.35
"2025-04-28",0,15.15
"2025-04-29",0,19.6
"2025-04-30",0,21.7
"2025-05-01",0,22.25
"2025-05-02",0,22.9
"2025-05-03",11.5,22.4
"2025-05-04",8.3,20.2
"2025-05-05",0,20.65
"2025-05-06",0,20.9
"2025-05-07",0,23.25
"2025-05-08",0,21.4
"2025-05-09",1,21.15
"2025-05-10",0,20.2
"2025-05-11",11.8,20.65
"2025-05-12",73.3,20.8
"2025-05-13",26.4,22.1
"2025-05-14",1.9,24.15
"2025-05-15",1,23.85
"2025-05-16",0,27.65
"2025-05-17",0,24.45
"2025-05-18",0,24.1
"2025-05-19",0,23.25
"2025-05-20",5.8,23.55
"2025-05-21",0,23.65
"2025-05-22",0.4,21.1
"2025-05-23",0,19.7
"2025-05-24",0,18.95
"2025-05-25",16.2,22.15
"2025-05-26",1.3,16.85
"2025-05-27",35.3,20.4
"2025-05-28",1,23.95
"2025-05-29",30,23.6
"2025-05-30",9,20.7
"2025-05-31",5,19.6
"2025-06-01",0.8,21.2
"2025-06-02",0,20.3
"2025-06-03",0,20.35
"2025-06-04",0,23.2
"2025-06-05",29.9,22.65
"2025-06-06",0,26.05
"2025-06-07",9.1,26.9
"2025-06-08",23,26.3
"2025-06-09",4.8,25.95
"2025-06-10",3.6,24.1
"2025-06-11",0,25.85
"2025-06-12",0,26.45
"2025-06-13",3.6,26.8
"2025-06-14",16.9,25.2
"2025-06-15",0,27.3
