,"(mm) Precipitation (gridMET), -78.3000E,34.0820N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -78.3000E,34.0820N ,2024-06-15 to 2025-06-15"
"2024-09-20",0,23.35
"2024-09-21",0,23.05
"2024-09-22",7.2,24.5
"2024-09-23",0,24.05
"2024-09-24",0.3,24.2
"2024-09-25",0,26.2
"2024-09-26",13.8,25.65
"2024-09-27",7.9,24.2
"2024-09-28",0,24.2
"2024-09-29",0,24.85
"2024-09-30",0,25.3
"2024-10-01",0,24.1
"2024-10-02",0,20.95
"2024-10-03",0,22.65
"2024-10-04",0,23.3
"2024-10-05",0,22.25
"2024-10-06",0,20.05
"2024-10-07",0,22.1
"2024-10-08",0,19.1
"2024-10-09",0,18.7
"2024-10-10",0,14.35
"2024-10-11",0,13.35
"2024-10-12",0,16.35
"2024-10-13",0,19.95
"2024-10-14",0,17.6
"2024-10-15",0,15.1
"2024-10-16",0,9.15
"2024-10-17",0,9.2
"2024-10-18",0,11.65
"2024-10-19",0,14.9
"2024-10-20",0,16.25
"2024-10-21",0,18.5
"2024-10-22",0,19.35
"2024-10-23",0,19.7
"2024-10-24",0,16.2
"2024-10-25",0,16.65
"2024-10-26",2.6,20.85
"2024-10-27",0.8,14.35
"2024-10-28",0,16.65
"2024-10-29",0,17.65
"2024-10-30",0,19.15
"2024-10-31",0,19.6
"2024-11-01",0,20.15
"2024-11-02",0,19.15
"2024-11-03",0,16.35
"2024-11-04",0,19.3
"2024-11-05",0,19.75
"2024-11-06",0,21.4
"2024-11-07",2.5,19.85
"2024-11-08",0,21.35
"2024-11-09",0,15.35
"2024-11-10",0,17.3
"2024-11-11",1.1,18.9
"2024-11-12",0,13.9
"2024-11-13",0,12.05
"2024-11-14",21.8,13.4
"2024-11-15",0,9.85
"2024-11-16",0,10.6
"2024-11-17",0,12.15
"2024-11-18",0,14.6
"2024-11-19",1.5,15.4
"2024-11-20",0,13.8
"2024-11-21",0,7.75
"2024-11-22",0,5.6
"2024-11-23",0,7.65
"2024-11-24",0,9.95
"2024-11-25",0,12.85
"2024-11-26",0,14.7
"2024-11-27",0,14.25
"2024-11-28",3.8,12.55
"2024-11-29",0,3.7
"2024-11-30",0,2.55
"2024-12-01",0,4.3
"2024-12-02",0,3.1
"2024-12-03",0,0.35
"2024-12-04",0,2.05
"2024-12-05",0,6.6
"2024-12-06",0,-1.1
"2024-12-07",0,1.5
"2024-12-08",0.5,10.75
"2024-12-09",1.3,12.45
"2024-12-10",10.4,19.45
"2024-12-11",6.8,8.6
"2024-12-12",0,4.65
"2024-12-13",0,7.4
"2024-12-14",0,9.55
"2024-12-15",0,12.7
"2024-12-16",0,15.85
"2024-12-17",0,18.15
"2024-12-18",5.1,18.85
"2024-12-19",0,11.6
"2024-12-20",0,7.6
"2024-12-21",0,4.9
"2024-12-22",0,1.95
"2024-12-23",1.9,3.3
"2024-12-24",10.4,5
"2024-12-25",0,5.95
"2024-12-26",2.2,7.45
"2024-12-27",0,11.7
"2024-12-28",0,16.5
"2024-12-29",16,17.5
"2024-12-30",0,10.7
"2024-12-31",0,12.9
"2025-01-01",0,9.85
"2025-01-02",0,6.8
"2025-01-03",0,7.05
"2025-01-04",0,3.65
"2025-01-05",0,6.4
"2025-01-06",1.7,11
"2025-01-07",0,3.35
"2025-01-08",0,2.9
"2025-01-09",0,1.6
"2025-01-10",5.4,6.5
"2025-01-11",0,5.8
"2025-01-12",0,4.25
"2025-01-13",0,6.75
"2025-01-14",0,7.45
"2025-01-15",0,2
"2025-01-16",0,5.75
"2025-01-17",0,7.1
"2025-01-18",19.1,11.2
"2025-01-19",0,10.05
"2025-01-20",0,2.95
"2025-01-21",8.4,0.95
"2025-01-22",0,-2.7
"2025-01-23",0,-1.3
"2025-01-24",0,2.95
"2025-01-25",0,4.6
"2025-01-26",0.8,7.6
"2025-01-27",3.1,9.15
"2025-01-28",0,11.9
"2025-01-29",0,13.3
"2025-01-30",0,12.45
"2025-01-31",2.1,12.7
"2025-02-01",0,8.75
"2025-02-02",1.1,5.3
"2025-02-03",0,9.4
"2025-02-04",0,14.15
"2025-02-05",0,9.55
"2025-02-06",0,11.4
"2025-02-07",1,15.25
"2025-02-08",0,11.1
"2025-02-09",0.5,13.35
"2025-02-10",0,1.6
"2025-02-11",3,0.8
"2025-02-12",0.9,7.15
"2025-02-13",0.6,8.25
"2025-02-14",0,3.5
"2025-02-15",2.9,8.5
"2025-02-16",14.6,7.15
"2025-02-17",0,1.45
"2025-02-18",0,2.15
"2025-02-19",15.3,-2.4
"2025-02-20",0,-7.1
"2025-02-21",17.1,10.9
"2025-02-22",1.1,2.5
"2025-02-23",0,-1.55
"2025-02-24",0,0.3
"2025-02-25",0,8.3
"2025-02-26",10.4,10.9
"2025-02-27",16.5,7.5
"2025-02-28",0,10.45
"2025-03-01",0,13.95
"2025-03-02",0,2.25
"2025-03-03",0,5.75
"2025-03-04",0,11.55
"2025-03-05",36.6,14
"2025-03-06",0,5.55
"2025-03-07",0,8.45
"2025-03-08",0,16.4
"2025-03-09",0,12.05
"2025-03-10",0,11.95
"2025-03-11",0,13.5
"2025-03-12",0,16.95
"2025-03-13",0,15.65
"2025-03-14",0,13.75
"2025-03-15",0,19.3
"2025-03-16",57.4,19.6
"2025-03-17",1.2,11.4
"2025-03-18",0,11.8
"2025-03-19",0,15.4
"2025-03-20",1.4,14.55
"2025-03-21",0,9.05
"2025-03-22",0,12.9
"2025-03-23",0,15.15
"2025-03-24",0.9,16.85
"2025-03-25",0,14.5
"2025-03-26",0,12.1
"2025-03-27",0,12.2
"2025-03-28",0,17.3
"2025-03-29",0,19.45
"2025-03-30",2.3,20.15
"2025-03-31",13.3,21.05
"2025-04-01",0,18
"2025-04-02",0,20.2
"2025-04-03",0,23.65
"2025-04-04",0,22.45
"2025-04-05",0,23.8
"2025-04-06",0,24.35
"2025-04-07",14.9,19.95
"2025-04-08",0,14.3
"2025-04-09",0,11.35
"2025-04-10",5.1,16.35
"2025-04-11",3.8,14.95
"2025-04-12",0,8.7
"2025-04-13",0,12.15
"2025-04-14",0,19.65
"2025-04-15",0,15.8
"2025-04-16",0,13.3
"2025-04-17",0,16.15
"2025-04-18",0,19.4
"2025-04-19",0,19.95
"2025-04-20",0,19.95
"2025-04-21",0,21.25
"2025-04-22",0,22.4
"2025-04-23",11.3,22.5
"2025-04-24",0.7,19
"2025-04-25",0,22.05
"2025-04-26",0,20.9
"2025-04-27",0,14.9
"2025-04-28",0,16.7
"2025-04-29",0,18.9
"2025-04-30",0,21.55
"2025-05-01",0,22.2
"2025-05-02",0,22.75
"2025-05-03",9.3,22.4
"2025-05-04",0.4,21.05
"2025-05-05",0,19.2
"2025-05-06",0,20.15
"2025-05-07",0,23.7
"2025-05-08",4.8,21.85
"2025-05-09",3.7,21.85
"2025-05-10",45.4,18.35
"2025-05-11",9.9,20.4
"2025-05-12",40.1,22.5
"2025-05-13",0.3,23.7
"2025-05-14",4.2,23.25
"2025-05-15",0,25.7
"2025-05-16",0,27.9
"2025-05-17",0,25.35
"2025-05-18",0,24
"2025-05-19",0,23
"2025-05-20",0,25.6
"2025-05-21",0,23.65
"2025-05-22",0,21.55
"2025-05-23",0,18.95
"2025-05-24",0,21.25
"2025-05-25",0.4,21.05
"2025-05-26",0,18.75
"2025-05-27",70.5,20.85
"2025-05-28",0,24.25
"2025-05-29",23.3,25.15
"2025-05-30",2.6,20.75
"2025-05-31",0,20.9
"2025-06-01",2.2,21.9
"2025-06-02",0,21.1
"2025-06-03",0,22.65
"2025-06-04",11.9,25.2
"2025-06-05",17.2,25.45
"2025-06-06",0,27.05
"2025-06-07",0,28.35
"2025-06-08",34.2,27.25
"2025-06-09",6.5,26.6
"2025-06-10",21.4,24.55
"2025-06-11",0,25.8
"2025-06-12",0,27
"2025-06-13",16.1,27.25
"2025-06-14",12.3,25.8
"2025-06-15",0,27.05
