,"(mm) Precipitation (gridMET), -76.9743E,34.7660N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -76.9743E,34.7660N ,2024-06-15 to 2025-06-15"
"2024-12-17",0.3,18.1
"2024-12-18",0.3,17.25
"2024-12-19",0,11.7
"2024-12-20",0,8.2
"2024-12-21",0,4
"2024-12-22",0,1.15
"2024-12-23",0,3.65
"2024-12-24",10.6,6.1
"2024-12-25",0,6.5
"2024-12-26",0,7.1
"2024-12-27",0,10.5
"2024-12-28",1.5,14.15
"2024-12-29",6.9,17.15
"2024-12-30",0,11.6
"2024-12-31",0,13.15
"2025-01-01",0,9.85
"2025-01-02",0,6.95
"2025-01-03",0,6
"2025-01-04",0,2.2
"2025-01-05",0,5.55
"2025-01-06",3.3,11.2
"2025-01-07",0,2.85
"2025-01-08",0,1.7
"2025-01-09",0,1.3
"2025-01-10",11.9,4.25
"2025-01-11",0,3.95
"2025-01-12",0,3.5
"2025-01-13",0,6.3
"2025-01-14",0,6.65
"2025-01-15",0,0.45
"2025-01-16",0,3.8
"2025-01-17",0,6.4
"2025-01-18",8,10.3
"2025-01-19",1.2,9.15
"2025-01-20",0,2.8
"2025-01-21",9.6,-0.1
"2025-01-22",0,-2.65
"2025-01-23",0,-0.35
"2025-01-24",0,2.1
"2025-01-25",0,4.4
"2025-01-26",0.8,8.05
"2025-01-27",5.7,8.35
"2025-01-28",0,11.9
"2025-01-29",0,12.25
"2025-01-30",0,11.8
"2025-01-31",5.6,13.25
"2025-02-01",0,8.9
"2025-02-02",2.9,4.95
"2025-02-03",0,8.7
"2025-02-04",0,13.15
"2025-02-05",0.4,5.55
"2025-02-06",0.4,7.5
"2025-02-07",2.1,13.8
"2025-02-08",0,9.3
"2025-02-09",2,10.55
"2025-02-10",0,0.8
"2025-02-11",3.6,1.2
"2025-02-12",1.3,7.05
"2025-02-13",9.3,8.75
"2025-02-14",0,2
"2025-02-15",3.6,9.05
"2025-02-16",11.2,8
"2025-02-17",0,0.9
"2025-02-18",0,2.85
"2025-02-19",15.5,-2.7
"2025-02-20",0,-6.85
"2025-02-21",1.7,10.75
"2025-02-22",2,1.9
"2025-02-23",0,-1.95
"2025-02-24",0,-0.65
"2025-02-25",0,6.9
"2025-02-26",13.4,9.85
"2025-02-27",15.1,5.3
"2025-02-28",0,10.05
"2025-03-01",0,13.25
"2025-03-02",0,1.75
"2025-03-03",0,4.4
"2025-03-04",0,11.75
"2025-03-05",36.1,14.6
"2025-03-06",0,6.1
"2025-03-07",0,7.65
"2025-03-08",0,14.25
"2025-03-09",0,10.55
"2025-03-10",0,12.4
"2025-03-11",0,13.4
"2025-03-12",0,16.3
"2025-03-13",0,16.4
"2025-03-14",0,11.7
"2025-03-15",0,17.75
"2025-03-16",56.6,20.5
"2025-03-17",6.9,11.6
"2025-03-18",0,10.9
"2025-03-19",0,14.75
"2025-03-20",2.1,14.95
"2025-03-21",0,11
"2025-03-22",0,13.7
"2025-03-23",0,14.05
"2025-03-24",0,17.5
"2025-03-25",0,16.1
"2025-03-26",0,11.5
"2025-03-27",0,11.75
"2025-03-28",0,18.35
"2025-03-29",0,20.45
"2025-03-30",3.1,21.6
"2025-03-31",5.3,20.65
"2025-04-01",0,17.85
"2025-04-02",0,19.1
"2025-04-03",0,23.8
"2025-04-04",0,22.65
"2025-04-05",0,23.15
"2025-04-06",0,23.95
"2025-04-07",13.8,18.15
"2025-04-08",0,13.4
"2025-04-09",0,10.8
"2025-04-10",5.8,16.75
"2025-04-11",8.6,15.7
"2025-04-12",0,9.75
"2025-04-13",0,13.25
"2025-04-14",0,18.3
"2025-04-15",0,16.25
"2025-04-16",0,13.05
"2025-04-17",0,14.5
"2025-04-18",0,19.9
"2025-04-19",0,21
"2025-04-20",0,21.5
"2025-04-21",0,22.2
"2025-04-22",0,22.85
"2025-04-23",9.2,20
"2025-04-24",0,20.35
"2025-04-25",0,23.2
"2025-04-26",0,21.2
"2025-04-27",0,13.65
"2025-04-28",0,15.65
"2025-04-29",0,20.15
"2025-04-30",0,22.15
"2025-05-01",0,22.55
"2025-05-02",0,23.2
"2025-05-03",6.8,22.85
"2025-05-04",11.7,20.55
"2025-05-05",0,21
"2025-05-06",0,21.2
"2025-05-07",0,23.5
"2025-05-08",0,21.85
"2025-05-09",1.1,21.65
"2025-05-10",0,20.4
"2025-05-11",12.8,20.95
"2025-05-12",78.2,21.15
"2025-05-13",18.8,22.5
"2025-05-14",3.5,24.05
"2025-05-15",0,24.25
"2025-05-16",0,27.75
"2025-05-17",0,24.85
"2025-05-18",0,24.2
"2025-05-19",0,23.4
"2025-05-20",5.8,23.95
"2025-05-21",0,23.75
"2025-05-22",0.6,21.35
"2025-05-23",0,19.95
"2025-05-24",0,18.85
"2025-05-25",10,22.4
"2025-05-26",1,17.25
"2025-05-27",41,20.7
"2025-05-28",0.7,23.9
"2025-05-29",26.2,23.55
"2025-05-30",7.7,21.1
"2025-05-31",6,19.9
"2025-06-01",1.1,21.25
"2025-06-02",0,20.4
"2025-06-03",0,20.5
"2025-06-04",0.4,23.1
"2025-06-05",31.7,22.8
"2025-06-06",0,26.15
"2025-06-07",8.4,27.1
"2025-06-08",22.6,26.45
"2025-06-09",5,26.1
"2025-06-10",2.9,24.2
"2025-06-11",0,25.85
"2025-06-12",0,26.65
"2025-06-13",8.5,26.65
"2025-06-14",18.3,25.4
"2025-06-15",0,27.3
