,"(mm) Precipitation (gridMET), -79.1991E,35.1464N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -79.1991E,35.1464N ,2024-06-15 to 2025-06-15"
"2024-09-13",29.1,21.9
"2024-09-14",0,23.8
"2024-09-15",0.8,22.85
"2024-09-16",70.1,19.65
"2024-09-17",0,20.35
"2024-09-18",1,23.65
"2024-09-19",2.6,22.8
"2024-09-20",0,23
"2024-09-21",2.1,24.05
"2024-09-22",0,25.5
"2024-09-23",0.9,22.7
"2024-09-24",0.6,25.8
"2024-09-25",0.9,26.05
"2024-09-26",6.8,24.2
"2024-09-27",48.1,24.15
"2024-09-28",0,24.05
"2024-09-29",1.6,24.95
"2024-09-30",16.5,23.95
"2024-10-01",0.5,21.9
"2024-10-02",0,22.4
"2024-10-03",0,21.75
"2024-10-04",0,21.85
"2024-10-05",0,23.3
"2024-10-06",0,21.5
"2024-10-07",0,21.65
"2024-10-08",0,16.45
"2024-10-09",0,16.65
"2024-10-10",0,13.3
"2024-10-11",0,14.1
"2024-10-12",0,17.45
"2024-10-13",0,19.1
"2024-10-14",0,15.55
"2024-10-15",0.5,12.65
"2024-10-16",0,9.1
"2024-10-17",0,9.65
"2024-10-18",0,11.85
"2024-10-19",0,13.65
"2024-10-20",0,14.3
"2024-10-21",0,15.75
"2024-10-22",0,17.3
"2024-10-23",0,19.2
"2024-10-24",0,15.8
"2024-10-25",0,16.1
"2024-10-26",0.7,19.8
"2024-10-27",0,11.1
"2024-10-28",0,13.6
"2024-10-29",0,14.85
"2024-10-30",0,19.4
"2024-10-31",0,19.45
"2024-11-01",0,21.5
"2024-11-02",0,15.3
"2024-11-03",0,14.45
"2024-11-04",0,17.05
"2024-11-05",0,19.4
"2024-11-06",5.6,21.55
"2024-11-07",0.9,21.6
"2024-11-08",1.2,18.25
"2024-11-09",0,13.1
"2024-11-10",4.9,13.55
"2024-11-11",0,16.8
"2024-11-12",0,12.3
"2024-11-13",0,9.85
"2024-11-14",28.8,9.3
"2024-11-15",0,11.1
"2024-11-16",0,10.55
"2024-11-17",0,11.75
"2024-11-18",0,14.45
"2024-11-19",1.8,13.65
"2024-11-20",18.7,10.75
"2024-11-21",0,6.8
"2024-11-22",0,5.15
"2024-11-23",0,7.55
"2024-11-24",0,10.15
"2024-11-25",0,12.65
"2024-11-26",2.6,11.45
"2024-11-27",0.3,11.25
"2024-11-28",0.9,10.9
"2024-11-29",0,3.75
"2024-11-30",0,3.1
"2024-12-01",0,4.85
"2024-12-02",0,3
"2024-12-03",0,-0.2
"2024-12-04",0,2.15
"2024-12-05",0,5.85
"2024-12-06",0,-1.1
"2024-12-07",0,2.3
"2024-12-08",5,10.4
"2024-12-09",7.4,11.8
"2024-12-10",4.1,18.5
"2024-12-11",18.3,8.85
"2024-12-12",0,4.55
"2024-12-13",0,6.65
"2024-12-14",0,7.05
"2024-12-15",0,9.95
"2024-12-16",0,12.55
"2024-12-17",0,16.45
"2024-12-18",0,15.95
"2024-12-19",0,10.05
"2024-12-20",1,6.75
"2024-12-21",0,3.55
"2024-12-22",0,-0.25
"2024-12-23",0,0.7
"2024-12-24",0,6.95
"2024-12-25",0,5.95
"2024-12-26",0.5,5.85
"2024-12-27",4,6.5
"2024-12-28",3.6,14.85
"2024-12-29",13.5,15.1
"2024-12-30",0,11
"2024-12-31",0,11.8
"2025-01-01",0,8
"2025-01-02",0,5.55
"2025-01-03",0,6.15
"2025-01-04",0,2.45
"2025-01-05",2.1,3.5
"2025-01-06",8.7,5.85
"2025-01-07",0,1.8
"2025-01-08",0,1.2
"2025-01-09",0,0.25
"2025-01-10",9.3,0.65
"2025-01-11",0,3.15
"2025-01-12",0,3.25
"2025-01-13",0,5.4
"2025-01-14",0,5
"2025-01-15",0,0.15
"2025-01-16",0,4.9
"2025-01-17",0,6.95
"2025-01-18",2,9.9
"2025-01-19",1,8.2
"2025-01-20",0,0.6
"2025-01-21",2.8,-1.9
"2025-01-22",0,-3.1
"2025-01-23",0,-0.3
"2025-01-24",0,2
"2025-01-25",0,4.5
"2025-01-26",2.8,7.55
"2025-01-27",7.3,8.8
"2025-01-28",0,10.95
"2025-01-29",0,12.85
"2025-01-30",0,11.65
"2025-01-31",6.4,13.2
"2025-02-01",0,9.25
"2025-02-02",0,4.85
"2025-02-03",0,8.9
"2025-02-04",0,13.5
"2025-02-05",1.1,6.2
"2025-02-06",0.6,10.6
"2025-02-07",0.3,14.2
"2025-02-08",0,10.95
"2025-02-09",3.9,12.7
"2025-02-10",0,1.55
"2025-02-11",18.7,0.3
"2025-02-12",10.5,1.35
"2025-02-13",6.4,4.75
"2025-02-14",0,2.5
"2025-02-15",2.8,7.75
"2025-02-16",6.1,7.75
"2025-02-17",0,0.5
"2025-02-18",0,2.2
"2025-02-19",6.3,-3.8
"2025-02-20",0,-5.35
"2025-02-21",8.1,10
"2025-02-22",1.7,1.5
"2025-02-23",0,-0.85
"2025-02-24",0,0.35
"2025-02-25",2.1,8.35
"2025-02-26",5.7,9.95
"2025-02-27",3.9,7.25
"2025-02-28",0,10.6
"2025-03-01",0,14.75
"2025-03-02",0,2.95
"2025-03-03",0,6
"2025-03-04",0,11
"2025-03-05",37.3,13.15
"2025-03-06",0,5.75
"2025-03-07",0,6.75
"2025-03-08",0,15.25
"2025-03-09",0,9.6
"2025-03-10",0,9.4
"2025-03-11",0,14.3
"2025-03-12",0,17.3
"2025-03-13",0,16.4
"2025-03-14",0,13
"2025-03-15",0,17.75
"2025-03-16",44,17.85
"2025-03-17",0.6,10.1
"2025-03-18",0,12.9
"2025-03-19",0,17.3
"2025-03-20",6.9,13.9
"2025-03-21",0,11.05
"2025-03-22",0,13.65
"2025-03-23",0,15.7
"2025-03-24",2.5,13.95
"2025-03-25",0,14.65
"2025-03-26",0,11.15
"2025-03-27",0,12.55
"2025-03-28",0,18.65
"2025-03-29",0,20.15
"2025-03-30",0.7,20.8
"2025-03-31",3.3,20.05
"2025-04-01",0,17.05
"2025-04-02",0,19.45
"2025-04-03",0,25.6
"2025-04-04",0,24.85
"2025-04-05",0,24.9
"2025-04-06",0.7,24.65
"2025-04-07",29.4,16.75
"2025-04-08",0,11.1
"2025-04-09",0,11.05
"2025-04-10",20.6,14.6
"2025-04-11",2.9,13.45
"2025-04-12",0,8.7
"2025-04-13",0,13.05
"2025-04-14",0,21.8
"2025-04-15",0,14.95
"2025-04-16",0,13.45
"2025-04-17",0,16.1
"2025-04-18",0,20.3
"2025-04-19",0,23.25
"2025-04-20",0,23
"2025-04-21",0,22.3
"2025-04-22",4.4,22.7
"2025-04-23",3.3,20.85
"2025-04-24",0,21.1
"2025-04-25",0,22.9
"2025-04-26",0,21.1
"2025-04-27",0,16.1
"2025-04-28",0,18.35
"2025-04-29",0,21.7
"2025-04-30",0,23.95
"2025-05-01",0,24.5
"2025-05-02",12.3,24.65
"2025-05-03",14.2,23
"2025-05-04",2,18.9
"2025-05-05",0.8,19.6
"2025-05-06",0,19.85
"2025-05-07",2.7,22.1
"2025-05-08",14.1,22.5
"2025-05-09",0,19.85
"2025-05-10",2.1,18.25
"2025-05-11",30.2,16.8
"2025-05-12",50.7,20.35
"2025-05-13",6.7,23.05
"2025-05-14",8.7,22.6
"2025-05-15",0,25.35
"2025-05-16",0,28.05
"2025-05-17",0,24.45
"2025-05-18",0,24
"2025-05-19",0,23.65
"2025-05-20",2,24.2
"2025-05-21",0.3,23.2
"2025-05-22",0,20.8
"2025-05-23",0,18.05
"2025-05-24",0,19.85
"2025-05-25",0.4,21.3
"2025-05-26",0.9,16.7
"2025-05-27",37,15.65
"2025-05-28",1,20.5
"2025-05-29",22.1,23.55
"2025-05-30",3.1,19.8
"2025-05-31",1.1,20.05
"2025-06-01",10.8,21.15
"2025-06-02",0,18.75
"2025-06-03",0,22.8
"2025-06-04",0,24.4
"2025-06-05",18.5,22.4
"2025-06-06",1.1,26.1
"2025-06-07",2.5,26.45
"2025-06-08",0.4,25.45
"2025-06-09",6.3,26.2
"2025-06-10",0,23.95
"2025-06-11",1.8,25.95
"2025-06-12",3.6,26.85
"2025-06-13",25.3,25.45
"2025-06-14",0,26.8
"2025-06-15",0.9,26.9
