"","site","quad","trans","percent_woody","meanHeight","count_woody","note","startyear","TSF","TBF","TSF_M","TBF_M","logHeight","IntHeight","logIntHeight"
"53","GSP-LI",3,"S",0.0123456790123457,NA,1,NA,2024,2,2,2,2,NA,NA,NA
"54","GSP-LI",4,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"55","GSP-LI",5,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"56","GSP-LI",6,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"57","GSP-LI",7,"S",0.0246913580246914,16,2,NA,2024,2,2,2,2,2.83321334405622,32,3.49650756146648
"58","GSP-LI",8,"S",0.0246913580246914,8,2,NA,2024,2,2,2,2,2.19722457733622,16,2.83321334405622
"59","GSP-LI",9,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"60","GSP-LI",10,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"61","GSP-LI",10,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"62","GSP-LI",11,"N",0.037037037037037,62,3,NA,2024,2,2,2,2,4.14313472639153,186,5.23110861685459
"63","GSP-LI",11,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"64","GSP-LI",12,"N",0.0246913580246914,19,2,NA,2024,2,2,2,2,2.99573227355399,38,3.66356164612965
"65","GSP-LI",12,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"66","GSP-LI",13,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"67","GSP-LI",13,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"68","GSP-LI",15,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"69","GSP-LI",16,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"70","GSP-LI",16,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"71","GSP-LI",17,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"72","GSP-LI",17,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"73","GSP-LI",18,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"74","GSP-LI",18,"S",0.0740740740740741,14,6,NA,2024,2,2,2,2,2.70805020110221,84,4.44265125649032
"75","GSP-LI",19,"N",0.0123456790123457,NA,1,NA,2024,2,2,2,2,NA,NA,NA
"76","GSP-LI",19,"S",0.037037037037037,11,3,NA,2024,2,2,2,2,2.484906649788,33,3.52636052461616
"77","GSP-LI",20,"N",0.037037037037037,14,3,NA,2024,2,2,2,2,2.70805020110221,42,3.76120011569356
"78","GSP-LI",20,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
"79","IA",1,NA,0.123456790123457,19.25,10,NA,2024,2,2,5,4,3.00815479355255,192.5,5.26527751246984
"80","IA",2,NA,0.395061728395062,34.9,32,NA,2024,2,2,5,4,3.58073729549423,1116.8,7.0191177468356
"81","IA",3,NA,0,NA,0,NA,2024,2,2,5,4,NA,0,0
"82","IA",16,NA,0.395061728395062,43.5,32,NA,2024,2,2,5,4,3.79548918917219,1392,7.23921497377981
"83","IA",17,NA,0.481481481481481,39.0833333333333,39,NA,2024,2,2,5,4,3.69096062031776,1524.25,7.32991361003196
"84","IA",18,NA,0.160493827160494,26.3333333333333,13,NA,2024,2,2,5,4,3.30810695859614,342.333333333333,5.83870179255557
"85","IA",19,NA,0.358024691358025,33.1818181818182,29,NA,2024,2,2,5,4,3.53169387059152,962.272727272727,6.87033657759359
"86","IA",21,NA,0.222222222222222,29.6,18,NA,2024,2,2,5,4,3.42100000895834,532.8,6.28002123697042
"87","IA",22,NA,0.0864197530864197,13.6666666666667,7,NA,2024,2,2,5,4,2.68557734525015,95.6666666666667,4.57126863431241
"88","IA",23,NA,0.0493827160493827,NA,4,NA,2024,2,2,5,4,NA,NA,NA
"89","IA",24,NA,0.0123456790123457,13,1,NA,2024,2,2,5,4,2.63905732961526,13,2.63905732961526
"90","IA",25,NA,0.308641975308642,26.1818181818182,25,NA,2024,2,2,5,4,3.30254830059232,654.545454545455,6.48546764411839
"91","IA",26,NA,0.333333333333333,28.1666666666667,27,NA,2024,2,2,5,4,3.37302650469546,760.5,6.63529017233522
"92","IA",27,NA,0.0987654320987654,36,8,NA,2024,2,2,5,4,3.61091791264422,288,5.66642668811243
"93","IA",28,NA,0.0617283950617284,27,5,NA,2024,2,2,5,4,3.3322045101752,135,4.91265488573605
"94","IA",29,NA,0,NA,0,NA,2024,2,2,5,4,NA,0,0
"95","IA",30,NA,0,NA,0,NA,2024,2,2,5,4,NA,0,0
"96","IA",31,NA,0.209876543209877,14.3333333333333,17,NA,2024,2,2,5,4,2.73002910782099,243.666666666667,5.49989673994641
