x,y,mark,site_ID,site,ID,quad,Date_Marked2015,N15,L15,size15,CT15,FR15,DT15,Notes15,Comm15,libsur15_16,consur15_16,Total.leaves.including.brown.ones2015,N.DEAD15,date16,N16,L16,size16,CT16,FR16,DT16,Notes16,Comm16,libsur16_17,consur16_17,date17,N17,L17,size17,CT17,FR17,DT17,Notes17,Comm17,libsur17_18,consur17_18,N18,L18,size18,FR18,Notes18,Comm18,include.in.19.census,N19,L19,FR19,Notes19,Comm19,libsur18_19,size19,N20,L20,FR20,FLW20,Notes20,Comm20,libsur19_20,size20,N21,L21,FR21,FLW21,Notes21,Comm21,libsur20_21,size21,N22,L22,FR22,FLW22,Notes22,Comm22,Measurer22,libsur21_22,size22,N23,L23,FR23,FLW23,Notes23,Comm23,Measurer23,libsur22_23,size23,N24,L24,FR24,FLW24,Note24,Comm24,libsur23_24,size24
18,47,rh,B1_12,B1,12,2,NA,2,7,14,0,0,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,dead16?,NA,1,1,NA,4,9,36,1,0,0,NA,NA,1,1,9,9,81,0,NA,1 stem removed,Y,2,11,5,NA,NA,1,22,9,17,0,0,NA,NA,1,153,3,10,6,7,NA,NA,1,30,0,NA,NA,NA,NA,"sen burn, plot burned",as,1,0,2,17,NA,NA,NA,NA,gage,1,34,3,12,NA,NA,NA,NA,1,36
34,7,gh,B1_14,B1,14,2,NA,5,10,50,2,0,NA,NA,some leaves didn't have traps,1,1,NA,4,NA,0,0,NA,0,8,0,dead16?,NA,1,1,NA,6,7,42,0,0,6,NA,fruit stalk broken off,1,1,6,19,114,0,NA,NA,Y,0,NA,3,NA,sen,1,0,2,16,6,6,NA,NA,1,32,9,13,NA,NA,NA,inf aborted,1,117,0,NA,NA,NA,NA,inf burn,as,1,0,2,30,NA,NA,NA,NA,gage,1,60,2,10,NA,NA,NA,NA,1,20
34,22,wp,B1_15,B1,15,2,NA,2,6,12,0,0,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,dead16?,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,tp no plant,1,1,1,5,5,0,NA,NA,Y,0,NA,NA,NA,sen,1,0,0,NA,NA,NA,NA,sen,1,0,NA,NA,NA,NA,mpd21,PresAlive21,1,0,0,NA,NA,NA,NA,sen burn,as,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,24,op,B1_16,B1,16,2,NA,5,12,60,0,0,NA,NA,NA,1,1,NA,2,NA,1,5,5,0,0,0,NA,NA,1,1,NA,4,8,32,0,0,4,NA,NA,1,1,4,14,56,0,NA,NA,Y,0,NA,NA,NA,sen,1,0,6,14,0,0,NA,NA,1,84,3,14,NA,NA,NA,inf aborted,1,42,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,1,7,NA,NA,NA,NA,1,7
42,13,rp,B1_17,B1,17,2,NA,4,11,44,0,0,NA,NA,NA,1,1,NA,5,NA,2,11,22,0,3,2,NA,NA,1,1,NA,6,11,66,0,0,4,NA,NA,1,1,9,13,117,0,NA,NA,Y,4,21,NA,NA,NA,1,84,3,15,4,5,NA,NA,1,45,5,13,NA,NA,NA,inf aborted,1,65,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,1,6,NA,NA,NA,NA,1,6
43,15,bd,B1_18,B1,18,2,NA,4,9,36,1,0,NA,NA,NA,1,1,NA,3,NA,4,14,56,0,0,3,NA,NA,1,1,NA,5,9,45,0,0,3,NA,NA,1,1,5,9,45,0,NA,NA,Y,2,10,3,NA,NA,1,20,8,18,0,0,NA,NA,1,144,2,14,NA,8,NA,inf broken,1,28,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,2,8,NA,NA,NA,NA,1,16
47,14,yh,B1_19,B1,19,2,NA,2,2,4,0,0,NA,NA,NA,1,1,NA,0,NA,4,19,76,0,0,0,NA,NA,1,1,NA,5,18,90,0,0,4,NA,NA,1,1,7,12,84,0,NA,NA,Y,2,13,NA,NA,NA,1,26,6,13,0,0,NA,NA,1,78,6,17,NA,NA,NA,NA,1,102,0,NA,NA,NA,NA,sen burn,as,1,0,3,18,NA,NA,NA,NA,gage,1,54,NA,NA,NA,NA,NA,sen,1,NA
48,8,oh,B1_20,B1,20,2,NA,1,12,12,0,7,NA,NA,NA,1,1,NA,7,NA,2,22,44,0,12,2,NA,NA,1,1,NA,5,16,80,0,0,4,NA,NA,1,1,6,15,90,2,NA,NA,Y,4,20,3,NA,NA,1,80,6,16,6,6,NA,NA,1,96,6,12,4,6,NA,qs25-50,1,72,0,NA,NA,NA,NA,sen burn,as,1,0,2,23,0,10,NA,inf imm,gage,1,46,NA,NA,NA,NA,dead24,NA,0,NA
49,46,gd,B1_21,B1,21,2,NA,3,3,9,0,0,NA,NA,looks yellow and sickly,1,1,NA,0,NA,0,0,NA,0,1,0,dead16?,NA,1,1,NA,5,14,70,0,0,4,NA,NA,1,1,4,24,96,0,NA,"qs25-50, no new 18",Y,3,22,4,NA,qs25-50 no new,1,66,9,22,0,0,NA,qs25-50 no new,1,198,3,18,NA,11,NA,inf broken,1,54,0,NA,NA,NA,NA,"inf burned, qs 25-50 no new",as,1,0,6,27,NA,NA,NA,qns25-50,gage,1,162,2,14,NA,NA,NA,qns25-50,1,28
4,27,bd,B1_22,B1,22,3,NA,7,28,196,2,0,NA,NA,NA,1,1,7,NA,NA,3,18,54,0,3,2,NA,NA,1,1,NA,7,19,133,2,0,0,NA,NA,1,1,5,39,195,0,NA,NA,Y,2,31,NA,NA,NA,1,62,4,55,0,0,NA,NA,1,220,2,42,NA,NA,NA,NA,1,84,1,5,NA,NA,NA,plot burn,as,1,5,0,NA,0,8,NA,sen; inf imm,gage,1,0,6,23,NA,NA,NA,NA,1,138
24,21,od,B1_313,B1,313,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,21,105,0,0,1,NA,sdl; new16,1,1,NA,15,12,180,4,0,1,NA,NA,1,1,17,25,425,0,NA,NA,Y,3,30,1,NA,NA,1,90,4,28,0,0,NA,NA,1,112,6,19,NA,NA,NA,NA,1,114,3,12,NA,NA,NA,NA,as,1,36,8,38,NA,NA,NA,NA,gage,1,304,8,22,NA,NA,NA,NA,1,176
27,26,rh,B1_23,B1,23,3,NA,5,22,110,0,0,NA,NA,NA,1,1,5,NA,NA,8,25,200,1,0,2,NA,NA,1,1,NA,6,21,126,1,0,0,NA,NA,1,1,4,20,80,0,NA,1 stem removed,Y,6,28,NA,NA,NA,1,168,5,40,0,0,NA,NA,1,200,2,37,NA,2,NA,inf broken,1,74,0,NA,NA,NA,NA,sen burn,as,1,0,3,42,0,4,NA,inf imm,gage,1,126,5,25,NA,7,NA,frunc,1,125
28,18,bh,B1_24,B1,24,3,NA,6,25,150,1,0,NA,NA,NA,1,1,7,NA,NA,5,40,200,0,0,1,NA,1 leaf+trap herbivorized,1,1,NA,7,27,189,2,0,0,NA,NA,1,1,4,37,148,0,NA,NA,Y,3,59,NA,NA,NA,1,177,11,30,0,0,NA,NA,1,330,3,26,NA,NA,NA,NA,1,78,0,NA,NA,NA,NA,sen burn,as,1,0,NA,NA,NA,NA,mpd23,NA,gage,0,0,NA,NA,NA,NA,mpd23,NA,NA,NA
29,30,bd,B1_25,B1,25,3,NA,7,15,105,0,0,NA,NA,NA,1,1,7,NA,NA,6,24,144,1,NA,2,NA,"stalk, no fruit",1,1,NA,8,32,256,3,10,0,NA,NA,1,1,6,21,126,5,NA,NA,Y,5,32,NA,NA,NA,1,160,4,30,0,0,NA,NA,1,120,2,42,NA,NA,NA,NA,1,84,0,NA,NA,NA,NA,sen burn,as,1,0,6,31,NA,NA,NA,inf herb,gage,1,186,5,25,2,NA,NA,NA,1,125
30,18,rc,B1_26,B1,26,3,NA,6,21,126,1,0,NA,NA,NA,1,1,9,NA,NA,4,31,124,1,5,3,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,no plant; pitcher plant overgrown,NA,NA,NA,NA,NA,NA,mpd17,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,33,wp,B1_27,B1,27,3,NA,5,31,155,1,0,NA,NA,NA,1,1,5,NA,NA,5,34,170,0,6,2,NA,herbivorized leaf,1,1,NA,6,21,126,1,8,1,NA,NA,1,1,5,32,160,10,NA,NA,Y,4,41,5,NA,NA,1,164,5,24,0,0,NA,inf aborted,1,120,6,34,5,8,NA,NA,1,204,0,NA,NA,NA,NA,sen burn,as,1,0,10,27,NA,NA,NA,NA,gage,1,270,5,27,2,1,NA,NA,1,135
31,26,gh,B1_28,B1,28,3,NA,8,7,56,0,0,NA,NA,NA,1,1,8,NA,NA,6,22,132,2,0,0,NA,NA,1,1,NA,5,19,95,1,0,2,NA,NA,1,1,8,38,304,0,NA,NA,Y,3,30,3,NA,NA,1,90,2,39,2,2,NA,NA,1,78,3,37,NA,6,NA,inf broken,1,111,3,17,NA,NA,NA,NA,as,1,51,4,29,0,4,NA,inf imm,gage,1,116,5,36,NA,NA,NA,NA,1,180
31,28,od,B1_29,B1,29,3,NA,6,16,96,1,0,NA,NA,NA,1,1,6,NA,NA,4,38,152,0,0,1,NA,NA,1,1,NA,8,25,200,2,0,2,NA,NA,1,1,4,39,156,13,NA,NA,Y,4,33,NA,NA,NA,1,132,5,23,0,0,NA,inf herb,1,115,3,28,NA,10,NA,inf broken,1,84,0,NA,NA,NA,NA,sen burn,as,1,0,6,24,0,9,NA,inf imm,gage,1,144,3,31,NA,NA,NA,NA,1,93
32,20,bd,B1_30,B1,30,3,NA,11,22,242,1,0,NA,NA,NA,1,1,12,NA,NA,5,40,200,0,NA,1,NA,"stalk, no fruit",1,1,NA,7,11,77,1,0,0,NA,NA,1,1,6,23,138,2,NA,NA,Y,3,22,1,NA,NA,1,66,6,26,0,0,NA,NA,1,156,5,24,NA,NA,NA,NA,1,120,2,18,NA,NA,NA,NA,as,1,36,3,28,NA,NA,NA,NA,gage,1,84,1,15,NA,NA,NA,pt sen other larger lvs?,1,15
32,21,rp,B1_31,B1,31,3,NA,9,31,279,2,0,NA,NA,NA,1,1,9,NA,NA,2,28,56,0,0,2,NA,NA,1,1,NA,2,12,24,0,0,1,NA,NA,1,1,4,18,72,2,NA,NA,Y,0,NA,NA,NA,sen,1,0,3,21,NA,4,NA,inf imm,1,63,5,22,NA,NA,NA,NA,1,110,0,NA,NA,NA,NA,sen burn,as,1,0,NA,NA,NA,NA,dead23,NA,gage,0,0,NA,NA,NA,NA,dead23,NA,NA,NA
32,23,gd,B1_32,B1,32,3,NA,4,21,84,1,0,NA,NA,NA,1,1,4,NA,NA,2,21,42,0,0,0,NA,NA,1,1,NA,3,12,36,1,8,2,NA,NA,1,1,2,18,36,7,NA,NA,Y,1,15,NA,NA,NA,1,15,2,22,0,0,NA,NA,1,44,4,17,NA,NA,NA,NA,1,68,1,11,NA,NA,NA,NA,as,1,11,5,17,0,1,NA,inf imm,gage,1,85,6,26,NA,NA,NA,NA,1,156
32,27,bp,B1_33,B1,33,3,NA,4,7,28,0,0,NA,NA,NA,1,1,4,NA,NA,6,22,132,1,0,2,NA,NA,1,1,NA,6,27,162,3,0,1,NA,NA,1,1,9,16,144,0,NA,NA,Y,5,34,NA,NA,NA,1,170,4,20,4,5,NA,NA,1,80,8,21,NA,NA,NA,NA,1,168,0,NA,NA,NA,NA,sen burn,as,1,0,3,19,0,5,NA,inf imm,gage,1,57,8,20,NA,NA,NA,NA,1,160
32,35,oh,B1_34,B1,34,3,NA,1,9,9,0,0,NA,NA,NA,1,1,1,NA,NA,5,15,75,1,0,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,duplicate 1035,NA,NA,NA,NA,NA,NA,mpd17,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,35,rd,B1_35,B1,35,3,NA,6,43,258,4,0,NA,NA,NA,1,1,7,NA,NA,4,27,108,1,5,1,NA,NA,1,1,NA,8,23,184,3,0,0,NA,NA,1,1,9,28,252,0,NA,NA,Y,4,28,2,NA,NA,1,112,5,25,0,0,bew unm plt left,NA,1,125,3,12,3,6,bew unm plt L,NA,1,36,0,NA,NA,NA,bew unm pl L,sen burn,as,1,0,9,25,0,9,bew unm pl L,inf imm,gage,1,225,7,18,NA,NA,!unm pl L,NA,1,126
33,22,yh,B1_36,B1,36,3,NA,10,21,210,2,0,NA,NA,NA,1,1,10,NA,NA,4,20,80,1,0,1,NA,NA,1,1,NA,10,21,210,3,0,0,NA,NA,1,1,7,20,140,0,NA,NA,Y,6,35,NA,NA,NA,1,210,4,31,4,4,NA,NA,1,124,3,27,NA,NA,NA,NA,1,81,0,NA,NA,NA,NA,sen burn,as,1,0,6,24,NA,NA,NA,NA,gage,1,144,4,36,3,NA,NA,NA,1,144
33,25,wp,B1_37,B1,37,3,NA,5,20,100,0,8,NA,NA,NA,1,1,5,NA,NA,6,35,210,1,0,1,NA,NA,1,1,NA,4,12,48,1,0,0,NA,broken fruit stalk,1,1,5,32,160,7,NA,NA,Y,11,31,NA,NA,NA,1,341,4,34,0,0,NA,inf herb,1,136,4,29,NA,NA,NA,inf aborted,1,116,1,13,NA,NA,NA,NA,as,1,13,6,28,0,3,NA,inf imm,gage,1,168,5,38,NA,9,NA,frunc,1,190
34,35,gp,B1_38,B1,38,3,NA,5,18,90,0,0,NA,NA,NA,1,1,5,NA,NA,5,13,65,1,0,4,NA,NA,1,1,NA,6,7,42,2,0,0,NA,NA,1,1,9,25,225,0,NA,NA,Y,"3, 10","22, 41",NA,2ros,NA,1,819,5,42,0,0,NA,NA,1,210,4,33,NA,6,NA,inf broken,1,132,0,NA,NA,NA,NA,sen burn,as,1,0,"5, 6","30, 23",0,5,2ros,inf imm,gage,1,583,4,31,6,1,NA,frunc,1,124
36,13,gh,B1_39,B1,39,3,NA,4,29,116,0,1,NA,NA,NA,1,1,4,NA,NA,6,28,168,1,0,1,NA,NA,1,1,NA,7,16,112,2,0,0,NA,NA,1,1,8,13,104,0,NA,NA,Y,0,NA,NA,NA,new lvs,1,0,4,17,0,0,NA,NA,1,68,5,52,NA,NA,NA,NA,1,260,2,6,NA,NA,NA,NA,as,1,12,7,30,0,4,NA,NA,gage,1,210,4,42,NA,1,NA,NA,1,168
37,14,od,B1_40,B1,40,3,NA,2,25,50,0,7,NA,NA,NA,1,1,3,NA,NA,6,37,222,0,6,3,NA,NA,1,1,NA,3,21,63,1,0,0,NA,NA,1,1,9,35,315,0,NA,NA,Y,6,31,3,NA,NA,1,186,5,34,3,6,NA,NA,1,170,1,33,NA,NA,NA,NA,1,33,0,NA,NA,NA,NA,sen burn,as,1,0,NA,NA,NA,NA,dead23,NA,gage,0,0,NA,NA,NA,NA,dead23,NA,NA,NA
38,10,yd,B1_314,B1,314,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,5,11,55,1,0,1,NA,NA,1,1,4,19,76,0,NA,added,Y,5,21,NA,NA,NA,1,105,10,28,0,0,NA,NA,1,280,2,55,NA,NA,NA,NA,1,110,1,5,NA,NA,NA,NA,as,1,5,2,39,NA,NA,NA,NA,gage,1,78,7,17,NA,NA,NA,NA,1,119
38,38,wd,B1_41,B1,41,3,NA,2,10,20,1,0,NA,NA,NA,1,1,3,NA,NA,6,15,90,0,0,0,NA,NA,1,1,NA,3,13,39,1,0,1,NA,NA,1,1,4,24,96,0,NA,NA,Y,6,31,NA,NA,NA,1,186,"3, 4","20, 24",2,10,2ros,was inf imm- recounted on 7/8,1,308,7,24,NA,NA,NA,NA,1,168,1,8,NA,NA,NA,NA,as,1,8,12,54,0,12,NA,inf imm,gage,1,648,"5, 3","20, 18",NA,NA,2ros,NA,1,160
39,7,gc,B1_42,B1,42,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,90,3,0,0,NA,new17,NA,NA,NA,NA,NA,NA,NA,notdone18,Y,NA,NA,NA,mpd19,NA,0,0,NA,NA,NA,NA,mpd19,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,42,gh,B1_43,B1,43,3,NA,1,3,3,0,0,NA,NA,NA,1,1,1,NA,NA,1,14,14,0,9,0,NA,NA,1,1,NA,6,11,66,2,0,0,NA,NA,1,1,3,26,78,0,NA,NA,Y,3,36,3,NA,NA,1,108,2,18,0,6,NA,was inf imm- recounted on 7/8; inf aborted,1,36,3,16,NA,NA,NA,NA,1,48,0,NA,NA,NA,NA,sen burn,as,1,0,2,21,NA,NA,NA,NA,gage,1,42,NA,NA,NA,NA,NA,sen,1,NA
40,38,rh,B1_44,B1,44,3,NA,4,9,36,0,0,NA,NA,NA,1,1,4,NA,NA,9,38,342,1,5,0,NA,"toothpick missing, approximated location",1,1,NA,4,12,48,2,0,0,NA,NA,1,1,6,27,162,0,NA,NA,Y,5,33,NA,NA,NA,1,165,"5, 6","29, 21",0,0,2ros,NA,1,550,4,22,NA,4,NA,inf broken,1,88,0,NA,NA,NA,NA,sen burn,as,1,0,10,21,0,7,NA,inf imm,gage,1,210,7,17,NA,7,NA,frunc,1,119
40,40,op,B1_45,B1,45,3,NA,NA,NA,NA,NA,NA,NA,NA,sen,1,1,1,NA,NA,4,19,76,0,2,1,NA,NA,1,1,NA,7,11,77,2,0,0,NA,NA,1,1,4,27,108,6,NA,NA,Y,4,32,NA,NA,sen,1,128,5,28,0,0,NA,NA,1,140,2,17,NA,NA,NA,NA,1,34,0,NA,NA,NA,NA,sen burn,as,1,0,7,21,NA,NA,NA,NA,gage,1,147,4,38,8,NA,NA,NA,1,152
40,47,gd,B1_315,B1,315,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,21,168,2,0,0,NA,new17,1,1,9,26,234,0,NA,stem removed,Y,5,27,3,NA,NA,1,135,4,23,5,6,bew unm plt right + above,NA,1,92,7,34,4,8,bew unm plt R and above,NA,1,238,0,NA,NA,NA,bew unm pl R and U,sen burn,as,1,0,6,34,0,8,bew unm pl R and U,NA,gage,1,204,4,13,7,NA,!unm pl RU,NA,1,52
41,43,bh,B1_46,B1,46,3,NA,4,9,36,0,0,NA,NA,NA,1,1,4,NA,NA,8,10,80,0,0,4,NA,NA,1,1,NA,6,11,66,2,0,0,NA,NA,1,1,9,20,180,0,NA,NA,Y,8,30,NA,NA,NA,1,240,7,20,0,0,NA,old tp 'bc',1,140,3,32,NA,6,NA,inf broken,1,96,1,13,NA,NA,NA,NA,as,1,13,"3, 5","31, 33",1,12,NA,inf imm,gage,1,512,"4, 5","21, 17",NA,NA,2ros,NA,1,189
43,37,gh,B1_47,B1,47,3,NA,5,5,25,0,0,NA,NA,NA,1,1,5,NA,NA,4,9,36,0,0,0,NA,NA,1,1,NA,10,19,190,5,0,0,NA,NA,1,1,5,34,170,0,NA,NA,Y,3,15,NA,NA,NA,1,45,2,13,0,0,bew unm plt above,NA,1,26,4,28,NA,NA,bew unm plt above,NA,1,112,0,NA,NA,NA,bew unm pl U,sen burn,as,1,0,5,24,NA,NA,bew unm pl U,NA,gage,1,120,4,20,NA,NA,NA,NA,1,80
43,43,rd,B1_48,B1,48,3,NA,4,25,100,0,0,NA,NA,NA,1,1,10,NA,NA,1,27,27,1,4,0,NA,herbivory on trap,1,1,NA,NA,NA,NA,NA,NA,NA,NA,no plant,1,1,5,25,125,0,NA,NA,Y,2,25,NA,NA,NA,1,50,5,19,0,0,NA,NA,1,95,9,19,NA,NA,NA,NA,1,171,0,NA,NA,NA,NA,sen burn,as,1,0,6,13,NA,NA,NA,NA,gage,1,78,6,9,NA,NA,NA,NA,1,54
43,47,rh,B1_49,B1,49,3,NA,NA,NA,NA,NA,NA,NA,NA,sen,1,1,9,NA,NA,7,18,126,3,0,2,NA,NA,1,1,NA,2,16,32,1,6,0,NA,NA,1,1,7,23,161,1,NA,NA,Y,3,20,2,NA,NA,1,60,12,25,0,0,NA,NA,1,300,3,24,3,4,NA,NA,1,72,0,NA,NA,NA,NA,sen burn,as,1,0,5,45,NA,NA,NA,NA,gage,1,225,4,16,4,NA,NA,NA,1,64
44,25,oh,B1_50,B1,50,3,NA,NA,NA,NA,NA,NA,NA,NA,moved y coordinate from 35 to 25; sen,1,1,6,NA,NA,1,17,17,1,6,0,NA,NA,1,1,NA,6,11,66,2,0,0,NA,NA,1,1,2,19,38,0,NA,NA,Y,5,23,NA,NA,NA,1,115,3,18,0,0,NA,NA,1,54,6,25,NA,3,NA,inf broken,1,150,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,0,3,NA,sen,gage,1,0,3,11,NA,NA,NA,NA,1,33
