"","site","ID","quad","size0","rep0","sur0_1","sur0_1_tp","size1","N1","L1","rep1","comm1","startyear","TSF","TBF"
"47","B1","46","3",36,0,"1","1",80,"8","10",0,NA,"2015",0,2
"48","B1","47","3",25,0,"1","1",36,"4","9",0,NA,"2015",0,2
"49","B1","48","3",100,0,"1","1",27,"1","27",4,"herbivory on trap","2015",0,2
"50","B1","49","3",NA,NA,"1","1",126,"7","18",0,NA,"2015",0,2
"51","B1","50","3",NA,NA,"1","1",17,"1","17",6,NA,"2015",0,2
"52","B1","51","3",24,0,"1","1",30,"2","15",0,NA,"2015",0,2
"53","B1","52","3",90,0,"1","1",150,"5","30",3,"herbivory on trap","2015",0,2
"54","B1","53","3",30,0,"1","1",120,"6","20",0,NA,"2015",0,2
"55","B1","54","3",88,0,"1","1",168,"7","24",4,NA,"2015",0,2
"56","B1","55","3",33,0,"1","1",40,"4","10",0,NA,"2015",0,2
"57","B1","316","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"58","B1","56","3",16,7,"1","1",132,"4","33",4,NA,"2015",0,2
"59","B1","57","3",60,7,"1","1",130,"5","26",3,NA,"2015",0,2
"60","B1","317","4",NA,NA,NA,NA,156,"4","39",0,"sdl; new16","2015",0,2
"61","B1","318","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"62","B1","321","4",NA,NA,NA,NA,60,"2","30",0,"sdl; new16","2015",0,2
"63","B1","325","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"64","B1","326","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"65","B1","58","4",80,0,"1","1",125,"5","25",0,NA,"2015",0,2
"66","B1","327","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"67","B1","59","4",34,0,"1","1",99,"3","33",9,NA,"2015",0,2
"68","B1","60","4",378,0,"1","1",160,"5","32",9,NA,"2015",0,2
"69","B1","328","4",NA,NA,NA,NA,147,"7","21",0,"sdl; new16","2015",0,2
"70","B1","319","4",NA,NA,NA,NA,108,"4","27",0,"sdl; new16","2015",0,2
"71","B1","61","4",45,0,"1","1",78,"6","13",0,NA,"2015",0,2
"72","B1","320","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"73","B1","63","4",250,0,"1","1",180,"2, 5","25, 26",9,NA,"2015",0,2
"74","B1","64","4",80,0,"1","1",22,"1","22",14,NA,"2015",0,2
"75","B1","65","4",28,0,"1","1",76,"4","19",0,NA,"2015",0,2
"76","B1","66","4",147,2,"1","1",140,"5","28",8,NA,"2015",0,2
"77","B1","67","4",66,4,"1","1",78,"3","26",NA,"unable to count fruits, stalk present","2015",0,2
"78","B1","68","4",60,0,"1","1",93,"3","31",6,NA,"2015",0,2
"79","B1","69","4",116,10,"1","1",21,"1","21",10,NA,"2015",0,2
"80","B1","70","4",98,0,"1","1",93,"3","31",14,NA,"2015",0,2
"81","B1","71","4",34,0,"1","1",39,"3","13",0,NA,"2015",0,2
"82","B1","72","4",217,0,"1","1",135,"5","27",NA,"stalk present, no fruits","2015",0,2
"83","B1","73","4",42,0,"1","1",78,"3","26",0,NA,"2015",0,2
"84","B1","322","4",NA,NA,NA,NA,60,"3","20",0,"sdl; new16","2015",0,2
"85","B1","74","4",NA,NA,"1","1",112,"4","28",0,NA,"2015",0,2
"86","B1","75","4",14,0,"1","1",78,"6","13",0,NA,"2015",0,2
"87","B1","323","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"88","B1","324","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"89","B1","76","4",99,0,"1","1",20,"1","20",7,NA,"2015",0,2
"90","B1","77","4",48,0,"1","1",36,"3","12",0,NA,"2015",0,2
"91","B1","18.1.","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"92","B1","78","5",30,0,"1","1",60,"4","15",0,NA,"2015",0,2
"93","B1","79","5",45,0,"1","1",57,"3","19",5,NA,"2015",0,2
"94","B1","80","5",60,0,"1","1",NA,NA,NA,NA,"found tp, no plant","2015",0,2
"95","B1","83","5",68,0,"1","1",90,"3","30",1,NA,"2015",0,2
"96","B1","84","5",40,0,"1","1",91,"7","13",0,NA,"2015",0,2
"97","B1","85","5",84,0,"1","1",68,"2","34",2,NA,"2015",0,2
"98","B1","86","5",60,1,"1","1",30,"2","15",7,NA,"2015",0,2
"99","B1","87","5",66,0,"1","1",174,"6","29",0,NA,"2015",0,2
"100","B1","88","5",6,0,"1","1",8,"1","8",0,NA,"2015",0,2
"101","B1","89","5",85,5,"1","1",130,"5","26",NA,"stalk, no fruits","2015",0,2
"102","B1","90","5",36,0,"1","1",68,"4","17",0,NA,"2015",0,2
"103","B1","91","5",196,0,"1","1",14,"1","14",6,NA,"2015",0,2
"104","B1","92","5",NA,NA,NA,NA,15,"1","15",7,NA,"2015",0,2
"105","B1","93","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"106","B1","94","5",6,0,"1","1",24,"4","6",0,"measured small sdl at location","2015",0,2
"107","B1","95","5",20,0,"1","1",36,"4","9",0,"measured small sdl at location","2015",0,2
"108","B1","96","5",60,0,"1","1",58,"2","29",11,NA,"2015",0,2
"109","B1","98","5",20,0,"1","1",14,"1","14",8,"changed rh to wc","2015",0,2
"110","B1","99","5",6,0,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"111","B1","100","5",144,0,"1","1",110,"5","22",5,NA,"2015",0,2
"112","B1","101","5",180,0,"1","1",84,"3","28",12,NA,"2015",0,2
"113","B1","102","5",72,5,"1","1",88,"4","22",6,NA,"2015",0,2
"114","B1","103","5",33,0,"1","1",36,"2","18",6,NA,"2015",0,2
"115","B1","104","5",15,0,"1","1",33,"3","11",0,NA,"2015",0,2
"116","B1","105","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"117","B1","106","5",176,0,"1","1",54,"2","27",8,NA,"2015",0,2
"118","B1","107","5",70,0,"1","1",34,"2","17",5,NA,"2015",0,2
"119","B1","108","5",90,0,"1","1",112,"4","28",5,NA,"2015",0,2
"120","B1","109","5",108,0,"1","1",54,"3","18",5,NA,"2015",0,2
"121","B1","110","5",18,3,"1","1",5,"1","5",6,NA,"2015",0,2
"122","B1","111","5",40,0,"1","1",3,"1","3",7,NA,"2015",0,2
"123","B1","112","5",NA,NA,NA,NA,28,"2","14",6,NA,"2015",0,2
"124","B1","329","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"125","B1","114","5",216,0,"1","1",108,"6","18",0,NA,"2015",0,2
"126","B1","116","5",90,0,"1","1",100,"5","20",0,"missing half of trap","2015",0,2
"127","B1","117","5",84,0,"1","1",NA,NA,NA,NA,"no plant","2015",0,2
"128","B1","118","5",NA,NA,NA,NA,25,"1","25",3,NA,"2015",0,2
"129","B1","119","5",8,0,"1","1",NA,NA,NA,NA,"no plant; PresAlive16","2015",0,2
"130","B1","120","5",68,0,"1","1",144,"6","24",0,NA,"2015",0,2
"131","B1","121","5",150,7,"1","1",56,"2","28",7,NA,"2015",0,2
"132","B1","122","5",196,0,"1","1",192,"6","32",0,NA,"2015",0,2
"133","B1","123","5",25,0,"1","1",36,"4","9",0,NA,"2015",0,2
"134","B1","125","6",60,0,"1","1",10,"1","10",0,NA,"2015",0,2
"135","B1","126","6",16,1,"1","1",112,"4","28",0,NA,"2015",0,2
"136","B1","127","6",18,0,"1","1",63,"7","9",0,NA,"2015",0,2
"137","B1","128","6",100,0,"1","1",60,"3","20",1,NA,"2015",0,2
"138","B1","129","6",36,0,"1","1",56,"2","28",0,NA,"2015",0,2
"139","B1","130","6",6,0,"1","1",116,"4","29",0,NA,"2015",0,2
"140","B1","131","6",48,0,"1","1",15,"1","15",6,NA,"2015",0,2
"141","B1","132","6",60,NA,"1","1",34,"2","17",0,NA,"2015",0,2
"142","B1","133","6",24,6,"1","1",51,"3","17",0,NA,"2015",0,2
"143","B1","134","6",33,6,"1","1",102,"3","34",3,NA,"2015",0,2
"144","B1","135","6",20,0,"1","1",24,"8","3",0,NA,"2015",0,2
"145","B1","136","6",0,3,"1","1",108,"4","27",9,NA,"2015",0,2
"146","B1","137","6",54,6,"1","1",286,"11","26",0,NA,"2015",0,2
"147","B1","18.2.","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"148","B1","138","6",44,0,"1","1",376,"8","47",0,NA,"2015",0,2
"149","B1","139","6",36,0,"1","1",108,"4","27",0,NA,"2015",0,2
"150","B1","140","6",9,0,"1","1",108,"9","12",0,NA,"2015",0,2
"151","B1","141","6",8,0,"1","1",147,"7","21",0,NA,"2015",0,2
"152","B1","142","6",18,0,"1","1",57,"3","19",0,NA,"2015",0,2
"153","B1","143","6",12,0,"1","1",104,"4","26",6,NA,"2015",0,2
"154","B1","144","6",3,0,"1","1",70,"7","10",0,NA,"2015",0,2
"155","B1","145","6",30,0,"1","1",80,"4","20",0,NA,"2015",0,2
"156","B1","146","6",16,0,"1","1",0,"1","0",0,"50% of leaf dead","2015",0,2
"157","B1","147","6",15,0,"1","1",56,"8","7",0,NA,"2015",0,2
"158","B1","148","6",4,0,"1","1",36,"4","9",0,NA,"2015",0,2
"159","B1","149","6",36,0,"1","1",72,"8","9",4,NA,"2015",0,2
"160","B1","151","6",24,0,"1","1",98,"7","14",0,NA,"2015",0,2
"161","B1","152","6",80,0,"1","1",10,"5","2",0,NA,"2015",0,2
"162","B1","153","6",40,0,"1","1",88,"11","8",0,NA,"2015",0,2
"163","B1","154","6",6,0,"1","1",98,"7","14",7,NA,"2015",0,2
"164","B1","155","6",12,0,"1","1",100,"5","20",0,NA,"2015",0,2
"165","B1","156","6",48,0,"1","1",90,"3","30",4,NA,"2015",0,2
"166","B1","157","6",42,0,"1","1",133,"7","19",0,NA,"2015",0,2
"167","B1","158","6",35,0,"1","1",63,"9","7",0,NA,"2015",0,2
"168","B1","159","6",48,0,"1","1",20,"4","5",0,NA,"2015",0,2
"169","B1","160","6",44,0,"1","1",24,"4","6",0,NA,"2015",0,2
"170","B1","161","6",22,0,"1","1",108,"4","27",0,NA,"2015",0,2
"171","B1","162","6",24,0,"1","1",55,"5","11",0,NA,"2015",0,2
"172","B1","163","6",121,0,"1","1",180,"9","20",4,NA,"2015",0,2
"173","B1","164","6",25,0,"1","1",108,"12","9",0,NA,"2015",0,2
"174","B1","165","6",2,0,"1","1",156,"6","26",0,NA,"2015",0,2
"175","B1","166","6",68,0,"1","1",30,"1","30",5,NA,"2015",0,2
"176","B1","167","6",0,2,"1","1",31,"1","31",7,NA,"2015",0,2
"177","B1","168","6",54,0,"1","1",200,"8","25",0,NA,"2015",0,2
"178","B1","169","6",66,0,"1","1",176,"8","22",0,NA,"2015",0,2
"179","B1","170","6",39,8,"1","1",112,"4","28",13,NA,"2015",0,2
"180","B1","171","6",42,9,"1","1",92,"4","23",7,NA,"2015",0,2
"181","B1","172","6",70,0,"1","1",96,"4","24",0,NA,"2015",0,2
"182","B1","173","6",70,0,"1","1",78,"3","26",9,NA,"2015",0,2
"183","B1","174","6",75,0,"1","1",135,"5","27",6,NA,"2015",0,2
"184","B1","175","6",20,0,"1","1",80,"5","16",6,NA,"2015",0,2
"185","B1","176","6",20,0,"1","1",39,"3","13",0,NA,"2015",0,2
"186","B1","177","6",33,0,"1","1",182,"7","26",0,NA,"2015",0,2
"187","B1","178","6",33,0,"1","1",108,"4","27",5,NA,"2015",0,2
"188","B1","179","6",48,0,"1","1",28,"2","14",3,NA,"2015",0,2
"189","B1","180","6",9,0,"1","1",180,"9","20",11,NA,"2015",0,2
"190","B1","181","6",7,0,"1","1",55,"5","11",0,NA,"2015",0,2
"191","B1","182","6",26,1,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"192","B1","183","6",20,5,"1","1",280,"10","28",1,NA,"2015",0,2
"193","B1","184","6",0,5,"1","1",16,"1","16",5,NA,"2015",0,2
"194","B1","185","6",27,0,"1","1",189,"7","27",0,NA,"2015",0,2
"195","B1","186","6",9,0,"1","1",28,"4","7",0,NA,"2015",0,2
"196","B1","187","6",4,5,"1","1",96,"6","16",0,NA,"2015",0,2
"197","B1","188","6",72,0,"1","1",18,"2","9",0,NA,"2015",0,2
"198","B1","189","6",24,0,"1","1",168,"12","14",0,NA,"2015",0,2
"199","B1","190","6",160,0,"1","1",60,"2","30",6,NA,"2015",0,2
"200","B1","191","6",16,7,"1","1",64,"4","16",0,NA,"2015",0,2
"201","B1","192","6",12,0,"1","1",40,"8","5",0,NA,"2015",0,2
"202","B1","193","6",48,7,"1","1",34,"1","34",0,NA,"2015",0,2
"203","B1","194","6",24,0,"1","1",33,"3","11",0,NA,"2015",0,2
"204","B1","195","6",20,1,"1","1",136,"4","34",0,NA,"2015",0,2
"205","B1","196","6",18,0,"1","1",96,"6","16",0,NA,"2015",0,2
"206","B1","197","6",18,0,"1","1",35,"5","7",0,NA,"2015",0,2
"207","B1","198","6",35,0,"1","1",100,"5","20",0,NA,"2015",0,2
"208","B1","199","6",1,0,"1","1",84,"7","12",7,NA,"2015",0,2
"209","B1","200","6",13,3,"1","1",68,"4","17",0,NA,"2015",0,2
"210","B1","201","6",2,0,"1","1",64,"4","16",0,NA,"2015",0,2
"211","B1","202","6",8,0,"1","1",12,"3","4",0,NA,"2015",0,2
"212","B1","203","6",24,0,"1","1",49,"7","7",0,NA,"2015",0,2
"213","B1","204","6",18,11,"1","1",192,"6","32",2,NA,"2015",0,2
"214","B1","205","6",60,1,"1","1",54,"3","18",4,NA,"2015",0,2
"215","B1","206","6",2,0,"1","1",48,"6","8",0,NA,"2015",0,2
"216","B1","207","6",NA,NA,"1","1",32,"8","4",0,NA,"2015",0,2
"217","B1","208","6",6,0,"1","1",32,"4","8",0,NA,"2015",0,2
"218","B1","209","6",77,0,"1","1",32,"2","16",0,NA,"2015",0,2
"219","B1","210","6",28,0,"1","1",105,"15","7",0,NA,"2015",0,2
"220","B1","212","7",16,0,"1","1",45,"3","15",0,NA,"2015",0,2
"221","B1","213","7",9,0,"1","1",23,"1","23",0,NA,"2015",0,2
"222","B1","214","7",44,2,"1","1",60,"2","30",0,NA,"2015",0,2
"223","B1","331","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"224","B1","215","7",28,0,"1","1",90,"3","30",0,NA,"2015",0,2
"225","B1","216","7",162,0,"1","1",75,"5","15",0,NA,"2015",0,2
"226","B1","217","7",8,0,"1","1",35,"5","7",0,NA,"2015",0,2
"227","B1","340","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"228","B1","18.3.","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"229","B1","218","7",90,0,"1","1",112,"4","28",0,NA,"2015",0,2
"230","B1","220","7",75,0,"1","1",69,"3","23",0,NA,"2015",0,2
"231","B1","221","7",45,0,"1","1",57,"3","19",0,NA,"2015",0,2
"232","B1","222","7",44,2,"1","1",16,"2","8",0,NA,"2015",0,2
"233","B1","341","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"234","B1","223","7",51,0,"1","1",69,"3","23",0,NA,"2015",0,2
"235","B1","224","7",45,8,"1","1",42,"3","14",5,NA,"2015",0,2
"236","B1","225","7",12,0,"1","1",35,"5","7",0,NA,"2015",0,2
"237","B1","226","7",50,0,"1","1",102,"6","17",0,NA,"2015",0,2
"238","B1","227","7",NA,NA,NA,NA,150,"6","25",0,"herbivory; new16","2015",0,2
"239","B1","228","7",150,0,"1","1",213,"3","71",0,NA,"2015",0,2
"240","B1","229","7",40,0,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"241","B1","230","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"242","B1","330","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"243","B1","231","7",35,0,"1","1",7,"1","7",0,NA,"2015",0,2
"244","B1","232","7",60,6,"1","1",116,"4","29",0,NA,"2015",0,2
"245","B1","233","7",91,0,"1","1",69,"3","23",0,NA,"2015",0,2
"246","B1","234","7",32,5,"1","1",48,"2","24",15,NA,"2015",0,2
"247","B1","235","7",26,6,"1","1",68,"4","17",0,"stalk present","2015",0,2
"248","B1","236","7",42,9,"1","1",69,"3","23",5,NA,"2015",0,2
"249","B1","237","7",80,0,"1","1",0,"0","0",9,NA,"2015",0,2
"250","B1","18.5.","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"251","B1","238","7",8,0,"1","1",175,"7","25",0,NA,"2015",0,2
"252","B1","332","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"253","B1","239","7",9,0,"1","1",112,"8","14",0,NA,"2015",0,2
"254","B1","240","7",15,0,"1","1",24,"4","6",0,NA,"2015",0,2
"255","B1","241","7",30,0,"1","1",32,"2","16",0,NA,"2015",0,2
"256","B1","242","7",21,0,"1","1",42,"3","14",NA,"stalk present, but no fruit","2015",0,2
"257","B1","243","7",28,0,"1","1",40,"4","10",0,NA,"2015",0,2
"258","B1","244","7",20,0,"1","1",35,"5","7",0,NA,"2015",0,2
"259","B1","245","7",13,1,"1","1",12,"1","12",10,NA,"2015",0,2
"260","B1","246","7",20,0,"1","1",28,"4","7",0,NA,"2015",0,2
"261","B1","247","7",18,0,"1","1",28,"4","7",0,NA,"2015",0,2
"262","B1","248","7",6,0,"1","1",15,"5","3",0,NA,"2015",0,2
"263","B1","249","7",45,0,"1","1",0,"0","0",9,NA,"2015",0,2
"264","B1","250","7",12,0,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"265","B1","251","7",24,0,"1","1",30,"6","5",5,NA,"2015",0,2
"266","B1","252","7",32,0,"1","1",110,"11","10",0,NA,"2015",0,2
"267","B1","253","7",4,0,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"268","B1","254","7",40,0,"1","1",0,"0","0",9,NA,"2015",0,2
"269","B1","255","7",52,0,"1","1",65,"5","13",0,NA,"2015",0,2
"270","B1","256","7",4,0,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"271","B1","257","7",15,0,"1","1",30,"5","6",0,NA,"2015",0,2
"272","B1","258","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"273","B1","259","7",54,0,"1","1",NA,NA,NA,NA,"stalk present","2015",0,2
"274","B1","260","7",10,0,"1","1",42,"3","14",0,NA,"2015",0,2
"275","B1","261","7",12,0,"1","1",12,"3","4",0,NA,"2015",0,2
"276","B1","262","7",32,0,"1","1",12,"1","12",0,NA,"2015",0,2
"277","B1","263","7",40,0,"1","1",28,"7","4",0,NA,"2015",0,2
"278","B1","264","7",28,4,"1","1",54,"6","9",0,NA,"2015",0,2
"279","B1","265","7",6,0,"1","1",14,"7","2",0,NA,"2015",0,2
"280","B1","266","7",36,0,"1","1",44,"4","11",0,NA,"2015",0,2
"281","B1","267","7",40,0,"1","1",35,"5","7",5,NA,"2015",0,2
"282","B1","268","7",NA,NA,NA,NA,64,"8","8",8,NA,"2015",0,2
"283","B1","269","7",9,0,"1","1",36,"6","6",0,NA,"2015",0,2
"284","B1","270","7",88,0,"1","1",30,"2","15",0,"stalk present","2015",0,2
"285","B1","271","7",2,0,"1","1",12,"2","6",0,NA,"2015",0,2
"286","B1","272","7",34,0,"1","1",48,"3","16",0,NA,"2015",0,2
"287","B1","273","7",6,0,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"288","B1","274","7",12,0,"1","1",48,"8","6",0,NA,"2015",0,2
"289","B1","275","7",108,0,"1","1",120,"10","12",0,NA,"2015",0,2
"290","B1","276","7",30,0,"1","1",84,"7","12",0,NA,"2015",0,2
"291","B1","277","7",66,0,"1","1",48,"6","8",0,NA,"2015",0,2
"292","B1","278","7",30,0,"1","1",6,"2","3",0,NA,"2015",0,2
"293","B1","279","7",50,0,"1","1",NA,NA,NA,NA,"forgot to do this plant","2015",0,2
"294","B1","280","7",2,0,"1","1",20,"4","5",0,NA,"2015",0,2
"295","B1","282","7",150,0,"1","1",66,"6","11",0,NA,"2015",0,2
"296","B1","333","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"297","B1","283","7",24,0,"1","1",NA,NA,NA,NA,"forgot to do this plant","2015",0,2
"298","B1","284","7",22,0,"1","1",21,"3","7",NA,"stalk with no fruit","2015",0,2
"299","B1","334","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"300","B1","285","7",84,0,"1","1",0,"0","0",9,NA,"2015",0,2
"301","B1","286","7",50,0,"1","1",12,"4","3",8,NA,"2015",0,2
"302","B1","287","7",16,0,"1","1",NA,NA,NA,NA,"not present?","2015",0,2
"303","B1","335","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"304","B1","336","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"305","B1","288","7",100,0,"1","1",42,"3","14",9,NA,"2015",0,2
"306","B1","289","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"307","B1","290","7",33,0,"1","1",304,"8","38",0,NA,"2015",0,2
"308","B1","291","7",110,0,"1","1",75,"3","25",3,NA,"2015",0,2
"309","B1","337","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"310","B1","292","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"311","B1","293","7",132,0,"1","1",8,"1","8",9,NA,"2015",0,2
"312","B1","294","7",140,0,"1","1",NA,NA,NA,NA,"not present?","2015",0,2
"313","B1","295","7",10,0,"1","1",NA,NA,NA,NA,"not present?","2015",0,2
"314","B1","296","7",48,0,"1","1",54,"3","18",3,NA,"2015",0,2
"315","B1","297","7",60,0,"1","1",50,"5","10",0,NA,"2015",0,2
"316","B1","298","7",30,0,"1","1",NA,NA,NA,NA,"not present?","2015",0,2
"317","B1","299","7",50,0,"1","1",NA,NA,NA,NA,"not present?","2015",0,2
"318","B1","300","7",16,0,"1","1",150,"5","30",0,NA,"2015",0,2
"319","B1","301","7",60,0,"1","1",100,"4","25",0,NA,"2015",0,2
"320","B1","302","7",135,0,"1","1",18,"1","18",0,NA,"2015",0,2
"321","B1","303","7",90,0,"1","1",15,"1","15",6,NA,"2015",0,2
"322","B1","304","7",3,0,"1","1",35,"5","7",0,NA,"2015",0,2
"323","B1","305","7",9,0,"1","1",100,"5","20",0,NA,"2015",0,2
"324","B1","306","7",16,0,"1","1",54,"3","18",2,NA,"2015",0,2
"325","B1","307","7",42,0,"1","1",50,"2","25",9,NA,"2015",0,2
"326","B1","308","7",54,0,"1","1",136,"4","34",0,NA,"2015",0,2
"327","B1","338","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"328","B1","309","7",45,0,"1","1",210,"6","35",0,NA,"2015",0,2
"329","B1","310","7",112,0,"1","1",150,"5","30",10,NA,"2015",0,2
"330","B1","339","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"331","B1","311","7",78,0,"1","1",189,"7","27",0,NA,"2015",0,2
"332","B1","312","7",36,0,"1","1",207,"9","23",0,NA,"2015",0,2
"333","B2","1","1",128,0,"1","1",5,"1","5",0,"burnt, sprout","2015",0,7
"334","B2","2","1",12,0,"1","1",10,"1","10",0,"burnt, sprout","2015",0,7
"335","B2","3","1",60,0,"1","1",14,"2","7",0,"burnt, sprout","2015",0,7
"336","B2","4","1",240,0,"1","1",48,"3","16",0,NA,"2015",0,7
"337","B2","5","1",333,0,"1","1",NA,NA,NA,NA,"burnt leaves; PresAlive16","2015",0,7
"338","B2","6","1",60,0,"1","1",NA,NA,NA,NA,"burnt leaves; PresAlive16","2015",0,7
"339","B2","7","1",161,0,"1","1",54,"3","18",0,"burnt, sprout","2015",0,7
"340","B2","8","1",354,0,"1","1",NA,NA,NA,NA,"burnt; PresAlive16","2015",0,7
