"","site","startyear","moisture_1","moisture_2","moisture_3","moisture_4","moisture_5","moisture_6","moisture_7","moisture_8","moisture_9","moisture_10","moisture_11","moisture_12"
"61","CM",2021,0.462071942204301,0.463042447916667,0.451549798387097,0.446528993055556,0.436244321236559,0.434868568534774,0.440876948924731,0.446449428763441,0.427647222222222,0.435800672043011,0.442679201388889,0.447682325268817
"62","CH",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","B1",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","B2",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ME",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","IA",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","GSP_LI",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","GSP_BI",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","CM",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CH",2021,0.316089079301075,0.289271851851852,NA,NA,NA,0.338369858989424,0.320487169811321,NA,NA,0.279346706586826,0.265073993055556,0.287629099462366
"71","B1",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","B2",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
