"site","ID","quad","x","y","mark","Note25","N25","L25","FR25","FLW25","Comm25","Alive25","Alive25_tpry","size25"
"B1","24.4.","4","18","28","rd","","0","","","","new lvs","1","1","0"
"B1","24.6.","4","18","39","yd","","3","10","","","","1","1","30"
"B1","66","4","18","45","wh","!unm sm pl @ base","2","18","","","","1","1","36"
"B1","67","4","19","42","oh","","3","19","","","","1","1","57"
"B1","24.5.","4","20","38","bd","","2","26","","","","1","1","52"
"B1","69","4","21","22","bh","","2","9","","","","1","1","18"
"B1","70","4","22","12","bd","","0","","","","no plt","1","0","0"
"B1","71","4","22","40","gh","","3","14","","","","1","1","42"
"B1","73","4","24","50","yd","!unm pls","3","16","","","","1","1","48"
"B1","74","4","25","39","bd","!unm pl L","5","19","","","inf herb","1","1","95"
"B1","72","4","25","42","rh","!unm pls @ base&D","3","26","","","","1","1","78"
"B1","75","4","25","46","rh","","0","","","","new lvs","1","1","0"
"B1","323","4","28","48","wd","2ros","3,4","21,12","","","qs25-50, no new","1","1","147"
"B1","64","4","19","0","rh","","2","11","","","xy unc; not in ds","1","1","22"
"B1","78","5","9","45","rh","dead24","0","","","","","","","0"
"B1","79","5","11","48","oh","","3","25","","","","1","1","75"
"B1","80","5","14","47","gp","dead24","0","","","","","","","0"
"B1","83","5","18","43","yd","dead24","0","","","","","","","0"
"B1","84","5","18","49","bd","!unm pls D&R","3","22","","","","1","1","66"
"B1","85","5","20","44","gp","dead24","0","","","","","","","0"
"B1","86","5","21","25","od","","2","16","","","","1","1","32"
"B1","87","5","21","42","od","","2","19","","","","1","1","38"
"B1","88","5","23","20","yd","","2","10","","","","1","1","20"
"B1","89","5","25","44","bd","","4","21","","","was 2ros","1","1","84"
"B1","90","5","25","45","yp","","0","","","","","1","0","0"
"B1","91","5","26","41","rh","!unm pls","0","","","","sen","1","1","0"
"B1","92","5","27","1","rh","","0","","","","new lvs","1","1","0"
"B1","93","5","27","10","gh","","3","23","","","","1","1","69"
"B1","94","5","27","26","gh","","0","","","","new lvs","1","1","0"
"B1","95","5","27","50","wd","","4","24","","","","1","1","96"
"B1","96","5","28","25","wh","","2","14","","","","1","1","28"
"B1","98","5","30","25","wp","dead24","0","","","","","","","0"
"B1","99","5","30","28","bh","","2","14","","","","1","1","28"
"B1","100","5","30","41","wh","2ros; !umn pl L","5","15","","","","1","1","75"
"B1","101","5","30","46","oh","!umn pl L","1","21","","","","1","1","21"
"B1","102","5","31","33","yp","","3","32","","","not dead","1","1","96"
"B1","103","5","31","47","gd","","3","44","","","","1","1","132"
"B1","104","5","32","20","od","","1","6","","","","1","1","6"
"B1","110","5","32","37","od","","0","","0","6","no lvs","1","0","0"
"B1","105","5","32","42","bd","","2","16","","","","1","1","32"
"B1","106","5","33","41","yh","","4","14","","","","1","1","56"
"B1","107","5","33","45","yd","","3","22","","","","1","1","66"
"B1","108","5","34","45","rd","!sm pl L","0","","","","","1","0","0"
"B1","109","5","35","41","od","","2","14","","","","1","1","28"
"B1","111","5","38","12","wh","","2","24","","","","1","1","48"
"B1","112","5","38","37","gd","","2","19","","","","1","1","38"
"B1","24.9.","5","41","35","rd","","3","12","","","","1","1","36"
"B1","114","5","41","37","bd","!unm pl U","3","18","","","","1","1","54"
"B1","116","5","42","20","rh","","1","10","","","","1","1","10"
"B1","118","5","45","28","gp","","1","7","","","","1","1","7"
"B1","119","5","46","32","wh","","3","2","","","","1","1","6"
"B1","120","5","46","46","bh","","2","21","","","","1","1","42"
"B1","121","5","46","50","rh","","1","19","","","","1","1","19"
"B1","122","5","49","28","od","","1","19","","","qns25-50","1","1","19"
"B1","23.1.","6","3","45","wp","disc","","","","","","","",""
"B1","128","6","4","13","op","","4","23","","","","1","1","92"
"B1","132","6","7","9","rd","","0","","","","no plt","1","0","0"
"B1","133","6","8","32","oh","","3","36","","","","1","1","108"
"B1","139","6","11","27","gp","","2","12","","","","1","1","24"
"B1","142","6","12","26","bh","!unm sm pl D","4","19","","","","1","1","76"
"B1","145","6","13","19","od","","3","25","","","","1","1","75"
"B1","156","6","21","26","wp","","0","","","","new lvs","1","1","0"
"B1","161","6","24","2","oh","","0","","","","new lvs","1","1","0"
"B1","165","6","28","38","oh","","4","16","","","","1","1","64"
"B1","168","6","30","10","rd","","3","20","","","","1","1","60"
"B1","169","6","30","37","bh","","5","16","","","","1","1","80"
"B1","173","6","33","11","gh","","2","17","","","","1","1","34"
"B1","178","6","38","5","yh","","2","25","","","","1","1","50"
"B1","180","6","40","13","rh","2ros","3,1","13,10","","","inf herb","1","1","52"
"B1","24.11.","6","41","17","yd","","0","","","","new lvs","1","1","0"
"B1","183","6","42","19","bp","","2","12","","","","1","1","24"
"B1","24.10.","6","46","3","bd","","1","7","","","","1","1","7"
"B1","189","6","46","12","yd","","7","18","","","inf herb","1","1","126"
"B1","193","6","50","3","gh","","2","8","","","oldx=47, oldy=5, not dead","1","1","16"
"B1","195","6","47","13","bp","","3","15","7","","","1","1","45"
"B1","200","6","48","13","rd","dead24","0","","","","no lvs/plt","","","0"
"B1","209","6","50","6","rp","dead24","0","","","","no plt, qs25-50, no new","","","0"
"B1","212","6","50","13","wh","","3","22","","","oldx=1, same plt?","1","1","66"
"B1","214","7","2","10","gd","","0","","","","sen 25","1","1","0"
"B1","331","7","2","42","bh","dead24","0","","","","m25","","","0"
"B1","216","7","5","6","yh","","2","10","","","","1","1","20"
"B1","217","7","5","14","rp","","4","12","","","","1","1","48"
"B1","340","7","5","39","yp","2ros","5,7","25,20","","","","1","1","300"
"B1","220","7","7","14","bp","","1","17","","","","1","1","17"
"B1","24.13.","7","7","14","gd","","2","10","","","","1","1","20"
"B1","222","7","9","1","gp","","1","16","","","not dead","1","1","16"
"B1","341","7","9","42","oh","!sm unm pl R","4","17","","","","1","1","68"
"B1","223","7","10","3","rh","","1","15","","","","1","1","15"
"B1","224","7","10","9","od","","2","15","","","","1","1","30"
"B1","225","7","10","10","wd","","3","10","","","not dead","1","1","30"
"B1","226","7","11","6","gh","","3","15","","","","1","1","45"
"B1","227","7","12","0","wd","","4","NA","","","","1","1",NA
"B1","228","7","12","2","op","","4","32","","","","1","1","128"
"B1","230","7","12","11","yd","","3","10","","","","1","1","30"
"B1","330","7","12","37","gp","3ros","0","","","","m25","1","0","0"
"B1","232","7","14","6","bd","2ros","3","10","","","","1","1","30"
"B1","233","7","14","7","wp","","2","10","","","","1","1","20"
"B1","234","7","15","23","yh","","3","30","","","","1","1","90"
"B1","235","7","16","9","yd","","2","17","","","","1","1","34"
"B1","236","7","17","9","rh","","6","45","","","","1","1","270"
"B1","18.5.","7","20","40","yh","","0","","","","","1","0","0"
"B1","242","7","27","24","rh","!unm pl R","3","10","","","not dead","1","1","30"
"B1","245","7","28","21","bh","","3","20","","","","1","1","60"
"B1","252","7","31","14","oh","","4","20","","","","1","1","80"
"B1","256","7","31","29","wh","","1","7","","","","1","1","7"
"B1","257","7","32","28","rh","dead24","0","","","","","","","0"
"B1","258","7","33","23","rp","","5","10","","","","1","1","50"
"B1","261","7","33","30","gd","","4","5","","","","1","1","20"
"B1","262","7","33","33","rp","!unm sm pl","6","10","","","","1","1","60"
"B1","24.15.","7","34","9","od","","3","13","","","","1","1","39"
"B1","263","7","34","10","rh","!unm pls D","3","10","","","","1","1","30"
"B1","24.14.","7","34","10","wp","","0","","","","m25","1","0","0"
"B1","264","7","34","24","oh","","0","","","","m25","1","0","0"
"B1","270","7","35","16","bd","","3","20","","","","1","1","60"
"B1","272","7","36","8","oh","","3","20","","","","1","1","60"
"B1","275","7","36","41","rd","!unm pl","0","","","","m25","1","0","0"
"B1","276","7","37","9","gp","","2","14","","","not dead","1","1","28"
"B1","277","7","37","27","rp","","1","17","","","","1","1","17"
"B1","278","7","37","28","yd","","4","11","","","","1","1","44"
"B1","279","7","37","37","yh","dead24","0","","","","m25","","","0"
"B1","23.2.","7","38","9","yp","","2","8","","","","1","1","16"
"B1","282","7","38","10","wd","","3","12","","","","1","1","36"
"B1","333","7","38","19","op","mpd24","0","","","","m25","","","0"
"B1","21.4.","7","38","20","wp","","4","10","","","not dead","1","1","40"
"B1","284","7","39","20","gp","!unm pl; mpd24","0","","","","m25","","","0"
"B1","285","7","40","17","rp","","0","","","","m25","1","0","0"
"B1","335","7","41","22","bh","","3","12","","","","1","1","36"
"B1","336","7","41","33","gp","","4","20","","","","1","1","80"
"B1","290","7","42","6","bh","","3","19","","","","1","1","57"
"B1","337","7","42","11","wh","","0","","","","m25","1","0","0"
"B1","299","7","43","26","gd","!unm sm pl","3","13","","","","1","1","39"
"B1","24.12.","7","43","26","wd","","4","20","","","","1","1","80"
"B1","294","7","43","40","oh","dead24","0","","","","m25","","","0"
"B1","289","7","43","48","gd","!unm sm pl D","3","26","","","","1","1","78"
"B1","307","7","44","14","gh","","4","11","","","","1","1","44"
"B1","308","7","44","16","bp","dead24","0","","","","m25","","","0"
"B1","338","7","44","32","wh","!unm pl","3","12","","","","1","1","36"
"B1","283","7","44","38","bd","","2","9","","","","1","1","18"
"B1","339","7","46","32","gp","!unm pl","4","15","","","","1","1","60"
"B1","302","7","47","11","yp","","0","","","","m25","1","0","0"
"B1","303","7","47","13","bh","","0","","","","m25","1","0","0"
"B1","306","7","48","17","yd","","3","20","","","","1","1","60"
"B1","295","7","48","40","rh","","10","30","","","qns25-50","1","1","300"
"B2","2","1","18","15","gh","","3","20","","","","1","1","60"
"B2","19.1.","1","20","15","od","","2","8","","","","1","1","16"
"B2","3","1","20","16","yp","!unm pl D","4","23","","","","1","1","92"
"B2","20.5.","1","25","7","op","dead24","0","","","","m25","","","0"
"B2","4","1","28","34","od","dead24","0","","","","m25","","","0"
"B2","5","1","31","12","bh","","6","25","","","","1","1","150"
"B2","6","1","31","13","wp","","3","32","","","","1","1","96"
"B2","7","1","33","11","op","","4","24","","","not dead","1","1","96"
"B2","22.1.","1","33","16","rh","dead24","","","","","m25","","",""
"B2","8","1","34","10","gh","","4","42","","","","1","1","168"
"B2","11","1","36","9","bh","","5","NA","","","","1","1",NA
"B2","9","1","36","12","yh","dead24","0","","","","","","","0"
"B2","12","1","37","10","rp","dead24","0","","","","","","","0"
"B2","13","1","37","13","bd","dead24","0","","","","","","","0"
"B2","14","1","37","36","rh","!unm pl L; mpd24","4","23","","","","1","1","92"
"B2","15","1","38","11","wp","dead24","0","","","","","","","0"
"B2","20.4.","1","41","4","rp","dead24","0","","","","","","","0"
"B2","19.3.","1","41","18","bh","","3","21","","","","1","1","63"
"B2","20.3.","1","42","8","bd","dead24","0","","","","","","","0"
"B2","16","1","42","15","yp","","0","","","","m25","1","0","0"
"B2","19.2.","1","43","18","wd","","3","30","","","","1","1","90"
"B2","20.1.","1","45","18","gp","dead24","0","","","","m25","","","0"
"B2","188","2","18","16","gh","","8","38","","","","1","1","304"
"B2","190","2","19","15","rh","!unm pl U; mpd24","0","","","","m25","","","0"
"B2","24.1.","2","22","27","bp","","5","32","","","qns25-50","1","1","160"
"B2","249","3","5","26","gh","","3","49","","","qns25-50","1","1","147"
"B2","250","4","11","23","wh","mpd24","0","","","","","","","0"
"B2","251","4","16","26","oh","","3","45","","","","1","1","135"
"B2","252","4","17","25","bd","dead24","0","","","","","","","0"
"B2","253","4","18","25","yp","!unm pl D","3","60","","","","1","1","180"
"B2","255","4","40","23","rd","","6","50","","","","1","1","300"
"B2","256","4","40","25","op","","3","NA","","","qns25-50","1","1",NA
"B2","271","5","22","32","rp","","0","","","","m25","1","0","0"
"B2","282","5","31","9","oh","","0","","","","","1","0","0"
"B2","283","5","31","22","yh","dead24","0","","","","","","","0"
"B2","284","5","31","30","bd","mpd24","0","","","","","","","0"
"B2","19.6.","5","33","11","yp","","1","46","","","","1","1","46"
"B2","290","5","37","3","bp","","2","8","","","","1","1","16"
"B2","295","5","38","28","gd","","0","","","","m25","1","0","0"
"B2","299","5","40","20","gh","","3","50","","","","1","1","150"
"B2","302","5","42","28","yd","","2","45","","","","1","1","90"
"B2","303","5","44","15","wp","mpd24","0","","","","m25","","","0"
"B2","307","5","44","29","gp","","4","30","","","","1","1","120"
"B2","310","5","45","23","yh","mpd24","0","","","","m25","","","0"
"B2","311","5","50","21","bh","","4","8","","","","1","1","32"
"B2","313","5","47","31","bp","dead24","0","","","","","","","0"
"B2","23.3.","5","48","12","yd","","2","26","","","","1","1","52"
"B2","317","5","49","19","yd","","3","30","","","","1","1","90"
"B2","23.1.","5","50","3","op","mpd24","0","","","","m25","","","0"
"B2","23.2.","5","50","12","bh","","0","","","","m25, qns25-50","1","0","0"
"B2","19.9.","6","44","32","rp","","2","55","","","","1","1","110"
"B2","19.10.","6","45","31","bp","dead24","0","","","","m25, qns25-50","","","0"
"B2","21.2.","8","30","16","bp","dead24","0","","","","m25","","","0"
"B2","330","8","31","22","bh","","2","20","","","was 2 ros","1","1","40"
"B2","21.1.","8","32","14","yp","dead24","0","","","","m25","","","0"
"B2","331","8","32","23","wp","dead24","0","","","","m25","","","0"
"B2","19.11.","8","38","5","gp","","0","","","","m25","1","0","0"
"B2","21.3.","8","39","14","wp","dead24","0","","","","m25","","","0"
"B2","21.6.","8","40","9","rp","2ros","2,1","30,29","","","was 3 ros","1","1","90"
"B2","21.4.","8","40","13","yh","dead24","0","","","","m25","","","0"
"B2","21.5.","8","41","13","od","dead24","0","","","","m25","","","0"
"B2","21.8.","8","41","18","gp","dead24","0","","","","m25","","","0"
"B2","21.9.","8","42","10","bd","dead24","0","","","","m25","","","0"
"B2","21.10.","8","43","15","gd","dead24","0","","","","m25","","","0"
"B2","21.7.","8","44","19","oh","dead24","0","","","","m25, qns25-50","","","0"
"B2","58","11","9","31","gh","","0","","","","","1","0","0"
"B2","29","11","10","31","bd","!unm pl U; dead24","0","","","","","","","0"
"B2","30","11","16","28","wh","3ros","3,2,2","46,58,52","","","","1","1","406"
"B2","31","11","20","30","bd","dead24","0","","","","","","","0"
"B2","32","11","21","18","yd","","2","25","","","","1","1","50"
"B2","33","11","21","31","gp","","3","35","","","","1","1","105"
"B2","34","11","22","33","rh","","3","56","","","","1","1","168"
"B2","35","11","26","33","rh","!unm pls R","3","44","","","","1","1","132"
"B2","36","11","27","34","yd","","3","34","","","","1","1","102"
"B2","37","11","27","34","bp","","0","","","","","1","0","0"
"B2","38","11","28","31","op","","4","54","","","","1","1","216"
"B2","21.11.","11","29","21","rp","","0","","","","","1","0","0"
"B2","39","11","31","25","wd","","5","39","","","tp was gh","1","1","195"
"B2","21.16.","11","33","8","bd","dead24","0","","","","m25","","","0"
"B2","21.13.","11","33","14","op","","2","50","","","","1","1","100"
"B2","21.19.","11","33","25","yp","!unm pl D","5","33","","","","1","1","165"
"B2","40","11","33","37","wh","","3","35","","","","1","1","105"
"B2","21.15.","11","34","10","rp","","3","56","","","","1","1","168"
"B2","21.14.","11","34","12","bd","","3","44","","","tp was gd","1","1","132"
"B2","41","11","35","28","op","","5","44","","","","1","1","220"
"B2","43","11","35","36","yd","","6","44","","","","1","1","264"
"B2","42","11","35","37","od","","0","","","","","1","0","0"
"B2","44","11","36","36","rh","!unm pl U","4","46","","","","1","1","184"
"B2","47","11","37","36","yp","","0","","","","m25","1","0","0"
"B2","49","11","38","37","bh","","0","","","","m25","1","0","0"
"B2","21.20.","11","39","25","wd","","0","","","","m25","1","0","0"
"B2","50","11","40","27","rh","","4","57","","","","1","1","228"
"B2","51","11","40","28","bd","","5","56","","","tp was bh, qns25-50","1","1","280"
"B2","70","13","3","12","bh","","2","64","","","","1","1","128"
"B2","71","13","4","19","gd","!unm pl L; mpd24","0","","","","m25","","","0"
"B2","64","13","13","29","yp","","2","42","","","","1","1","84"
"B2","65","13","13","46","gd","","0","","","","m25, qns25-50","1","0","0"
"B2","66","13","14","28","rh","dead24","0","","","","","","","0"
"B2","67","13","19","46","yh","","0","","","","m25, qns25-50","1","0","0"
"B2","92","14","8","13","rh","dead24, quad mossy","0","","","","","","","0"
"B2","75","14","10","10","bp","","0","","","","","1","0","0"
"B2","76","14","12","14","wp","","0","","","","","1","0","0"
"B2","77","14","16","12","od","","3","45","","","","1","1","135"
"B2","78","14","23","18","yh","","2","40","","","was 2ros","1","1","80"
"B2","20.6.","14","25","11","gp","","0","","","","no lvs","1","0","0"
"B2","80","14","28","17","wp","dead24","0","","","","m25","","","0"
"B2","81","14","36","20","oh","","1","31","","","","1","1","31"
"B2","83","14","38","45","gh","","3","57","","","","1","1","171"
"B2","20.7.","14","39","6","yh","mpd24","0","","","","m25","","","0"
"B2","85","14","40","15","rp","","3","40","","","not dead","1","1","120"
"B2","86","14","41","45","od","","3","70","","","","1","1","210"
"B2","84","14","42","14","yp","","0","","","","","1","0","0"
"B2","87","14","44","44","bd","","0","","","","tp was bp","1","0","0"
"B2","88","14","45","43","wd","","1","44","","","","1","1","44"
"B2","89","14","46","13","bd","2ros","1,3","56,65","","","","1","1","260"
"B2","25.1.","14","35","15","wp","","3","82","","","xy unc, not in ds","1","1","246"
"B2","93","15","1","32","yp","pendant; disc quad16; dead24","0","","","","no plt","","","0"
"B2","94","15","2","12","gh","","0","","","","no plt","1","0","0"
"B2","95","15","2","15","od","mpd24","0","","","","no plt","","","0"
"B2","97","15","5","19","rh","","1","61","","","qns25-50","1","1","61"
"B2","110","17","3","40","op","Quad oriented differently than rebar","1","52","","","","1","1","52"
"B2","111","17","5","43","bp","","","","","","not surveyed25","1","",""
"B2","112","17","5","47","rh","","3","49","","","","1","1","147"
"B2","114","17","9","41","rp","!unm pl D","0","","","","","1","0","0"
"B2","103","17","11","42","gd","","0","","","","","1","0","0"
"B2","105","17","17","48","rd","!unm pl U","0","","","","no plt","1","0","0"
"B2","106","17","18","43","wp","","1","70","","","","1","1","70"
"B2","107","17","19","48","bh","2ros","0","","","","no plt","1","0","0"
"B2","108","17","22","27","gp","dead24","0","","","","m25","","","0"
"B2","109","17","22","27","yd","dead24","0","","","","m25, qns25-50","","","0"
"B2","116","18","0","8","yp","!sm pl L; spike low L of quad; mpd24","0","","","","no plt","","","0"
"B2","166","18","9","5","wd","","2","57","","","","1","1","114"
"B2","167","18","9","8","bp","","0","","","","no plt","1","0","0"
"B2","118","18","10","9","op","","0","","","","no plt","1","0","0"
"B2","119","18","11","18","yp","mpd24","0","","","","no plt","","","0"
"B2","121","18","13","6","oh","","2","55","","","","1","1","110"
"B2","120","18","13","44","gp","mpd24","0","","","","m25","","","0"
"B2","122","18","14","12","gh","!unm pls","0","","","","no plt","1","0","0"
"B2","125","18","15","45","yh","","0","","","","no plt","1","0","0"
"B2","126","18","16","13","yh","","0","","","","no plt","1","0","0"
"B2","128","18","17","12","wd","","0","","","","imm lvs","1","1","0"
"B2","130","18","17","20","rh","mossy; mpd24","0","","","","m25","","","0"
"B2","133","18","18","42","rp","dead24","0","","","","sphag, m25","","","0"
"B2","134","18","18","44","bp","","0","","","","sphag","1","0","0"
"B2","135","18","19","15","wh","dead24","0","","","","no plt","","","0"
"B2","138","18","21","17","yh","","3","63","","","","1","1","189"
"B2","147","18","25","29","rd","","0","","","","no plt","1","0","0"
"B2","20.10.","18","26","29","op","","4","64","","","","1","1","256"
"B2","137","18","29","37","yh","!unm pls","3","31","","","","1","1","93"
"B2","159","18","31","50","bp","","0","","","","m25","1","0","0"
"B2","150","18","32","25","rp","mpd24","0","","","","m25","","","0"
"B2","141","18","32","37","rd","","2","22","","","","1","1","44"
"B2","153","18","32","43","rd","","1","49","","","","1","1","49"
"B2","154","18","32","45","yd","","0","","","","no plt","1","0","0"
"B2","145","18","33","37","bh","","2","32","","","","1","1","64"
"B2","155","18","34","46","op","dead24","0","","","","m25","","","0"
"B2","157","18","36","46","rh","!unm pls","1","70","","","","1","1","70"
"B2","19.16.","18","40","13","op","","0","","","","no plt","1","0","0"
"B2","19.17.","18","41","12","rp","mpd24","0","","","","m25","","","0"
"B2","156","18","41","34","wp","","0","","","","m25","1","0","0"
"B2","161","18","41","47","bp","","3","87","","","same plt? tp was bd","1","1","261"
"B2","162","18","41","50","wp","","0","","","","m25","1","0","0"
"B2","163","18","42","45","gp","","0","","","","m25, qns25-50","1","0","0"
"B2","25.2.","18","29","14","bp","","2","43","","","xy unc, not in ds","1","1","86"
"B2","25.3.","18","39","48","rp","","2","71","","","missed","1","1","142"
"B2","25.4.","18","48","38","rd","","2","39","","","xy unc, not in ds","1","1","78"
"B2","172","19","34","21","op","","0","","","","no plt","1","0","0"
"B2","173","19","34","32","bh","mpd24","0","","","","m25","","","0"
"B2","177","19","36","32","wp","!unm pl UL","0","","","","new lvs","1","1","0"
"B2","180","19","37","39","oh","mpd24","0","","","","m25","","","0"
"B2","181","19","40","29","oh","!unm pls L","2","86","","","","1","1","172"
"B2","182","19","41","32","bd","","1","52","","","same plt? New nail","1","1","52"
"B2","183","19","42","35","gp","3ros","1,1,2","45,41,52","","","","1","1","208"
"B2","184","19","45","37","rd","","2","36","","","","1","1","72"
"B2","185","19","46","47","gp","mpd24","0","","","","m25","","","0"
"B2","186","19","47","47","wh","mpd24","0","","","","m25, qns25-50","","","0"
"B2","191","20","1","40","bp","Difrnt quad orient'ion","2","62","","","","1","1","124"
"B2","241","20","5","13","gp","!unm pls all sides","2","79","","","","1","1","158"
"B2","244","20","7","45","yd","!unm pl U","1","66","","","","1","1","66"
"B2","247","20","9","27","op","","2","47","","","","1","1","94"
"B2","248","20","9","33","gp","","1","45","","","","1","1","45"
"B2","193","20","11","25","gh","","1","62","","","","1","1","62"
"B2","194","20","11","29","wh","dead24","0","","","","","","","0"
"B2","195","20","12","21","bp","dead24","0","","","","","","","0"
"B2","196","20","12","24","rd","","1","45","","","not dead","1","1","45"
"B2","200","20","13","25","gd","dead24","0","","","","","","","0"
"B2","18.2.","20","13","36","op","!unm pl U","0","","","","","1","0","0"
"B2","201","20","13","39","bd","!unm pl L","0","","","","new lvs, tp was bh","1","1","0"
"B2","202","20","13","41","yp","","1","31","","","","1","1","31"
"B2","203","20","13","45","gp","","3","16","","","","1","1","48"
"B2","204","20","14","47","rd","","4","81","","","tp was rp","1","1","324"
"B2","19.18.","20","15","36","rp","!unm pl U","0","","","","tp was rd","1","0","0"
"B2","18.3.","20","16","39","wp","!unm pl D","4","56","","","","1","1","224"
"B2","206","20","16","45","wp","","2","36","","","","1","1","72"
"B2","207","20","19","24","yh","!unm pl D","3","80","","","","1","1","240"
"B2","208","20","19","39","yd","!unm pls U & D; dead24","0","","","","","","","0"
"B2","209","20","20","15","oh","","2","76","","","","1","1","152"
"B2","211","20","21","20","wd","","9","60","","","","1","1","540"
"B2","210","20","21","29","wp","","4","49","","","","1","1","196"
"B2","213","20","22","18","bd","","4","52","","","","1","1","208"
"B2","214","20","22","21","bh","!unm pl R","5","91","","","","1","1","455"
"B2","215","20","22","23","rp","","2","49","","","inf herb","1","1","98"
"B2","205","20","22","28","oh","","3","72","","","","1","1","216"
"B2","218","20","24","45","bd","2ros","","","","","not surveyed25","1","",""
"B2","23.8.","20","25","10","yd","dead24","0","","","","","","","0"
"B2","18.7.","20","26","18","op","","0","","","","","1","0","0"
"B2","219","20","26","22","yh","","2","41","","","","1","1","82"
"B2","220","20","27","22","wp","!sm pl L","0","","","","","1","0","0"
"B2","18.12.","20","27","24","bh","","3","54","","","","1","1","162"
"B2","20.40.","20","28","2","rp","dead24","0","","","","","","","0"
"B2","18.8.","20","28","17","bh","dead24","0","","","","","","","0"
"B2","221","20","28","48","oh","","3","55","","","","1","1","165"
"B2","23.4.","20","30","8","rd","dead24","0","","","","","","","0"
"B2","22.3.","20","30","12","bd","dead24","0","","","","","","","0"
"B2","20.28.","20","30","21","yd","","0","","","","","1","0","0"
