,"(deg C) Maximum Temperature (gridMET) at -79.2103E,35.1464N, 1979-01-01 to 2026-04-10"
"1979-06-27",27.2538
"1979-06-28",29.0638
"1979-06-29",30.203
"1979-06-30",30.4513
"1979-07-01",31.0222
"1979-07-02",32.6024
"1979-07-03",32.2923
"1979-07-04",33.922
"1979-07-05",27.8024
"1979-07-06",26.3123
"1979-07-07",24.5924
"1979-07-08",29.1417
"1979-07-09",27.6319
"1979-07-10",24.9026
"1979-07-11",29.2924
"1979-07-12",32.2923
"1979-07-13",34.5225
"1979-07-14",33.9924
"1979-07-15",33.7923
"1979-07-16",32.2417
"1979-07-17",32.9224
"1979-07-18",32.8125
"1979-07-19",30.292
"1979-07-20",29.1022
"1979-07-21",31.042
"1979-07-22",30.6923
"1979-07-23",31.4015
"1979-07-24",31.0617
"1979-07-25",30.6824
"1979-07-26",31.6721
"1979-07-27",31.0024
"1979-07-28",34.4014
"1979-07-29",34.4125
"1979-07-30",32.8619
"1979-07-31",35.1526
"1979-08-01",34.1716
"1979-08-02",32.5024
"1979-08-03",33.9517
"1979-08-04",33.6823
"1979-08-05",33.3425
"1979-08-06",34.2025
"1979-08-07",34.3124
"1979-08-08",36.2918
"1979-08-09",36.5623
"1979-08-10",36.4623
"1979-08-11",33.9825
"1979-08-12",29.0725
"1979-08-13",27.1315
"1979-08-14",31.5016
"1979-08-15",28.6821
"1979-08-16",24.9322
"1979-08-17",26.122
"1979-08-18",29.7619
"1979-08-19",33.7021
"1979-08-20",35.1415
"1979-08-21",34.1926
"1979-08-22",31.6523
"1979-08-23",31.4225
"1979-08-24",31.0321
"1979-08-25",32.852
"1979-08-26",31.6325
"1979-08-27",30.8319
"1979-08-28",30.3426
"1979-08-29",30.822
"1979-08-30",34.2223
"1979-08-31",31.0185
"1979-09-01",29.2591
"1979-09-02",30.0696
"1979-09-03",29.4889
"1979-09-04",26.1887
"1979-09-05",23.9191
"1979-09-06",31.3496
"1979-09-07",30.9184
"1979-09-08",28.4485
"1979-09-09",25.7996
"1979-09-10",27.3996
"1979-09-11",28.9391
"1979-09-12",29.1491
"1979-09-13",28.4288
"1979-09-14",31.2088
"1979-09-15",24.3095
"1979-09-16",23.8091
"1979-09-17",24.8086
"1979-09-18",26.6286
"1979-09-19",27.9185
"1979-09-20",25.8193
"1979-09-21",28.519
"1979-09-22",29.9287
"1979-09-23",24.5689
"1979-09-24",21.4986
"1979-09-25",18.6594
"1979-09-26",21.7087
"1979-09-27",23.8387
"1979-09-28",26.169
"1979-09-29",26.1492
"1979-09-30",28.3645
"1979-10-01",29.9843
"1979-10-02",30.1351
"1979-10-03",25.1546
"1979-10-04",21.7742
"1979-10-05",20.3953
"1979-10-06",22.1349
"1979-10-07",22.555
"1979-10-08",23.8449
"1979-10-09",28.0445
"1979-10-10",19.2648
"1979-10-11",15.2653
"1979-10-12",24.905
"1979-10-13",23.1851
"1979-10-14",15.0343
"1979-10-15",19.455
"1979-10-16",25.0249
"1979-10-17",26.0948
"1979-10-18",26.7349
"1979-10-19",26.2752
"1979-10-20",27.3044
"1979-10-21",29.4246
"1979-10-22",28.755
"1979-10-23",26.2246
"1979-10-24",18.7743
"1979-10-25",17.5745
"1979-10-26",16.5849
"1979-10-27",16.4947
"1979-10-28",21.6543
"1979-10-29",22.0941
"1979-10-30",24.5949
"1979-10-31",22.6366
"1979-11-01",24.0265
"1979-11-02",22.067
"1979-11-03",18.007
"1979-11-04",13.6974
"1979-11-05",16.1376
"1979-11-06",19.5576
"1979-11-07",16.9667
"1979-11-08",16.3378
"1979-11-09",23.2469
"1979-11-10",24.1773
"1979-11-11",21.9471
"1979-11-12",14.1867
"1979-11-13",15.8275
"1979-11-14",11.9973
"1979-11-15",11.9071
"1979-11-16",15.4568
"1979-11-17",18.2269
"1979-11-18",21.5567
"1979-11-19",21.7173
"1979-11-20",22.6674
"1979-11-21",22.5476
"1979-11-22",23.6966
"1979-11-23",24.8074
"1979-11-24",26.4272
"1979-11-25",24.5269
"1979-11-26",23.4669
"1979-11-27",18.5976
"1979-11-28",20.2977
"1979-11-29",12.5669
"1979-11-30",6.2582
"1979-12-01",9.4583
"1979-12-02",5.6775
"1979-12-03",6.9477
"1979-12-04",10.4974
"1979-12-05",13.2477
"1979-12-06",13.5875
"1979-12-07",17.6277
"1979-12-08",12.8177
"1979-12-09",9.2383
"1979-12-10",14.1076
"1979-12-11",17.7982
"1979-12-12",21.2676
"1979-12-13",22.3981
"1979-12-14",18.5074
"1979-12-15",10.338
"1979-12-16",15.8077
"1979-12-17",9.8178
"1979-12-18",6.9081
"1979-12-19",11.3079
"1979-12-20",11.0781
"1979-12-21",12.5879
"1979-12-22",16.638
"1979-12-23",18.988
"1979-12-24",22.6576
"1979-12-25",16.4984
"1979-12-26",12.2481
"1979-12-27",13.8679
"1979-12-28",12.0183
"1979-12-29",14.9082
"1979-12-30",10.0575
"1979-12-31",9.2099
"1980-01-01",8.9305
"1980-01-02",10.1301
"1980-01-03",10.1605
"1980-01-04",7.4494
"1980-01-05",4.8596
"1980-01-06",5.1605
"1980-01-07",8.4902
"1980-01-08",8.8795
"1980-01-09",12.5804
"1980-01-10",9.3101
"1980-01-11",19.3804
"1980-01-12",15.38
"1980-01-13",6.3601
"1980-01-14",9.0906
"1980-01-15",15.0695
"1980-01-16",14.8196
"1980-01-17",10.9004
"1980-01-18",15.2502
"1980-01-19",14.5903
"1980-01-20",13.1905
"1980-01-21",13.0195
"1980-01-22",12.1801
"1980-01-23",11.9799
"1980-01-24",7.5404
"1980-01-25",14.9397
"1980-01-26",11.4304
"1980-01-27",6.2
"1980-01-28",11.6197
"1980-01-29",10.6202
"1980-01-30",4.2701
"1980-01-31",2.4713
"1980-02-01",1.0108
"1980-02-02",1.4511
"1980-02-03",1.8308
"1980-02-04",2.7005
"1980-02-05",6.0605
"1980-02-06",1.9606
"1980-02-07",6.5506
"1980-02-08",5.551
"1980-02-09",2.5307
"1980-02-10",4.1913
"1980-02-11",9.1415
"1980-02-12",8.3009
"1980-02-13",9.2713
"1980-02-14",15.2211
"1980-02-15",16.6112
"1980-02-16",15.6408
"1980-02-17",4.9409
"1980-02-18",8.8116
"1980-02-19",15.0913
"1980-02-20",15.0306
"1980-02-21",22.8508
"1980-02-22",24.7006
"1980-02-23",26.041
"1980-02-24",22.6616
"1980-02-25",15.1604
"1980-02-26",9.0409
"1980-02-27",12.8606
"1980-02-28",16.6609
"1980-02-29",11.2837
"1980-03-01",3.1736
"1980-03-02",-5.5855
"1980-03-03",1.3941
"1980-03-04",7.6047
"1980-03-05",11.1745
"1980-03-06",14.5042
"1980-03-07",22.5342
"1980-03-08",16.5445
"1980-03-09",20.5437
"1980-03-10",22.2043
"1980-03-11",14.7346
"1980-03-12",9.2944
"1980-03-13",12.9043
"1980-03-14",11.5639
"1980-03-15",17.4045
"1980-03-16",20.8542
"1980-03-17",20.4139
"1980-03-18",20.3242
"1980-03-19",18.7145
"1980-03-20",20.9137
"1980-03-21",22.7647
"1980-03-22",14.9445
"1980-03-23",14.5345
"1980-03-24",16.0447
"1980-03-25",19.3343
"1980-03-26",15.4139
"1980-03-27",16.314
"1980-03-28",15.6238
"1980-03-29",23.7642
"1980-03-30",17.2638
"1980-03-31",23.3251
"1980-04-01",19.2446
"1980-04-02",25.3654
"1980-04-03",24.8644
"1980-04-04",28.5349
"1980-04-05",16.6645
"1980-04-06",19.8244
"1980-04-07",22.6543
"1980-04-08",24.5854
"1980-04-09",28.3445
"1980-04-10",23.2244
"1980-04-11",25.1846
"1980-04-12",20.2344
"1980-04-13",24.2846
"1980-04-14",26.1344
"1980-04-15",16.6645
"1980-04-16",18.0947
"1980-04-17",16.9544
"1980-04-18",22.4347
"1980-04-19",24.9651
"1980-04-20",25.2744
"1980-04-21",25.9148
"1980-04-22",26.2848
"1980-04-23",31.9847
"1980-04-24",31.6948
"1980-04-25",30.6552
"1980-04-26",28.4245
"1980-04-27",28.0849
"1980-04-28",23.0546
"1980-04-29",21.7446
"1980-04-30",17.5755
"1980-05-01",22.3753
"1980-05-02",25.4648
"1980-05-03",26.736
"1980-05-04",28.0352
"1980-05-05",29.3149
"1980-05-06",30.056
"1980-05-07",29.8753
"1980-05-08",25.1458
"1980-05-09",18.7254
"1980-05-10",23.7351
"1980-05-11",29.0553
"1980-05-12",32.8956
"1980-05-13",32.8253
"1980-05-14",32.1557
"1980-05-15",25.0852
"1980-05-16",24.606
"1980-05-17",23.5653
"1980-05-18",28.3554
"1980-05-19",30.3156
"1980-05-20",28.0352
"1980-05-21",29.0856
"1980-05-22",29.555
"1980-05-23",30.3253
"1980-05-24",28.4354
"1980-05-25",28.2656
"1980-05-26",27.4857
"1980-05-27",27.3049
"1980-05-28",30.6856
"1980-05-29",32.3158
"1980-05-30",31.4558
"1980-05-31",30.796
"1980-06-01",31.2059
"1980-06-02",31.8658
"1980-06-03",33.9267
"1980-06-04",31.6656
"1980-06-05",28.1565
"1980-06-06",30.3859
"1980-06-07",31.9956
"1980-06-08",34.9456
"1980-06-09",24.9663
"1980-06-10",29.5757
"1980-06-11",30.4757
"1980-06-12",27.4456
"1980-06-13",25.9561
"1980-06-14",29.7067
"1980-06-15",35.1263
"1980-06-16",34.4362
"1980-06-17",29.4859
"1980-06-18",25.2465
"1980-06-19",29.0856
"1980-06-20",31.8961
"1980-06-21",28.4063
"1980-06-22",30.1858
"1980-06-23",31.4364
"1980-06-24",26.7858
"1980-06-25",26.8961
"1980-06-26",27.8762
"1980-06-27",33.8163
"1980-06-28",35.9657
"1980-06-29",34.6557
"1980-06-30",31.605
"1980-07-01",30.1251
"1980-07-02",33.6247
"1980-07-03",33.6356
"1980-07-04",33.0448
"1980-07-05",35.7146
"1980-07-06",34.4349
"1980-07-07",30.4951
"1980-07-08",33.9849
"1980-07-09",35.3653
"1980-07-10",35.5048
"1980-07-11",34.4155
"1980-07-12",35.9354
"1980-07-13",32.4347
"1980-07-14",32.5451
"1980-07-15",33.8151
"1980-07-16",36.1052
"1980-07-17",35.9851
"1980-07-18",32.1848
"1980-07-19",33.6647
"1980-07-20",33.9352
"1980-07-21",34.3755
"1980-07-22",32.5354
"1980-07-23",30.3156
"1980-07-24",31.2447
"1980-07-25",30.6055
"1980-07-26",31.5953
"1980-07-27",31.9252
"1980-07-28",31.3151
"1980-07-29",32.425
"1980-07-30",34.2554
"1980-07-31",36.4412
"1980-08-01",35.4817
"1980-08-02",36.8415
"1980-08-03",37.3922
"1980-08-04",36.1913
"1980-08-05",36.212
"1980-08-06",36.0421
"1980-08-07",35.7013
"1980-08-08",36.1622
"1980-08-09",36.8512
"1980-08-10",35.802
"1980-08-11",33.7617
"1980-08-12",33.5519
"1980-08-13",34.6715
"1980-08-14",36.5116
"1980-08-15",34.7115
"1980-08-16",33.5215
"1980-08-17",26.7821
"1980-08-18",29.982
"1980-08-19",31.3915
"1980-08-20",34.3719
"1980-08-21",31.8221
"1980-08-22",29.7916
"1980-08-23",30.392
"1980-08-24",29.2215
"1980-08-25",32.2515
"1980-08-26",33.0824
"1980-08-27",33.3614
"1980-08-28",34.5514
"1980-08-29",33.5325
"1980-08-30",33.4124
"1980-08-31",32.7974
"1980-09-01",34.9771
"1980-09-02",33.8879
"1980-09-03",33.638
"1980-09-04",30.3471
"1980-09-05",31.8573
"1980-09-06",31.7372
"1980-09-07",32.038
"1980-09-08",31.468
"1980-09-09",31.2775
"1980-09-10",31.0276
"1980-09-11",31.1174
"1980-09-12",32.3474
"1980-09-13",31.2472
"1980-09-14",33.7375
"1980-09-15",34.8473
"1980-09-16",33.6174
"1980-09-17",33.4172
"1980-09-18",28.8576
"1980-09-19",28.3081
"1980-09-20",29.2579
"1980-09-21",30.227
"1980-09-22",32.5172
"1980-09-23",34.3173
"1980-09-24",30.8481
"1980-09-25",31.3479
"1980-09-26",29.6375
"1980-09-27",22.8872
"1980-09-28",15.927
"1980-09-29",18.2172
"1980-09-30",21.6669
"1980-10-01",21.9568
"1980-10-02",25.2271
"1980-10-03",25.2768
"1980-10-04",20.8967
"1980-10-05",18.8576
"1980-10-06",16.707
"1980-10-07",20.9767
"1980-10-08",24.6072
"1980-10-09",27.6773
"1980-10-10",27.9272
"1980-10-11",28.7569
"1980-10-12",18.3372
"1980-10-13",16.6573
"1980-10-14",20.2768
"1980-10-15",24.4871
"1980-10-16",26.5966
"1980-10-17",27.7671
"1980-10-18",26.3467
"1980-10-19",26.787
"1980-10-20",20.2065
"1980-10-21",21.5274
"1980-10-22",23.097
"1980-10-23",19.8268
"1980-10-24",16.1066
"1980-10-25",18.6065
"1980-10-26",14.4569
"1980-10-27",18.0571
"1980-10-28",24.6169
"1980-10-29",19.9869
"1980-10-30",11.5166
"1980-10-31",19.4071
"1980-11-01",21.1866
"1980-11-02",17.6568
"1980-11-03",17.1776
"1980-11-04",20.0767
"1980-11-05",17.3972
"1980-11-06",15.5765
"1980-11-07",19.5672
"1980-11-08",24.0868
"1980-11-09",24.6473
"1980-11-10",22.7671
"1980-11-11",11.8865
"1980-11-12",13.5774
"1980-11-13",17.2868
"1980-11-14",21.4971
"1980-11-15",19.4071
"1980-11-16",15.3569
"1980-11-17",7.8375
"1980-11-18",16.747
"1980-11-19",9.167
"1980-11-20",11.9266
"1980-11-21",14.3975
"1980-11-22",12.6168
"1980-11-23",14.8875
"1980-11-24",21.8671
"1980-11-25",16.0265
"1980-11-26",9.2968
"1980-11-27",15.477
"1980-11-28",12.037
"1980-11-29",11.2267
"1980-11-30",14.8838
"1980-12-01",18.034
"1980-12-02",20.5049
"1980-12-03",12.9346
"1980-12-04",10.5547
"1980-12-05",14.0748
"1980-12-06",19.224
"1980-12-07",22.7247
"1980-12-08",22.2043
"1980-12-09",18.3142
"1980-12-10",19.1742
"1980-12-11",10.4043
"1980-12-12",13.6842
"1980-12-13",17.544
"1980-12-14",12.3742
"1980-12-15",13.3543
"1980-12-16",11.764
"1980-12-17",8.5447
"1980-12-18",13.8346
"1980-12-19",17.2043
"1980-12-20",7.6847
"1980-12-21",1.2243
"1980-12-22",7.134
"1980-12-23",6.194
"1980-12-24",12.4348
"1980-12-25",8.9341
"1980-12-26",0.5644
"1980-12-27",1.3141
"1980-12-28",6.6149
"1980-12-29",13.6139
"1980-12-30",11.3043
"1980-12-31",9.1901
"1981-01-01",13.0297
"1981-01-02",8.3504
"1981-01-03",10.4706
"1981-01-04",5.31
"1981-01-05",1.23
"1981-01-06",8.0806
"1981-01-07",10.9804
"1981-01-08",4.1598
"1981-01-09",6.2203
"1981-01-10",2.6501
"1981-01-11",1.3096
"1981-01-12",-3.0004
"1981-01-13",3.15
"1981-01-14",7.9003
"1981-01-15",13.3605
"1981-01-16",10.59
"1981-01-17",3.2806
"1981-01-18",7.9201
"1981-01-19",13.7597
"1981-01-20",14.1402
"1981-01-21",9.1599
"1981-01-22",13.4899
"1981-01-23",12.4602
"1981-01-24",12.8507
"1981-01-25",15.3203
"1981-01-26",17.9901
"1981-01-27",20.6998
"1981-01-28",14.5207
"1981-01-29",15.3303
"1981-01-30",7.8804
"1981-01-31",3.7171
"1981-02-01",15.278
"1981-02-02",14.1377
"1981-02-03",2.8876
"1981-02-04",5.7278
"1981-02-05",4.1573
"1981-02-06",8.7869
"1981-02-07",10.3674
"1981-02-08",17.627
"1981-02-09",10.8971
"1981-02-10",20.1377
"1981-02-11",21.8276
"1981-02-12",4.5975
"1981-02-13",8.9771
"1981-02-14",13.5371
"1981-02-15",17.9678
"1981-02-16",19.787
"1981-02-17",20.8179
"1981-02-18",17.1271
"1981-02-19",20.8875
"1981-02-20",20.267
"1981-02-21",19.2672
"1981-02-22",21.4173
"1981-02-23",18.5174
"1981-02-24",15.3576
"1981-02-25",20.3379
"1981-02-26",19.2175
"1981-02-27",18.1481
"1981-02-28",23.6432
"1981-03-01",21.9433
"1981-03-02",19.5433
"1981-03-03",13.9835
"1981-03-04",17.1732
"1981-03-05",21.9134
"1981-03-06",14.1638
"1981-03-07",10.6733
"1981-03-08",12.9638
"1981-03-09",15.4036
"1981-03-10",16.8834
"1981-03-11",18.5833
"1981-03-12",16.3935
"1981-03-13",22.5439
"1981-03-14",14.1029
"1981-03-15",20.7333
"1981-03-16",16.2032
"1981-03-17",17.3733
"1981-03-18",15.6834
"1981-03-19",10.5838
"1981-03-20",9.8439
"1981-03-21",14.2235
"1981-03-22",12.3632
"1981-03-23",10.8039
"1981-03-24",15.9135
"1981-03-25",18.454
"1981-03-26",22.4631
"1981-03-27",25.3331
"1981-03-28",21.324
"1981-03-29",26.4336
"1981-03-30",23.6432
"1981-03-31",28.2255
"1981-04-01",25.6154
"1981-04-02",25.5955
"1981-04-03",28.4854
"1981-04-04",30.3457
"1981-04-05",27.1163
"1981-04-06",18.6256
"1981-04-07",19.3456
"1981-04-08",25.026
"1981-04-09",22.3959
"1981-04-10",27.6958
"1981-04-11",30.536
"1981-04-12",31.6464
"1981-04-13",26.456
"1981-04-14",28.6259
"1981-04-15",21.6262
"1981-04-16",23.6755
"1981-04-17",24.8456
"1981-04-18",31.6166
"1981-04-19",28.2566
"1981-04-20",25.9959
"1981-04-21",19.4264
"1981-04-22",21.9856
"1981-04-23",29.0761
"1981-04-24",26.5455
"1981-04-25",20.6363
"1981-04-26",25.1055
"1981-04-27",33.1461
"1981-04-28",34.0066
"1981-04-29",31.6962
"1981-04-30",30.9451
"1981-05-01",26.6052
"1981-05-02",21.0853
"1981-05-03",23.0251
"1981-05-04",28.1248
"1981-05-05",28.9343
"1981-05-06",27.9743
"1981-05-07",21.0044
"1981-05-08",19.9847
"1981-05-09",21.9147
"1981-05-10",23.9043
"1981-05-11",28.8647
"1981-05-12",24.5447
"1981-05-13",26.9248
"1981-05-14",30.7946
"1981-05-15",30.245
"1981-05-16",24.6753
"1981-05-17",24.8344
"1981-05-18",30.0348
"1981-05-19",28.095
"1981-05-20",17.9951
"1981-05-21",23.8943
"1981-05-22",28.9853
"1981-05-23",30.6143
"1981-05-24",32.7246
"1981-05-25",33.8151
"1981-05-26",32.8452
"1981-05-27",25.5955
"1981-05-28",27.9246
"1981-05-29",27.1349
"1981-05-30",33.115
"1981-05-31",33.8139
"1981-06-01",30.3445
"1981-06-02",30.7449
"1981-06-03",30.2238
"1981-06-04",33.1548
"1981-06-05",33.0143
"1981-06-06",31.8043
"1981-06-07",30.8245
"1981-06-08",30.8941
"1981-06-09",36.8344
"1981-06-10",37.0644
"1981-06-11",33.6547
"1981-06-12",31.205
"1981-06-13",33.7144
"1981-06-14",36.2039
"1981-06-15",37.7247
"1981-06-16",37.7645
"1981-06-17",35.944
"1981-06-18",32.0543
"1981-06-19",33.2046
"1981-06-20",32.5641
"1981-06-21",36.475
"1981-06-22",38.1749
"1981-06-23",35.8943
"1981-06-24",34.6147
"1981-06-25",36.9749
"1981-06-26",32.7445
"1981-06-27",30.235
"1981-06-28",29.6941
"1981-06-29",30.5845
"1981-06-30",29.7898
"1981-07-01",28.3797
"1981-07-02",25.5395
"1981-07-03",26.6997
"1981-07-04",28.3897
"1981-07-05",30.7996
"1981-07-06",31.0893
"1981-07-07",31.43
"1981-07-08",35.27
"1981-07-09",35.8396
"1981-07-10",35.5797
"1981-07-11",32.9795
"1981-07-12",30.9501
"1981-07-13",34.6993
"1981-07-14",35.8595
"1981-07-15",33.3103
"1981-07-16",31.9001
"1981-07-17",33.4296
"1981-07-18",33.2394
"1981-07-19",31.2796
"1981-07-20",32.15
"1981-07-21",35.3994
"1981-07-22",33.2891
"1981-07-23",29.2191
"1981-07-24",30.2102
"1981-07-25",32.1302
"1981-07-26",32.9994
"1981-07-27",35.2302
"1981-07-28",34.9094
"1981-07-29",33.9196
"1981-07-30",26.9696
"1981-07-31",23.8695
"1981-08-01",29.8595
"1981-08-02",28.3996
"1981-08-03",30.4191
"1981-08-04",32.1799
"1981-08-05",35.28
"1981-08-06",32.8402
"1981-08-07",34.6893
"1981-08-08",31.9399
"1981-08-09",30.7101
"1981-08-10",30.1393
"1981-08-11",32.0294
"1981-08-12",30.5198
"1981-08-13",30.01
"1981-08-14",30.8991
"1981-08-15",31.93
"1981-08-16",32.4497
"1981-08-17",28.2802
"1981-08-18",24.25
"1981-08-19",23.2191
"1981-08-20",27.1598
"1981-08-21",26.7594
"1981-08-22",20.7495
"1981-08-23",28.029
"1981-08-24",30.4999
"1981-08-25",30.1194
"1981-08-26",28.09
"1981-08-27",29.7998
"1981-08-28",30.5198
"1981-08-29",29.1395
"1981-08-30",28.3698
"1981-08-31",29.5623
"1981-09-01",29.8222
"1981-09-02",29.9217
"1981-09-03",31.2821
"1981-09-04",28.5725
"1981-09-05",23.5723
"1981-09-06",28.7416
"1981-09-07",27.8127
"1981-09-08",30.1219
"1981-09-09",27.0317
"1981-09-10",28.4021
"1981-09-11",30.4216
"1981-09-12",31.1515
"1981-09-13",31.9225
"1981-09-14",32.2421
"1981-09-15",31.7123
"1981-09-16",28.0925
"1981-09-17",26.1327
"1981-09-18",24.342
"1981-09-19",21.4819
"1981-09-20",25.8218
"1981-09-21",28.0726
"1981-09-22",29.0525
"1981-09-23",25.1515
"1981-09-24",23.152
"1981-09-25",25.0023
"1981-09-26",26.7818
"1981-09-27",28.9816
"1981-09-28",29.2427
"1981-09-29",25.2224
"1981-09-30",29.1333
"1981-10-01",31.5432
"1981-10-02",23.6233
"1981-10-03",18.1132
"1981-10-04",22.6633
"1981-10-05",27.2232
"1981-10-06",31.5233
"1981-10-07",22.9928
"1981-10-08",20.3329
"1981-10-09",21.9632
"1981-10-10",18.0424
"1981-10-11",17.9827
"1981-10-12",19.3132
"1981-10-13",20.5033
"1981-10-14",22.6023
"1981-10-15",23.6034
"1981-10-16",25.1031
"1981-10-17",23.5524
"1981-10-18",28.0427
"1981-10-19",18.0125
"1981-10-20",18.2625
"1981-10-21",22.9331
"1981-10-22",25.4624
"1981-10-23",24.7424
"1981-10-24",15.5031
"1981-10-25",13.4724
"1981-10-26",23.4529
"1981-10-27",24.2326
"1981-10-28",21.4533
"1981-10-29",19.6428
"1981-10-30",20.4523
"1981-10-31",20.854
"1981-11-01",23.4231
"1981-11-02",24.633
"1981-11-03",24.8432
"1981-11-04",25.3231
"1981-11-05",24.2736
"1981-11-06",20.0332
"1981-11-07",13.7535
"1981-11-08",17.7638
"1981-11-09",20.5331
"1981-11-10",20.4138
"1981-11-11",19.9437
"1981-11-12",13.9537
"1981-11-13",13.3928
"1981-11-14",16.3238
"1981-11-15",19.5035
"1981-11-16",19.5333
"1981-11-17",16.9431
"1981-11-18",18.7238
"1981-11-19",21.6933
"1981-11-20",22.0129
"1981-11-21",7.9836
"1981-11-22",8.3231
"1981-11-23",11.5836
"1981-11-24",11.7738
"1981-11-25",11.494
"1981-11-26",15.9632
"1981-11-27",20.6836
"1981-11-28",18.0536
"1981-11-29",11.3634
"1981-11-30",9.5815
"1981-12-01",17.4815
"1981-12-02",18.6417
"1981-12-03",14.3019
"1981-12-04",14.7122
"1981-12-05",10.9817
"1981-12-06",9.6922
"1981-12-07",16.0826
"1981-12-08",17.5823
"1981-12-09",5.4219
"1981-12-10",2.2124
"1981-12-11",5.4518
