,"(deg C) Minimum Temperature (gridMET) at -79.2103E,35.1464N, 1979-01-01 to 2026-04-10"
"1980-06-21",13.9105
"1980-06-22",14.551
"1980-06-23",17.3401
"1980-06-24",17.5106
"1980-06-25",19.0409
"1980-06-26",18.8105
"1980-06-27",18.4908
"1980-06-28",20.4607
"1980-06-29",21.6608
"1980-06-30",18.7506
"1980-07-01",15.1305
"1980-07-02",18.7506
"1980-07-03",19.9906
"1980-07-04",22.4012
"1980-07-05",22.7409
"1980-07-06",20.731
"1980-07-07",17.2908
"1980-07-08",18.2311
"1980-07-09",21.3704
"1980-07-10",23.2604
"1980-07-11",21.6302
"1980-07-12",21.0108
"1980-07-13",21.6807
"1980-07-14",18.5108
"1980-07-15",17.9607
"1980-07-16",19.4405
"1980-07-17",20.5007
"1980-07-18",21.3011
"1980-07-19",20.2609
"1980-07-20",20.5912
"1980-07-21",22.3013
"1980-07-22",19.8307
"1980-07-23",21.1107
"1980-07-24",20.3009
"1980-07-25",19.6803
"1980-07-26",19.6109
"1980-07-27",18.8411
"1980-07-28",19.1807
"1980-07-29",20.8709
"1980-07-30",22.2802
"1980-07-31",20.4231
"1980-08-01",20.5242
"1980-08-02",22.1438
"1980-08-03",22.9337
"1980-08-04",22.3037
"1980-08-05",21.8042
"1980-08-06",20.764
"1980-08-07",20.5735
"1980-08-08",22.0134
"1980-08-09",22.2931
"1980-08-10",21.4633
"1980-08-11",20.1739
"1980-08-12",21.4139
"1980-08-13",21.6032
"1980-08-14",20.3232
"1980-08-15",20.9638
"1980-08-16",22.2531
"1980-08-17",17.8232
"1980-08-18",17.1133
"1980-08-19",19.0538
"1980-08-20",20.9638
"1980-08-21",19.4734
"1980-08-22",17.7339
"1980-08-23",17.0933
"1980-08-24",18.7635
"1980-08-25",17.614
"1980-08-26",16.4434
"1980-08-27",16.2236
"1980-08-28",16.4034
"1980-08-29",17.1732
"1980-08-30",17.654
"1980-08-31",18.8587
"1980-09-01",20.9085
"1980-09-02",21.5891
"1980-09-03",21.2694
"1980-09-04",19.759
"1980-09-05",19.9988
"1980-09-06",20.3385
"1980-09-07",20.6394
"1980-09-08",19.6685
"1980-09-09",17.6093
"1980-09-10",15.2891
"1980-09-11",19.2384
"1980-09-12",16.8089
"1980-09-13",15.4584
"1980-09-14",19.9389
"1980-09-15",18.8987
"1980-09-16",19.3394
"1980-09-17",20.2492
"1980-09-18",20.3185
"1980-09-19",19.8084
"1980-09-20",18.8387
"1980-09-21",19.739
"1980-09-22",20.7687
"1980-09-23",20.4795
"1980-09-24",21.8394
"1980-09-25",19.9894
"1980-09-26",13.5485
"1980-09-27",9.2784
"1980-09-28",8.7695
"1980-09-29",10.1094
"1980-09-30",12.882
"1980-10-01",10.4925
"1980-10-02",9.5029
"1980-10-03",13.2628
"1980-10-04",8.2229
"1980-10-05",6.6327
"1980-10-06",4.1527
"1980-10-07",4.6922
"1980-10-08",7.352
"1980-10-09",10.033
"1980-10-10",13.5226
"1980-10-11",13.3628
"1980-10-12",5.723
"1980-10-13",2.4319
"1980-10-14",3.1325
"1980-10-15",5.6324
"1980-10-16",12.332
"1980-10-17",13.7024
"1980-10-18",16.012
"1980-10-19",16.0919
"1980-10-20",8.3228
"1980-10-21",6.2624
"1980-10-22",8.4521
"1980-10-23",8.1829
"1980-10-24",7.292
"1980-10-25",3.592
"1980-10-26",-0.6181
"1980-10-27",1.132
"1980-10-28",8.9928
"1980-10-29",7.8127
"1980-10-30",4.7027
"1980-10-31",5.5843
"1980-11-01",3.5239
"1980-11-02",3.0537
"1980-11-03",1.0039
"1980-11-04",9.2043
"1980-11-05",6.2037
"1980-11-06",3.404
"1980-11-07",1.7338
"1980-11-08",6.8137
"1980-11-09",9.6639
"1980-11-10",7.9338
"1980-11-11",-0.0363
"1980-11-12",-5.0962
"1980-11-13",0.5537
"1980-11-14",2.6835
"1980-11-15",12.5236
"1980-11-16",3.0643
"1980-11-17",1.6539
"1980-11-18",1.2836
"1980-11-19",-2.5562
"1980-11-20",-1.9662
"1980-11-21",0.844
"1980-11-22",-3.2756
"1980-11-23",2.5542
"1980-11-24",9.7838
"1980-11-25",3.7542
"1980-11-26",-1.5266
"1980-11-27",3.0737
"1980-11-28",1.9442
"1980-11-29",-2.3764
"1980-11-30",-1.2222
"1980-12-01",0.5279
"1980-12-02",3.2171
"1980-12-03",-1.5925
"1980-12-04",-4.2723
"1980-12-05",-1.8123
"1980-12-06",5.1776
"1980-12-07",8.5273
"1980-12-08",5.7371
"1980-12-09",7.5577
"1980-12-10",6.0473
"1980-12-11",-1.053
"1980-12-12",-1.1623
"1980-12-13",-0.182
"1980-12-14",-1.643
"1980-12-15",-2.2119
"1980-12-16",4.3172
"1980-12-17",-0.0422
"1980-12-18",-2.7819
"1980-12-19",0.7077
"1980-12-20",-6.5419
"1980-12-21",-10.0621
"1980-12-22",-10.2925
"1980-12-23",-1.7229
"1980-12-24",-2.1519
"1980-12-25",-10.2819
"1980-12-26",-11.4325
"1980-12-27",-6.1822
"1980-12-28",-2.112
"1980-12-29",3.0878
"1980-12-30",2.667
"1980-12-31",3.029
"1981-01-01",-0.4406
"1981-01-02",-2.9807
"1981-01-03",-4.7408
"1981-01-04",-10.9804
"1981-01-05",-14.3302
"1981-01-06",-10.6807
"1981-01-07",-2.9501
"1981-01-08",-7.541
"1981-01-09",-6.15
"1981-01-10",-9.6905
"1981-01-11",-11.6299
"1981-01-12",-12.1307
"1981-01-13",-13.3105
"1981-01-14",-8.161
"1981-01-15",-1.29
"1981-01-16",-4.1901
"1981-01-17",-8.9206
"1981-01-18",-9.9505
"1981-01-19",-6.7506
"1981-01-20",-1.4308
"1981-01-21",1.0901
"1981-01-22",-0.3907
"1981-01-23",-3.7711
"1981-01-24",-3.9607
"1981-01-25",-1.701
"1981-01-26",-1.55
"1981-01-27",2.69
"1981-01-28",2.849
"1981-01-29",-3.2203
"1981-01-30",-10.7806
"1981-01-31",-12.6303
"1981-02-01",-7.3502
"1981-02-02",-0.1704
"1981-02-03",-6.0796
"1981-02-04",-8.5198
"1981-02-05",-8.9797
"1981-02-06",-6.7597
"1981-02-07",-1.5205
"1981-02-08",1.3399
"1981-02-09",-3.9505
"1981-02-10",0.0295
"1981-02-11",2.7195
"1981-02-12",-8.48
"1981-02-13",-7.9702
"1981-02-14",-3.5803
"1981-02-15",-1.9497
"1981-02-16",0.57
"1981-02-17",9.7495
"1981-02-18",11.2495
"1981-02-19",10.1298
"1981-02-20",9.1794
"1981-02-21",5.5299
"1981-02-22",5.7695
"1981-02-23",5.1495
"1981-02-24",3.3702
"1981-02-25",-0.4099
"1981-02-26",1.0003
"1981-02-27",-1.6499
"1981-02-28",0.6222
"1981-03-01",10.5023
"1981-03-02",5.5821
"1981-03-03",-0.1579
"1981-03-04",0.8425
"1981-03-05",8.1018
"1981-03-06",0.2623
"1981-03-07",-2.1677
"1981-03-08",-4.7578
"1981-03-09",-2.1382
"1981-03-10",1.4421
"1981-03-11",0.8618
"1981-03-12",-0.1079
"1981-03-13",-0.0375
"1981-03-14",0.6926
"1981-03-15",-2.2972
"1981-03-16",-0.9675
"1981-03-17",-5.6379
"1981-03-18",2.7627
"1981-03-19",0.4121
"1981-03-20",-3.4179
"1981-03-21",-1.508
"1981-03-22",-0.0375
"1981-03-23",2.5128
"1981-03-24",2.1427
"1981-03-25",1.1627
"1981-03-26",3.1226
"1981-03-27",5.4822
"1981-03-28",3.8028
"1981-03-29",3.3917
"1981-03-30",12.2624
"1981-03-31",10.5137
"1981-04-01",12.0636
"1981-04-02",8.6934
"1981-04-03",9.4031
"1981-04-04",11.2835
"1981-04-05",15.343
"1981-04-06",4.8032
"1981-04-07",1.3535
"1981-04-08",5.5038
"1981-04-09",12.7132
"1981-04-10",12.184
"1981-04-11",13.3433
"1981-04-12",15.653
"1981-04-13",11.4437
"1981-04-14",9.5734
"1981-04-15",6.4531
"1981-04-16",2.4538
"1981-04-17",11.6038
"1981-04-18",13.0731
"1981-04-19",13.3229
"1981-04-20",10.2729
"1981-04-21",6.134
"1981-04-22",2.9239
"1981-04-23",12.6836
"1981-04-24",11.6435
"1981-04-25",6.1033
"1981-04-26",4.8838
"1981-04-27",12.6632
"1981-04-28",16.3332
"1981-04-29",15.6632
"1981-04-30",14.4766
"1981-05-01",11.1768
"1981-05-02",6.8664
"1981-05-03",4.9167
"1981-05-04",8.6764
"1981-05-05",9.947
"1981-05-06",12.7268
"1981-05-07",7.7862
"1981-05-08",5.8161
"1981-05-09",9.5269
"1981-05-10",12.6269
"1981-05-11",15.477
"1981-05-12",10.7567
"1981-05-13",9.1772
"1981-05-14",10.7964
"1981-05-15",13.7964
"1981-05-16",7.7271
"1981-05-17",13.307
"1981-05-18",14.4868
"1981-05-19",14.857
"1981-05-20",8.1268
"1981-05-21",7.0265
"1981-05-22",8.1461
"1981-05-23",13.1867
"1981-05-24",14.7162
"1981-05-25",15.0069
"1981-05-26",15.4963
"1981-05-27",17.2768
"1981-05-28",17.4868
"1981-05-29",16.1469
"1981-05-30",17.5164
"1981-05-31",18.3271
"1981-06-01",19.4774
"1981-06-02",18.477
"1981-06-03",19.357
"1981-06-04",20.1769
"1981-06-05",19.9168
"1981-06-06",22.2866
"1981-06-07",20.9967
"1981-06-08",20.5675
"1981-06-09",19.0073
"1981-06-10",22.2866
"1981-06-11",21.4475
"1981-06-12",19.3468
"1981-06-13",21.527
"1981-06-14",22.1776
"1981-06-15",22.7375
"1981-06-16",22.9169
"1981-06-17",21.8767
"1981-06-18",20.8275
"1981-06-19",19.147
"1981-06-20",20.3075
"1981-06-21",19.977
"1981-06-22",22.1674
"1981-06-23",21.7473
"1981-06-24",21.5372
"1981-06-25",23.0077
"1981-06-26",20.3177
"1981-06-27",16.097
"1981-06-28",12.067
"1981-06-29",13.2275
"1981-06-30",14.4346
"1981-07-01",15.5145
"1981-07-02",16.365
"1981-07-03",17.455
"1981-07-04",17.9649
"1981-07-05",19.0947
"1981-07-06",21.2851
"1981-07-07",21.5145
"1981-07-08",22.0243
"1981-07-09",20.5652
"1981-07-10",22.7852
"1981-07-11",23.8151
"1981-07-12",22.2253
"1981-07-13",21.5349
"1981-07-14",22.1844
"1981-07-15",19.5648
"1981-07-16",19.9044
"1981-07-17",21.485
"1981-07-18",19.3843
"1981-07-19",22.5047
"1981-07-20",21.0546
"1981-07-21",21.7246
"1981-07-22",18.8347
"1981-07-23",19.6545
"1981-07-24",17.8252
"1981-07-25",19.7249
"1981-07-26",20.3949
"1981-07-27",22.1549
"1981-07-28",22.7749
"1981-07-29",22.0743
"1981-07-30",15.7347
"1981-07-31",14.1257
"1981-08-01",16.4853
"1981-08-02",19.9657
"1981-08-03",18.7359
"1981-08-04",21.2953
"1981-08-05",23.0361
"1981-08-06",21.9358
"1981-08-07",22.9259
"1981-08-08",23.3359
"1981-08-09",22.9452
"1981-08-10",21.7053
"1981-08-11",22.3661
"1981-08-12",21.2261
"1981-08-13",21.3555
"1981-08-14",19.0561
"1981-08-15",18.0853
"1981-08-16",20.9059
"1981-08-17",19.7851
"1981-08-18",16.2457
"1981-08-19",14.8661
"1981-08-20",13.7351
"1981-08-21",13.6954
"1981-08-22",13.0356
"1981-08-23",13.2355
"1981-08-24",16.3559
"1981-08-25",19.566
"1981-08-26",16.7158
"1981-08-27",14.3256
"1981-08-28",16.7953
"1981-08-29",17.396
"1981-08-30",19.5762
"1981-08-31",18.7598
"1981-09-01",18.9596
"1981-09-02",19.3593
"1981-09-03",18.8302
"1981-09-04",18.7893
"1981-09-05",15.4293
"1981-09-06",15.7098
"1981-09-07",17.3699
"1981-09-08",18.1693
"1981-09-09",14.5992
"1981-09-10",13.65
"1981-09-11",13.8896
"1981-09-12",14.5493
"1981-09-13",15.5599
"1981-09-14",16.3093
"1981-09-15",18.4202
"1981-09-16",18.9494
"1981-09-17",16.4501
"1981-09-18",11.6197
"1981-09-19",6.6098
"1981-09-20",6.1896
"1981-09-21",9.5598
"1981-09-22",12.2998
"1981-09-23",8.69
"1981-09-24",4.7203
"1981-09-25",6.2895
"1981-09-26",9.2498
"1981-09-27",10.4398
"1981-09-28",10.9202
"1981-09-29",6.5995
"1981-09-30",11.2631
"1981-10-01",16.5137
"1981-10-02",4.894
"1981-10-03",0.7233
"1981-10-04",4.374
"1981-10-05",7.6034
"1981-10-06",13.1537
"1981-10-07",7.0038
"1981-10-08",4.0038
"1981-10-09",4.4035
"1981-10-10",8.3641
"1981-10-11",9.804
"1981-10-12",7.743
"1981-10-13",5.1631
"1981-10-14",3.2135
"1981-10-15",5.3039
"1981-10-16",7.1139
"1981-10-17",6.4031
"1981-10-18",8.7934
"1981-10-19",2.003
"1981-10-20",-0.1965
"1981-10-21",3.4939
"1981-10-22",8.9137
"1981-10-23",11.6038
"1981-10-24",1.7736
"1981-10-25",1.9735
"1981-10-26",9.0636
"1981-10-27",12.0636
"1981-10-28",7.0231
"1981-10-29",10.8941
"1981-10-30",9.7131
"1981-10-31",5.9716
"1981-11-01",6.0818
"1981-11-02",13.4512
"1981-11-03",12.6711
"1981-11-04",12.4815
"1981-11-05",13.9213
"1981-11-06",7.0208
"1981-11-07",1.2218
"1981-11-08",-0.5292
"1981-11-09",4.7612
"1981-11-10",8.891
"1981-11-11",7.131
"1981-11-12",1.1809
"1981-11-13",-3.1182
"1981-11-14",-3.4089
"1981-11-15",-0.6689
"1981-11-16",1.6714
"1981-11-17",5.6219
"1981-11-18",2.0814
"1981-11-19",4.4409
"1981-11-20",4.2718
"1981-11-21",-0.0489
"1981-11-22",-5.6992
"1981-11-23",-4.2389
"1981-11-24",1.1219
"1981-11-25",-1.2684
"1981-11-26",-1.8282
"1981-11-27",6.7017
