,"(%) Minimum Relative Humidity (gridMET) at -79.2103E,35.1464N, 1979-01-01 to 2026-04-10"
"1980-04-13",53.6565
"1980-04-14",48.6272
"1980-04-15",34.6233
"1980-04-16",27.9117
"1980-04-17",27.1714
"1980-04-18",31.486
"1980-04-19",32.1389
"1980-04-20",31.2323
"1980-04-21",29.0928
"1980-04-22",25.0907
"1980-04-23",28.594
"1980-04-24",28.9177
"1980-04-25",31.0124
"1980-04-26",33.3181
"1980-04-27",41.0922
"1980-04-28",36.3948
"1980-04-29",33.7935
"1980-04-30",35.4916
"1980-05-01",42.5789
"1980-05-02",36.832
"1980-05-03",33.2654
"1980-05-04",32.2157
"1980-05-05",31.1561
"1980-05-06",27.5354
"1980-05-07",30.9959
"1980-05-08",33.5299
"1980-05-09",32.2
"1980-05-10",30.5204
"1980-05-11",37.3019
"1980-05-12",42.027
"1980-05-13",35.2239
"1980-05-14",35.5867
"1980-05-15",37.8897
"1980-05-16",39.4154
"1980-05-17",43.3298
"1980-05-18",53.0329
"1980-05-19",49.5577
"1980-05-20",50.0111
"1980-05-21",40.7094
"1980-05-22",43.7373
"1980-05-23",50.7232
"1980-05-24",47.8637
"1980-05-25",47.4101
"1980-05-26",39.0592
"1980-05-27",33.8182
"1980-05-28",36.7147
"1980-05-29",40.117
"1980-05-30",39.8726
"1980-05-31",43.1567
"1980-06-01",44.4796
"1980-06-02",43.7852
"1980-06-03",47.1406
"1980-06-04",32.9341
"1980-06-05",34.4922
"1980-06-06",40.6966
"1980-06-07",54.991
"1980-06-08",42.3546
"1980-06-09",31.9481
"1980-06-10",34.1621
"1980-06-11",37.1995
"1980-06-12",39.7912
"1980-06-13",35.7617
"1980-06-14",43.3908
"1980-06-15",35.53
"1980-06-16",37.6819
"1980-06-17",39.8866
"1980-06-18",43.7873
"1980-06-19",41.7768
"1980-06-20",43.8325
"1980-06-21",40.1121
"1980-06-22",40.7578
"1980-06-23",43.5753
"1980-06-24",46.5839
"1980-06-25",59.7256
"1980-06-26",58.3368
"1980-06-27",39.3243
"1980-06-28",41.4013
"1980-06-29",41.8228
"1980-06-30",32.5798
"1980-07-01",40.7079
"1980-07-02",45.6291
"1980-07-03",47.2219
"1980-07-04",49.5198
"1980-07-05",47.9158
"1980-07-06",37.83
"1980-07-07",40.161
"1980-07-08",44.6203
"1980-07-09",41.829
"1980-07-10",42.7163
"1980-07-11",43.1729
"1980-07-12",35.5371
"1980-07-13",36.7426
"1980-07-14",45.3586
"1980-07-15",44.6872
"1980-07-16",42.8871
"1980-07-17",45.0518
"1980-07-18",47.6313
"1980-07-19",50.2316
"1980-07-20",48.0145
"1980-07-21",46.0164
"1980-07-22",45.0474
"1980-07-23",54.0043
"1980-07-24",48.3632
"1980-07-25",48.9235
"1980-07-26",50.2568
"1980-07-27",45.6314
"1980-07-28",50.2724
"1980-07-29",49.1435
"1980-07-30",47.2473
"1980-07-31",38.2099
"1980-08-01",42.0732
"1980-08-02",36.3825
"1980-08-03",33.3081
"1980-08-04",35.3749
"1980-08-05",38.9676
"1980-08-06",39.4643
"1980-08-07",42.037
"1980-08-08",38.1587
"1980-08-09",39.4438
"1980-08-10",40.8005
"1980-08-11",44.9828
"1980-08-12",49.4772
"1980-08-13",41.5758
"1980-08-14",41.5881
"1980-08-15",42.7301
"1980-08-16",48.7245
"1980-08-17",48.9087
"1980-08-18",57.6912
"1980-08-19",54.4128
"1980-08-20",37.0796
"1980-08-21",38.2902
"1980-08-22",43.8053
"1980-08-23",41.3962
"1980-08-24",40.774
"1980-08-25",30.8765
"1980-08-26",30.4814
"1980-08-27",32.8568
"1980-08-28",30.0248
"1980-08-29",31.8613
"1980-08-30",37.1544
"1980-08-31",42.0524
"1980-09-01",35.0095
"1980-09-02",35.9092
"1980-09-03",42.212
"1980-09-04",44.3147
"1980-09-05",49.4507
"1980-09-06",44.7821
"1980-09-07",45.0417
"1980-09-08",40.5125
"1980-09-09",32.7265
"1980-09-10",36.2398
"1980-09-11",42.0235
"1980-09-12",32.4705
"1980-09-13",34.4523
"1980-09-14",34.79
"1980-09-15",31.3442
"1980-09-16",32.6841
"1980-09-17",45.9964
"1980-09-18",51.9675
"1980-09-19",58.6598
"1980-09-20",54.0805
"1980-09-21",56.8414
"1980-09-22",50.0941
"1980-09-23",39.3484
"1980-09-24",40.0567
"1980-09-25",49.4637
"1980-09-26",35.3836
"1980-09-27",32.9714
"1980-09-28",39.2799
"1980-09-29",79.302
"1980-09-30",79.3984
"1980-10-01",72.1718
"1980-10-02",64.4123
"1980-10-03",52.2355
"1980-10-04",34.8703
"1980-10-05",37.1879
"1980-10-06",49.7712
"1980-10-07",38.3142
"1980-10-08",39.5842
"1980-10-09",42.65
"1980-10-10",43.8112
"1980-10-11",44.4271
"1980-10-12",33.82
"1980-10-13",33.1867
"1980-10-14",32.2729
"1980-10-15",35.7614
"1980-10-16",39.817
"1980-10-17",45.1442
"1980-10-18",52.5264
"1980-10-19",50.6647
"1980-10-20",30.9907
"1980-10-21",32.5497
"1980-10-22",36.6293
"1980-10-23",36.0006
"1980-10-24",68.2346
"1980-10-25",42.9062
"1980-10-26",33.4838
"1980-10-27",38.8173
"1980-10-28",44.9034
"1980-10-29",44.4326
"1980-10-30",54.8751
"1980-10-31",42.5118
"1980-11-01",29.3327
"1980-11-02",28.9221
"1980-11-03",36.3972
"1980-11-04",50.7046
"1980-11-05",34.2845
"1980-11-06",30.0808
"1980-11-07",34.7121
"1980-11-08",41.5384
"1980-11-09",44.8238
"1980-11-10",22.8127
"1980-11-11",22.8008
"1980-11-12",27.1282
"1980-11-13",25.0779
"1980-11-14",29.3021
"1980-11-15",47.1161
"1980-11-16",60.213
"1980-11-17",61.659
"1980-11-18",55.3293
"1980-11-19",33.1857
"1980-11-20",33.8271
"1980-11-21",34.357
"1980-11-22",27.9705
"1980-11-23",34.198
"1980-11-24",59.2386
"1980-11-25",40.8419
"1980-11-26",34.7328
"1980-11-27",44.2836
"1980-11-28",42.7003
"1980-11-29",44.59
"1980-11-30",31.9599
"1980-12-01",29.5919
"1980-12-02",34.7179
"1980-12-03",26.288
"1980-12-04",20.1476
"1980-12-05",21.4502
"1980-12-06",27.2153
"1980-12-07",25.4092
"1980-12-08",32.5479
"1980-12-09",39.0663
"1980-12-10",64.5028
"1980-12-11",31.5809
"1980-12-12",34.696
"1980-12-13",36.7631
"1980-12-14",22.6281
"1980-12-15",29.315
"1980-12-16",37.7018
"1980-12-17",38.9295
"1980-12-18",36.055
"1980-12-19",35.9918
"1980-12-20",29.488
"1980-12-21",19.7144
"1980-12-22",29.3706
"1980-12-23",37.6701
"1980-12-24",62.32
"1980-12-25",22.6148
"1980-12-26",19.7873
"1980-12-27",22.4489
"1980-12-28",67.3492
"1980-12-29",58.8384
"1980-12-30",54.2568
"1980-12-31",47.8021
"1981-01-01",40.8507
"1981-01-02",33.618
"1981-01-03",32.351
"1981-01-04",24.5514
"1981-01-05",25.6022
"1981-01-06",22.6851
"1981-01-07",36.2623
"1981-01-08",23.3138
"1981-01-09",25.1588
"1981-01-10",25.8963
"1981-01-11",18.6499
"1981-01-12",21.207
"1981-01-13",22.643
"1981-01-14",25.4283
"1981-01-15",36.4593
"1981-01-16",31.3668
"1981-01-17",22.9585
"1981-01-18",24.7829
"1981-01-19",27.5523
"1981-01-20",30.5605
"1981-01-21",34.0012
"1981-01-22",44.5922
"1981-01-23",30.8456
"1981-01-24",32.335
"1981-01-25",30.7209
"1981-01-26",29.9518
"1981-01-27",36.2969
"1981-01-28",30.5464
"1981-01-29",26.6336
"1981-01-30",27.2765
"1981-01-31",42.638
"1981-02-01",41.3096
"1981-02-02",29.583
"1981-02-03",19.4609
"1981-02-04",21.518
"1981-02-05",20.1771
"1981-02-06",26.7826
"1981-02-07",35.6322
"1981-02-08",39.0006
"1981-02-09",18.6078
"1981-02-10",25.5567
"1981-02-11",47.3813
"1981-02-12",16.6148
"1981-02-13",19.1551
"1981-02-14",35.6281
"1981-02-15",34.5213
"1981-02-16",38.5404
"1981-02-17",44.8677
"1981-02-18",47.2386
"1981-02-19",55.3461
"1981-02-20",29.4085
"1981-02-21",33.4231
"1981-02-22",38.4305
"1981-02-23",26.7508
"1981-02-24",22.4597
"1981-02-25",23.5596
"1981-02-26",18.0615
"1981-02-27",19.415
"1981-02-28",22.7668
"1981-03-01",28.8679
"1981-03-02",28.4235
"1981-03-03",24.2981
"1981-03-04",28.7531
"1981-03-05",35.1035
"1981-03-06",25.6005
"1981-03-07",23.9306
"1981-03-08",29.3057
"1981-03-09",27.8351
"1981-03-10",25.7711
"1981-03-11",23.794
"1981-03-12",22.2377
"1981-03-13",19.2673
"1981-03-14",14.746
"1981-03-15",21.1069
"1981-03-16",20.8548
"1981-03-17",21.3095
"1981-03-18",21.2548
"1981-03-19",25.7025
"1981-03-20",24.7033
"1981-03-21",27.731
"1981-03-22",29.34
"1981-03-23",50.3667
"1981-03-24",29.9919
"1981-03-25",24.2
"1981-03-26",20.3032
"1981-03-27",23.524
"1981-03-28",21.332
"1981-03-29",28.0093
"1981-03-30",28.7182
"1981-03-31",24.1706
"1981-04-01",26.7272
"1981-04-02",20.0459
"1981-04-03",20.4199
"1981-04-04",27.982
"1981-04-05",35.3532
"1981-04-06",23.9393
"1981-04-07",25.3008
"1981-04-08",28.4255
"1981-04-09",32.9658
"1981-04-10",37.8612
"1981-04-11",35.8236
"1981-04-12",33.392
"1981-04-13",33.5651
"1981-04-14",44.1615
"1981-04-15",20.7108
"1981-04-16",23.5102
"1981-04-17",27.043
"1981-04-18",31.563
"1981-04-19",20.4807
"1981-04-20",26.1525
"1981-04-21",25.1801
"1981-04-22",33.5612
"1981-04-23",45.8882
"1981-04-24",20.0584
"1981-04-25",22.1397
"1981-04-26",27.8636
"1981-04-27",25.7997
"1981-04-28",25.7242
"1981-04-29",25.9621
"1981-04-30",27.6842
"1981-05-01",19.3051
"1981-05-02",17.4742
"1981-05-03",19.9119
"1981-05-04",21.3169
"1981-05-05",23.8662
"1981-05-06",26.0345
"1981-05-07",40.2915
"1981-05-08",47.5944
"1981-05-09",53.6718
"1981-05-10",64.3205
"1981-05-11",36.0252
"1981-05-12",32.9652
"1981-05-13",30.079
"1981-05-14",28.0429
"1981-05-15",31.3623
"1981-05-16",28.9729
"1981-05-17",33.8982
"1981-05-18",39.468
"1981-05-19",40.8456
"1981-05-20",44.7844
"1981-05-21",31.2994
"1981-05-22",24.2295
"1981-05-23",25.6475
"1981-05-24",25.7066
"1981-05-25",27.4169
"1981-05-26",29.5609
"1981-05-27",35.2968
"1981-05-28",47.5072
"1981-05-29",46.7034
"1981-05-30",36.4785
"1981-05-31",33.3218
"1981-06-01",37.7771
"1981-06-02",49.6897
"1981-06-03",52.4703
"1981-06-04",44.825
"1981-06-05",47.1037
"1981-06-06",50.0271
"1981-06-07",42.5403
"1981-06-08",48.4657
"1981-06-09",38.039
"1981-06-10",37.0995
"1981-06-11",31.941
"1981-06-12",36.6352
"1981-06-13",44.8559
"1981-06-14",34.9644
"1981-06-15",32.4198
"1981-06-16",29.0024
"1981-06-17",30.9367
"1981-06-18",37.8183
"1981-06-19",43.276
"1981-06-20",45.1782
"1981-06-21",37.4885
"1981-06-22",27.3296
"1981-06-23",28.6304
"1981-06-24",35.3669
"1981-06-25",32.874
"1981-06-26",33.7479
"1981-06-27",27.6426
"1981-06-28",21.6775
"1981-06-29",20.7371
"1981-06-30",23.0707
"1981-07-01",36.1261
"1981-07-02",51.7202
"1981-07-03",60.2214
"1981-07-04",55.473
"1981-07-05",58.0592
"1981-07-06",52.6715
"1981-07-07",53.0613
"1981-07-08",40.432
"1981-07-09",44.6267
"1981-07-10",42.541
"1981-07-11",47.635
"1981-07-12",53.0168
"1981-07-13",48.3492
"1981-07-14",41.5623
"1981-07-15",33.5778
"1981-07-16",37.8175
"1981-07-17",42.4776
"1981-07-18",42.1664
"1981-07-19",43.9458
"1981-07-20",55.2378
"1981-07-21",42.7246
"1981-07-22",36.8447
"1981-07-23",39.6035
"1981-07-24",55.1005
"1981-07-25",50.7708
"1981-07-26",49.1861
"1981-07-27",42.9595
"1981-07-28",41.6357
"1981-07-29",37.4464
"1981-07-30",41.2735
"1981-07-31",49.4405
"1981-08-01",47.0381
"1981-08-02",51.5614
"1981-08-03",54.6742
"1981-08-04",51.6733
"1981-08-05",43.3529
"1981-08-06",44.9593
"1981-08-07",44.6143
"1981-08-08",45.8473
"1981-08-09",52.1989
"1981-08-10",56.2546
"1981-08-11",51.3275
"1981-08-12",50.6412
"1981-08-13",52.2883
"1981-08-14",38.3235
"1981-08-15",42.9176
"1981-08-16",47.9474
"1981-08-17",50.0822
"1981-08-18",53.1742
"1981-08-19",68.9669
"1981-08-20",53.5067
"1981-08-21",46.6507
"1981-08-22",51.6223
"1981-08-23",46.3197
"1981-08-24",40.6067
"1981-08-25",41.3378
"1981-08-26",36.3004
"1981-08-27",40.2347
"1981-08-28",42.9481
"1981-08-29",48.982
"1981-08-30",56.2102
"1981-08-31",54.3549
"1981-09-01",54.4549
"1981-09-02",56.1039
"1981-09-03",48.0705
"1981-09-04",49.0198
"1981-09-05",59.128
"1981-09-06",55.518
"1981-09-07",52.4938
"1981-09-08",57.6618
"1981-09-09",36.5829
"1981-09-10",37.5854
"1981-09-11",41.1663
"1981-09-12",39.4569
"1981-09-13",39.4898
"1981-09-14",44.4184
"1981-09-15",47.5954
"1981-09-16",49.2267
"1981-09-17",53.7668
"1981-09-18",48.9623
"1981-09-19",33.6187
"1981-09-20",35.6465
"1981-09-21",33.8484
"1981-09-22",31.3916
"1981-09-23",31.4052
"1981-09-24",26.2545
"1981-09-25",32.6125
"1981-09-26",35.125
"1981-09-27",38.4175
"1981-09-28",26.1691
"1981-09-29",25.9116
"1981-09-30",35.5187
"1981-10-01",36.4799
"1981-10-02",21.5096
"1981-10-03",26.9317
"1981-10-04",31.4927
"1981-10-05",33.7207
"1981-10-06",35.2186
"1981-10-07",23.197
"1981-10-08",25.6516
"1981-10-09",29.8371
"1981-10-10",29.4756
"1981-10-11",52.8697
"1981-10-12",39.485
"1981-10-13",35.7215
"1981-10-14",37.7443
"1981-10-15",26.8936
"1981-10-16",30.2277
"1981-10-17",24.5653
"1981-10-18",33.7218
"1981-10-19",24.3638
"1981-10-20",22.6295
"1981-10-21",24.6546
"1981-10-22",31.1924
"1981-10-23",42.8257
"1981-10-24",35.2242
"1981-10-25",47.1087
"1981-10-26",69.6812
"1981-10-27",56.978
"1981-10-28",42.507
"1981-10-29",46.7581
"1981-10-30",51.7081
"1981-10-31",48.5555
"1981-11-01",46.7112
"1981-11-02",43.0999
"1981-11-03",39.0305
"1981-11-04",40.7789
"1981-11-05",42.1476
"1981-11-06",30.3867
"1981-11-07",25.2328
"1981-11-08",24.5855
"1981-11-09",28.7646
"1981-11-10",42.2334
"1981-11-11",36.8837
"1981-11-12",28.3101
"1981-11-13",31.0261
"1981-11-14",21.1119
"1981-11-15",22.3722
"1981-11-16",25.0712
"1981-11-17",30.8951
"1981-11-18",27.4883
"1981-11-19",26.1399
"1981-11-20",29.2301
"1981-11-21",28.069
"1981-11-22",30.8991
"1981-11-23",28.3015
"1981-11-24",31.7477
"1981-11-25",35.9914
"1981-11-26",39.9702
"1981-11-27",47.7059
"1981-11-28",30.7456
"1981-11-29",25.685
"1981-11-30",30.0725
"1981-12-01",51.4445
"1981-12-02",37.3478
"1981-12-03",26.5425
"1981-12-04",34.5776
"1981-12-05",29.4984
"1981-12-06",27.0633
"1981-12-07",27.1146
"1981-12-08",20.6306
"1981-12-09",20.4178
"1981-12-10",25.7768
"1981-12-11",29.414
"1981-12-12",33.9286
