"","site","quad","trans","percent_woody","meanHeight","count_woody","note","startyear","TSF","TBF","TSF_M","TBF_M","logHeight"
"64","GSP-LI",12,"N",0.0246913580246914,19,2,NA,2024,2,2,2,2,2.99573227355399
"65","GSP-LI",12,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"66","GSP-LI",13,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"67","GSP-LI",13,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"68","GSP-LI",15,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"69","GSP-LI",16,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"70","GSP-LI",16,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"71","GSP-LI",17,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"72","GSP-LI",17,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"73","GSP-LI",18,"N",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
"74","GSP-LI",18,"S",0.0740740740740741,14,6,NA,2024,2,2,2,2,2.70805020110221
"75","GSP-LI",19,"N",0.0123456790123457,NA,1,NA,2024,2,2,2,2,NA
"76","GSP-LI",19,"S",0.037037037037037,11,3,NA,2024,2,2,2,2,2.484906649788
"77","GSP-LI",20,"N",0.037037037037037,14,3,NA,2024,2,2,2,2,2.70805020110221
"78","GSP-LI",20,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA
